Tipo,Materiale,Colore,Manica,Stagione
Top,Cotton,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Bottom,Suede,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,,Burgundy,,Summer
Dress,Cotton,Maroon,Short Sleeve,Summer
Bottom,Cotton,White,,Summer
Bottom,PU Leather,Black,,All
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Dress,Polyester,Baby Pink,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,Black,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Burgundy,,All
Bottom,Polyester,Multicolor,,All
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,Multicolor,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,PU Leather,Brown,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Black,,Summer
Bottom,Velvet,Black,,All
Top,Polyester,Beige,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Brown,,Summer
Dress,Satin,"Pastel, Mint Green",Sleeveless,Summer
Dress,Polyester,Black and White,Short Sleeve,Summer
Top,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Multicolor,Short Sleeve,Summer
Bottom,Polyester,Grey,,Summer
Bottom,Polyester,"['Pastel', ' Baby Blue']",,Summer
Dress,Cotton,Black,,Summer
Bottom,Suede,Burgundy,,"['Fall', 'Winter']"
Dress,Velvet,Burgundy,Sleeveless,"['Fall', 'Winter']"
Bottom,Polyester,Navy Blue,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Green,Sleeveless,Summer
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Dusty Pink,,Summer
Dress,Polyester,Black,Sleeveless,Summer
Dress,Polyester,Chocolate Brown,Sleeveless,Summer
Bottom,Polyester,Black,,All
Bottom,Polyester,"Pastel, Dusty Pink",,"['Fall', 'Winter']"
Top,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Dress,Rayon,Multicolor,Short Sleeve,Summer
Top,Cotton,Black,,Summer
Dress,Cotton,Burgundy,Sleeveless,Summer
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Bottom,Corduroy,Dusty Blue,,"['Fall', 'Winter']"
Dress,Polyester,Multicolor,,Summer
Bottom,Polyester,Light Grey,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,Cap Sleeve,Summer
Dress,Polyester,Navy Blue,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Dark Grey,Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Maroon,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,Sleeveless,Summer
Bottom,Polyester,Apricot,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,Polyester,Multicolor,,All
Dress,Cotton,White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Green,Short Sleeve,Summer
Top,Cotton,"['Pastel', ' Baby Pink']",Long Sleeve,Spring
Dress,Satin,White,Long Sleeve,All
Bottom,Polyester,White,,"['Spring', 'Summer', 'Fall']"
Dress,Mesh,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Dress,,Mustard Yellow,Sleeveless,Summer
Top,Polyester,White,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Short Sleeve,Summer
Dress,,Gold,Sleeveless,All
Dress,Polyester,Black,Sleeveless,Summer
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,Black,Cap Sleeve,Summer
Dress,Cotton,Grey,Sleeveless,Summer
Dress,Polyester,"['Yellow', ' Bright']",Sleeveless,Summer
Top,Cotton,Coral Pink,Short Sleeve,Summer
Dress,Metallic,"Pastel, Mint Green",Short Sleeve,Summer
Bottom,Polyester,Dark Grey,,All
Bottom,Polyester,Multicolor,,Summer
Bottom,Polyester,Orange,,Summer
Top,Polyester,White,Short Sleeve,Summer
Bottom,,Multicolor,,"['Spring', 'Summer']"
Top,Cotton,White,,Summer
Top,Cotton,Dusty Blue,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,Polyester,Khaki,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,All
Top,Polyester,Red,,Summer
Top,Polyester,White,Short Sleeve,Summer
Top,Polyester,Multicolor,,Summer
Bottom,Polyester,Baby Blue,,"['Spring', 'Summer', 'Fall']"
Bottom,,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,,Summer
Bottom,Polyester,Multicolor,,Summer
Top,Rayon,White,,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Red,Long Sleeve,"['Spring', 'Summer']"
Dress,PU Leather,Dark Grey,Sleeveless,"['Spring', 'Fall']"
Dress,Polyester,Grey,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,Cotton,Army Green,,"['Spring', 'Summer', 'Fall']"
Dress,Nylon,Brown,Sleeveless,Summer
Bottom,Cotton,White,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,,Summer
Dress,Polyester,Burgundy,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Mint Green,Short Sleeve,Summer
Top,Polyester,Black and White,,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Cap Sleeve,"['Spring', 'Summer']"
Top,Cotton,Navy Blue,,Summer
Bottom,Corduroy,Dark Green,,"['Fall', 'Winter']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,White,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Rayon,"['Pastel', ' Dusty Pink']",Cap Sleeve,Summer
Top,Lace,White,,Summer
Dress,Mesh,"Apricot, Pastel",Long Sleeve,"['Spring', 'Summer']"
Bottom,PU Leather,Burgundy,,"['Spring', 'Summer', 'Fall']"
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Velvet,Navy Blue,,"['Fall', 'Winter']"
Bottom,Polyester,Black and White,,All
Top,Cotton,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Camel,Long Sleeve,"['Spring', 'Summer']"
Bottom,Nylon,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,White,,All
Top,Cotton,Lime Green,Sleeveless,Summer
Bottom,Polyester,Multicolor,,Summer
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Mauve Purple,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,"['Pastel', ' Baby Pink']",,Summer
Dress,Polyester,Multicolor,Cap Sleeve,Summer
Top,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Mocha Brown,,Summer
Dress,Velvet,Black,Long Sleeve,"['Fall', 'Winter']"
Bottom,Polyester,Multicolor,,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer']"
Top,Cotton,Baby Pink,,Summer
Bottom,Polyester,Black,,All
Top,Polyester,Dusty Pink,,Summer
Dress,Polyester,White,Long Sleeve,"['Spring', 'Fall']"
Dress,Mesh,Black,Half Sleeve,Summer
Dress,Polyester,Black and White,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Maroon,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Bottom,Polyester,Dusty Pink,,"['Spring', 'Summer', 'Fall']"
Bottom,Corduroy,Dusty Pink,,"['Fall', 'Winter']"
Top,Polyester,Dark Grey,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black,,Summer
Bottom,Polyester,White,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Suede,Black,,"['Fall', 'Winter']"
Bottom,,Black,,All
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Multicolor,Short Sleeve,Summer
Dress,Polyester,Black and White,Short Sleeve,Summer
Top,Cotton,Black,,Summer
Bottom,Polyester,"Pastel, Baby Blue",,Summer
