time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
2022-07-13,soleggiato,28,estate,luglio
2022-05-14,nuvoloso,20,primavera,maggio
2022-04-27,pioggia,14,primavera,aprile
2022-01-20,nuvoloso,0,inverno,gennaio
2022-02-07,pioggia,6,inverno,febbraio
2022-01-02,nuvoloso,3,inverno,gennaio
2022-10-26,soleggiato,20,autunno,ottobre
2022-10-27,soleggiato,19,autunno,ottobre
2022-08-14,soleggiato,26,estate,agosto
2022-06-21,pioggia,30,estate,giugno
2022-09-03,soleggiato,21,autunno,settembre
2022-04-29,soleggiato,17,primavera,aprile
2022-12-04,pioggia,13,inverno,dicembre
2022-12-25,nuvoloso,7,inverno,dicembre
2022-09-10,pioggia,24,autunno,settembre
2022-09-21,soleggiato,10,autunno,settembre
2022-06-04,soleggiato,29,estate,giugno
2022-05-27,soleggiato,26,primavera,maggio
2022-04-27,pioggia,14,primavera,aprile
2022-05-08,pioggia,16,primavera,maggio
2022-11-05,soleggiato,11,autunno,novembre
2022-08-24,soleggiato,27,estate,agosto
2022-08-21,soleggiato,28,estate,agosto
2022-06-23,pioggia,26,estate,giugno
2022-06-21,soleggiato,28,estate,giugno
2022-07-23,pioggia,20,estate,luglio
2022-04-07,neve,8,primavera,aprile
2022-04-09,pioggia,8,primavera,aprile
2022-06-13,soleggiato,25,estate,giugno
2022-09-20,soleggiato,17,autunno,settembre
2022-12-02,pioggia,5,inverno,dicembre
2022-02-12,pioggia,3,inverno,febbraio
2022-07-14,soleggiato,29,estate,luglio
2022-01-02,nuvoloso,2,inverno,gennaio
2022-07-12,pioggia,28,estate,luglio
2022-01-11,soleggiato,-10,inverno,gennaio
2022-01-16,soleggiato,6,inverno,gennaio
2022-01-26,soleggiato,-2,inverno,gennaio
2022-12-18,nuvoloso,3,inverno,dicembre
2022-12-02,neve,1,inverno,dicembre
2022-07-12,pioggia,15,estate,luglio
2022-07-16,soleggiato,31,estate,luglio
2022-01-14,soleggiato,1,inverno,gennaio
2022-11-11,soleggiato,11,autunno,novembre
2022-09-07,pioggia,26,autunno,settembre
2022-08-26,pioggia,30,estate,agosto
2022-06-12,soleggiato,26,estate,giugno
2022-11-18,pioggia,16,autunno,novembre
2022-06-24,soleggiato,29,estate,giugno
2022-05-27,pioggia,29,primavera,maggio
2022-08-03,soleggiato,29,estate,agosto
2022-11-15,pioggia,7,autunno,novembre
2022-02-02,soleggiato,11,inverno,febbraio
2022-04-27,pioggia,9,primavera,aprile
2022-02-17,soleggiato,-2,inverno,febbraio
2022-08-06,soleggiato,31,estate,agosto
2022-01-28,soleggiato,-6,inverno,gennaio
2022-09-04,pioggia,28,autunno,settembre
2022-03-19,neve,6,primavera,marzo
2022-12-09,pioggia,3,inverno,dicembre
2022-06-02,pioggia,25,estate,giugno
2022-08-30,soleggiato,20,estate,agosto
2022-10-16,nuvoloso,22,autunno,ottobre
2022-07-20,soleggiato,30,estate,luglio
2022-06-18,soleggiato,24,estate,giugno
2022-07-16,pioggia,27,estate,luglio
2022-02-02,soleggiato,6,inverno,febbraio
2022-07-13,pioggia,26,estate,luglio
2022-08-15,pioggia,28,estate,agosto
2022-03-06,nuvoloso,1,primavera,marzo
2022-07-02,pioggia,24,estate,luglio
2022-01-16,soleggiato,3,inverno,gennaio
2022-10-16,soleggiato,13,autunno,ottobre
2022-03-24,soleggiato,3,primavera,marzo
2022-05-02,pioggia,15,primavera,maggio
2022-09-18,pioggia,5,autunno,settembre
2022-01-11,pioggia,2,inverno,gennaio
2022-07-06,pioggia,25,estate,luglio
2022-11-06,soleggiato,10,autunno,novembre
2022-02-10,soleggiato,5,inverno,febbraio
2022-03-15,soleggiato,8,primavera,marzo
2022-12-05,pioggia,9,inverno,dicembre
2022-03-04,pioggia,4,primavera,marzo
2022-05-21,pioggia,22,primavera,maggio
2022-07-02,soleggiato,30,estate,luglio
2022-11-09,pioggia,11,autunno,novembre
2022-03-27,soleggiato,9,primavera,marzo
2022-06-27,soleggiato,33,estate,giugno
2022-01-06,pioggia,11,inverno,gennaio
2022-08-10,pioggia,33,estate,agosto
2022-11-27,pioggia,3,autunno,novembre
2022-04-11,soleggiato,13,primavera,aprile
2022-01-08,nuvoloso,5,inverno,gennaio
2022-11-23,neve,2,autunno,novembre
2022-02-17,soleggiato,6,inverno,febbraio
2022-11-07,pioggia,10,autunno,novembre
2022-11-26,soleggiato,7,autunno,novembre
2022-12-15,pioggia,0,inverno,dicembre
2022-07-19,soleggiato,29,estate,luglio
2022-09-29,pioggia,7,autunno,settembre
2022-12-07,pioggia,13,inverno,dicembre
2022-11-20,pioggia,9,autunno,novembre
2022-05-30,pioggia,6,primavera,maggio
2022-09-05,soleggiato,26,autunno,settembre
2022-11-16,pioggia,9,autunno,novembre
2022-02-03,soleggiato,8,inverno,febbraio
2022-12-14,pioggia,14,inverno,dicembre
2022-11-03,pioggia,16,autunno,novembre
2022-05-06,pioggia,18,primavera,maggio
2022-01-08,neve,-4,inverno,gennaio
2022-04-21,pioggia,10,primavera,aprile
2022-01-07,soleggiato,-11,inverno,gennaio
2022-04-01,pioggia,8,primavera,aprile
2022-10-17,pioggia,18,autunno,ottobre
2022-05-04,soleggiato,20,primavera,maggio
2022-11-25,nuvoloso,4,autunno,novembre
2022-12-19,soleggiato,9,inverno,dicembre
2022-04-09,soleggiato,15,primavera,aprile
