time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,1,0.8,-6.9
2022-01-02,2,2.0,-5.7
2022-01-03,3,2.0,-5.8
2022-01-04,71,-0.3,-4.6
2022-01-05,75,-0.1,-6.9
2022-01-06,73,-3.9,-14.2
2022-01-07,2,-5.6,-16.5
2022-01-08,2,-4.0,-15.6
2022-01-09,71,-4.6,-9.3
2022-01-10,2,-4.6,-9.1
2022-01-11,0,-5.2,-13.9
2022-01-12,0,-5.8,-14.8
2022-01-13,1,-4.1,-15.1
2022-01-14,0,0.4,-10.0
2022-01-15,0,3.8,-8.1
2022-01-16,0,3.6,-9.5
2022-01-17,1,-1.5,-10.1
2022-01-18,1,-0.5,-11.2
2022-01-19,2,-1.2,-12.2
2022-01-20,3,-1.5,-12.9
2022-01-21,0,-5.7,-15.7
2022-01-22,1,-2.4,-13.5
2022-01-23,1,-0.3,-12.1
2022-01-24,71,-1.4,-11.8
2022-01-25,1,1.4,-7.9
2022-01-26,1,2.6,-6.8
2022-01-27,1,0.8,-8.4
2022-01-28,2,-1.9,-9.7
2022-01-29,1,-0.1,-10.0
2022-01-30,1,4.7,-9.2
2022-01-31,71,-0.2,-9.0
2022-02-01,71,-2.7,-7.8
2022-02-02,71,1.0,-5.7
2022-02-03,3,0.7,-7.2
2022-02-04,1,1.4,-8.0
2022-02-05,1,2.8,-9.3
2022-02-06,71,-0.2,-9.8
2022-02-07,73,-2.6,-9.1
2022-02-08,0,3.1,-10.8
2022-02-09,1,5.6,-11.0
2022-02-10,0,2.4,-7.4
2022-02-11,2,2.3,-9.1
2022-02-12,0,-0.8,-10.7
2022-02-13,1,-1.4,-12.3
2022-02-14,71,-1.2,-11.2
2022-02-15,75,-2.7,-3.6
2022-02-16,51,-1.2,-7.3
2022-02-17,2,2.6,-6.0
2022-02-18,51,2.5,-7.8
2022-02-19,51,1.3,-3.0
2022-02-20,51,3.3,-4.1
2022-02-21,71,0.8,-6.2
2022-02-22,2,1.6,-6.3
2022-02-23,2,5.8,-6.5
2022-02-24,3,3.0,-5.0
2022-02-25,71,1.5,-7.2
2022-02-26,2,-3.1,-12.7
2022-02-27,2,-1.8,-13.5
2022-02-28,73,1.1,-12.0
2022-03-01,71,-1.7,-13.6
2022-03-02,3,0.9,-15.4
2022-03-03,51,2.6,-12.1
2022-03-04,75,-0.5,-8.9
2022-03-05,71,-3.6,-12.2
2022-03-06,51,-4.2,-9.9
2022-03-07,73,-2.4,-12.2
2022-03-08,73,-2.7,-11.9
2022-03-09,1,2.5,-14.1
2022-03-10,2,4.6,-9.0
2022-03-11,71,-2.6,-5.3
2022-03-12,3,-1.2,-9.0
2022-03-13,0,-0.5,-11.7
2022-03-14,2,4.2,-7.3
2022-03-15,51,1.2,-4.5
2022-03-16,3,7.1,-1.6
2022-03-17,51,3.8,-0.3
2022-03-18,51,5.3,-4.5
2022-03-19,71,2.5,-6.6
2022-03-20,3,0.4,-5.8
2022-03-21,1,3.2,-8.5
2022-03-22,1,4.9,-7.5
2022-03-23,0,9.0,-5.4
2022-03-24,0,10.7,-4.5
2022-03-25,51,10.1,-4.3
2022-03-26,1,9.5,-3.8
2022-03-27,0,9.5,-3.9
2022-03-28,0,9.1,-4.6
2022-03-29,51,6.3,-3.7
2022-03-30,73,1.7,-0.7
2022-03-31,73,2.6,-2.1
2022-04-01,73,1.6,-2.0
2022-04-02,75,-0.5,-5.8
2022-04-03,73,-1.4,-9.3
2022-04-04,73,-0.8,-4.9
2022-04-05,3,4.4,-6.0
2022-04-06,51,6.3,-2.4
2022-04-07,51,7.4,-1.8
2022-04-08,53,6.7,-1.7
2022-04-09,51,4.2,-7.9
2022-04-10,2,2.2,-8.1
2022-04-11,2,3.5,-6.6
2022-04-12,2,8.5,-4.4
2022-04-13,3,11.0,-1.7
2022-04-14,2,13.1,-1.0
2022-04-15,61,13.1,-0.8
2022-04-16,51,11.0,-3.4
2022-04-17,51,7.6,-6.5
2022-04-18,71,6.7,-5.7
2022-04-19,51,7.2,-4.5
2022-04-20,51,3.5,-1.5
2022-04-21,71,4.0,-2.2
2022-04-22,71,4.9,0.7
2022-04-23,73,6.1,1.4
2022-04-24,73,4.1,0.1
2022-04-25,73,6.6,-2.6
2022-04-26,71,6.2,-0.5
2022-04-27,51,9.8,-4.1
2022-04-28,51,10.1,-1.8
2022-04-29,53,11.1,-0.3
2022-04-30,53,9.5,-0.3
2022-05-01,61,7.2,1.0
2022-05-02,71,8.9,1.5
2022-05-03,53,11.0,0.8
2022-05-04,53,10.0,0.3
2022-05-05,53,11.1,1.3
2022-05-06,53,7.9,4.2
2022-05-07,53,9.8,3.4
2022-05-08,53,10.6,5.5
2022-05-09,61,15.2,4.4
2022-05-10,53,16.2,4.0
2022-05-11,51,18.4,4.7
2022-05-12,53,20.5,8.7
2022-05-13,61,18.0,8.5
2022-05-14,63,17.4,7.2
2022-05-15,53,20.1,6.8
2022-05-16,63,19.2,8.1
2022-05-17,53,19.4,7.3
2022-05-18,63,18.5,8.7
2022-05-19,51,17.9,8.7
2022-05-20,53,22.0,7.9
2022-05-21,53,20.9,9.4
2022-05-22,61,20.2,9.3
2022-05-23,53,19.4,13.5
2022-05-24,61,18.3,9.8
2022-05-25,63,17.5,8.5
2022-05-26,63,18.7,6.9
2022-05-27,61,21.0,9.2
2022-05-28,63,15.3,7.2
2022-05-29,53,7.0,3.7
2022-05-30,51,9.0,2.2
2022-05-31,51,16.5,6.2
2022-06-01,61,17.7,7.4
2022-06-02,61,20.3,8.6
2022-06-03,61,19.3,10.4
2022-06-04,51,24.8,10.6
2022-06-05,63,22.6,12.0
2022-06-06,53,19.7,7.4
2022-06-07,61,16.9,8.5
2022-06-08,61,16.8,7.5
2022-06-09,61,11.6,7.4
2022-06-10,2,19.5,7.1
2022-06-11,51,21.3,7.3
2022-06-12,51,23.1,9.6
2022-06-13,63,21.7,10.3
2022-06-14,51,20.1,9.2
2022-06-15,63,22.2,10.0
2022-06-16,61,22.1,11.7
2022-06-17,53,22.7,11.3
2022-06-18,51,23.6,11.9
2022-06-19,51,25.4,12.8
2022-06-20,63,25.0,13.2
2022-06-21,63,24.1,14.1
2022-06-22,63,20.4,12.6
2022-06-23,53,22.3,11.5
2022-06-24,63,20.6,12.7
2022-06-25,51,20.2,10.3
2022-06-26,51,23.4,11.2
2022-06-27,51,27.3,14.2
2022-06-28,63,23.6,14.2
2022-06-29,63,21.5,14.9
2022-06-30,53,26.2,13.7
2022-07-01,63,23.0,12.9
2022-07-02,51,23.6,12.3
2022-07-03,51,27.5,14.7
2022-07-04,61,25.3,15.6
2022-07-05,63,24.3,12.8
2022-07-06,53,20.7,12.2
2022-07-07,63,18.7,9.2
2022-07-08,1,20.7,7.8
2022-07-09,51,19.4,7.5
2022-07-10,63,19.1,10.3
2022-07-11,61,18.6,9.2
2022-07-12,61,20.8,10.0
2022-07-13,3,23.6,10.1
2022-07-14,61,23.7,12.6
2022-07-15,61,24.1,12.3
2022-07-16,53,24.8,14.1
