time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,51,8.2,5.0
2022-01-02,51,8.4,4.5
2022-01-03,51,10.4,6.8
2022-01-04,51,10.7,7.4
2022-01-05,71,13.0,3.5
2022-01-06,71,4.0,0.5
2022-01-07,1,5.5,-2.9
2022-01-08,2,5.7,-5.0
2022-01-09,71,3.4,-3.1
2022-01-10,71,3.9,-2.3
2022-01-11,0,4.3,0.3
2022-01-12,1,3.8,-1.9
2022-01-13,0,6.2,-3.2
2022-01-14,0,9.4,-3.9
2022-01-15,2,12.1,-0.6
2022-01-16,3,9.4,0.8
2022-01-17,3,10.6,-0.9
2022-01-18,0,9.8,-2.5
2022-01-19,51,8.3,-4.3
2022-01-20,53,8.9,2.7
2022-01-21,3,5.1,-3.4
2022-01-22,1,6.4,-3.9
2022-01-23,2,8.0,-3.2
2022-01-24,2,8.1,-3.9
2022-01-25,2,7.3,-2.7
2022-01-26,3,7.4,0.2
2022-01-27,3,7.5,2.1
2022-01-28,3,12.5,-1.3
2022-01-29,2,8.4,-4.6
2022-01-30,3,10.6,0.0
2022-01-31,51,8.2,1.3
2022-02-01,0,11.8,-2.7
2022-02-02,0,14.5,-2.0
2022-02-03,1,13.6,-1.4
2022-02-04,51,12.0,4.7
2022-02-05,51,13.5,2.0
2022-02-06,3,10.0,0.2
2022-02-07,51,11.8,2.7
2022-02-08,0,10.7,-3.5
2022-02-09,2,12.5,-1.6
2022-02-10,1,12.0,1.8
2022-02-11,3,11.5,-0.7
2022-02-12,2,7.4,0.3
2022-02-13,51,10.1,-3.4
2022-02-14,53,10.6,3.7
2022-02-15,63,8.5,5.9
2022-02-16,51,10.8,2.0
2022-02-17,3,10.7,1.5
2022-02-18,3,11.4,1.2
2022-02-19,51,14.5,8.2
2022-02-20,51,15.1,7.8
2022-02-21,53,12.6,1.2
2022-02-22,0,14.1,-2.2
2022-02-23,0,15.5,-2.0
2022-02-24,2,12.5,-0.2
2022-02-25,61,13.6,3.4
2022-02-26,51,5.2,1.4
2022-02-27,3,4.5,0.6
2022-02-28,3,11.1,-1.4
2022-03-01,2,5.9,-0.6
2022-03-02,2,10.0,-5.9
2022-03-03,51,10.3,1.1
2022-03-04,61,9.3,-0.1
2022-03-05,1,4.4,-2.5
2022-03-06,3,4.1,-2.8
2022-03-07,2,6.4,-4.0
2022-03-08,0,4.9,-4.7
2022-03-09,1,10.9,-5.1
2022-03-10,0,13.2,-2.2
2022-03-11,2,12.5,-3.4
2022-03-12,1,8.8,-2.2
2022-03-13,3,12.3,-2.9
2022-03-14,3,15.3,3.6
2022-03-15,3,14.1,1.4
2022-03-16,51,14.2,6.0
2022-03-17,3,13.7,5.2
2022-03-18,2,10.4,5.6
2022-03-19,1,10.9,3.9
2022-03-20,2,12.3,1.3
2022-03-21,0,11.5,-1.4
2022-03-22,0,12.8,-4.0
2022-03-23,0,16.1,-3.3
2022-03-24,0,18.2,-1.3
2022-03-25,2,17.7,0.4
2022-03-26,2,19.3,2.1
2022-03-27,2,16.2,3.4
2022-03-28,1,20.9,2.7
2022-03-29,1,15.2,2.4
2022-03-30,63,10.9,5.7
2022-03-31,61,11.5,8.9
2022-04-01,53,11.0,4.0
2022-04-02,53,6.8,1.3
2022-04-03,51,10.8,-1.3
2022-04-04,51,12.7,0.2
2022-04-05,2,14.1,2.2
2022-04-06,53,14.6,0.3
2022-04-07,51,13.0,4.0
2022-04-08,51,16.6,12.1
2022-04-09,71,13.6,2.8
2022-04-10,1,15.1,0.5
2022-04-11,1,15.7,0.0
2022-04-12,1,17.4,1.6
2022-04-13,1,20.2,3.6
2022-04-14,1,21.7,4.3
2022-04-15,1,24.2,6.5
2022-04-16,53,22.2,6.3
2022-04-17,1,11.1,5.0
2022-04-18,0,17.3,2.6
2022-04-19,3,15.4,3.2
2022-04-20,51,17.7,9.1
2022-04-21,61,16.3,10.1
2022-04-22,63,14.9,9.0
2022-04-23,63,19.6,9.8
2022-04-24,63,13.4,9.4
2022-04-25,53,15.9,9.9
2022-04-26,51,18.5,9.0
2022-04-27,3,21.5,7.2
2022-04-28,0,20.0,5.5
2022-04-29,0,18.6,5.2
2022-04-30,2,22.4,3.8
