time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,3,6.6,-2.2
2022-01-02,3,5.4,-3.3
2022-01-03,3,5.0,0.7
2022-01-04,3,8.0,2.3
2022-01-05,71,10.3,-1.8
2022-01-06,61,6.3,-0.6
2022-01-07,1,3.8,-3.3
2022-01-08,3,3.5,-4.6
2022-01-09,71,0.7,-5.0
2022-01-10,2,5.7,-4.0
2022-01-11,0,7.2,-5.7
2022-01-12,0,5.9,-5.0
2022-01-13,0,6.2,-4.4
2022-01-14,0,7.3,-4.1
2022-01-15,0,8.8,-5.1
2022-01-16,3,8.6,-3.7
2022-01-17,3,8.9,-3.1
2022-01-18,0,8.5,-2.8
2022-01-19,3,5.3,-2.3
2022-01-20,51,4.6,-2.0
2022-01-21,3,5.3,-2.9
2022-01-22,3,5.9,-4.6
2022-01-23,3,6.5,-4.4
2022-01-24,3,2.9,-3.7
2022-01-25,3,5.0,-1.7
2022-01-26,3,3.0,-2.5
2022-01-27,3,2.6,-1.9
2022-01-28,3,5.4,-2.7
2022-01-29,1,8.3,-4.9
2022-01-30,1,7.8,-5.5
2022-01-31,3,5.3,-4.9
2022-02-01,0,9.8,-3.8
2022-02-02,1,11.1,-4.8
2022-02-03,2,9.5,-2.3
2022-02-04,3,9.0,0.4
2022-02-05,2,10.3,0.3
2022-02-06,3,7.8,-2.1
2022-02-07,2,10.4,-1.7
2022-02-08,0,10.9,-4.6
2022-02-09,0,11.6,-4.4
2022-02-10,1,11.1,-2.5
2022-02-11,3,11.2,1.6
2022-02-12,0,7.0,-1.0
2022-02-13,1,7.8,-4.8
2022-02-14,51,5.7,-3.5
2022-02-15,63,5.4,1.1
2022-02-16,3,9.2,0.3
2022-02-17,2,10.9,-1.2
2022-02-18,3,10.7,1.9
2022-02-19,51,11.2,3.4
2022-02-20,51,13.1,6.0
2022-02-21,51,13.2,2.9
2022-02-22,2,13.9,-0.6
2022-02-23,0,12.9,-0.8
2022-02-24,2,11.9,-1.9
2022-02-25,51,12.8,-0.8
2022-02-26,51,8.9,0.1
2022-02-27,1,6.7,-1.6
2022-02-28,3,9.1,-3.9
2022-03-01,1,7.4,-3.2
2022-03-02,3,9.3,-4.8
2022-03-03,2,10.9,-1.8
2022-03-04,51,7.6,1.8
2022-03-05,1,4.8,-1.7
2022-03-06,2,5.1,-2.7
2022-03-07,3,7.4,-4.3
2022-03-08,3,6.9,-2.7
2022-03-09,1,10.2,-4.5
2022-03-10,0,12.8,-2.7
2022-03-11,3,6.9,0.7
2022-03-12,2,5.5,-4.0
2022-03-13,3,8.3,-5.6
2022-03-14,1,12.4,-0.2
2022-03-15,3,11.7,2.4
2022-03-16,2,14.6,5.9
2022-03-17,3,11.7,6.1
2022-03-18,1,9.5,4.3
2022-03-19,0,9.7,2.3
2022-03-20,0,9.4,1.7
2022-03-21,0,10.4,-1.3
2022-03-22,0,11.2,-0.2
2022-03-23,0,16.6,-1.5
2022-03-24,0,19.1,1.4
2022-03-25,1,19.2,0.5
2022-03-26,0,19.3,2.9
2022-03-27,0,18.4,2.9
2022-03-28,0,18.8,2.4
2022-03-29,3,16.7,5.0
2022-03-30,51,12.5,7.9
2022-03-31,61,11.9,7.8
2022-04-01,61,16.0,6.7
2022-04-02,53,9.2,3.4
2022-04-03,51,9.0,2.8
2022-04-04,51,12.5,4.4
2022-04-05,0,15.1,0.6
2022-04-06,3,14.9,5.3
2022-04-07,3,17.9,8.1
2022-04-08,51,22.2,8.7
2022-04-09,63,18.6,1.7
2022-04-10,1,14.0,1.9
2022-04-11,1,17.2,1.6
2022-04-12,1,18.5,4.3
2022-04-13,1,16.7,6.9
2022-04-14,1,22.4,4.3
2022-04-15,1,21.6,5.4
2022-04-16,53,18.0,9.0
2022-04-17,1,13.4,5.4
2022-04-18,1,16.4,3.0
2022-04-19,3,17.6,4.1
2022-04-20,3,13.2,8.3
2022-04-21,61,10.9,7.1
2022-04-22,61,14.1,6.9
2022-04-23,61,19.1,7.1
2022-04-24,63,14.8,8.3
2022-04-25,51,18.6,6.5
2022-04-26,53,19.9,11.9
2022-04-27,53,20.1,10.9
2022-04-28,1,19.7,8.1
2022-04-29,1,19.3,10.3
2022-04-30,2,21.2,9.4
2022-05-01,53,19.6,11.2
2022-05-02,53,19.7,11.4
2022-05-03,2,22.8,11.1
2022-05-04,53,24.2,11.6
2022-05-05,53,17.7,12.1
2022-05-06,61,14.6,12.8
2022-05-07,53,18.3,13.2
2022-05-08,51,21.0,14.4
2022-05-09,1,24.2,14.7
2022-05-10,1,28.6,12.3
2022-05-11,1,29.4,14.1
2022-05-12,1,29.6,17.1
2022-05-13,1,30.5,17.1
2022-05-14,53,30.1,18.2
2022-05-15,51,31.7,19.1
2022-05-16,51,31.1,20.3
2022-05-17,2,31.3,19.1
2022-05-18,53,26.4,19.4
2022-05-19,1,27.1,16.0
2022-05-20,1,31.9,15.7
2022-05-21,1,33.3,17.9
2022-05-22,3,31.1,21.4
2022-05-23,51,31.9,22.9
2022-05-24,61,32.5,20.3
2022-05-25,53,30.0,19.3
2022-05-26,51,29.7,20.8
2022-05-27,3,34.3,21.7
2022-05-28,53,25.5,12.6
2022-05-29,53,16.5,12.3
2022-05-30,53,20.4,13.5
2022-05-31,61,25.9,18.4
2022-06-01,51,30.6,18.1
2022-06-02,51,31.9,22.6
2022-06-03,51,30.7,22.7
2022-06-04,3,34.8,21.8
2022-06-05,51,34.0,24.3
2022-06-06,2,31.3,21.1
2022-06-07,53,27.2,19.2
2022-06-08,61,29.2,17.2
2022-06-09,61,22.7,18.9
2022-06-10,2,29.2,18.2
2022-06-11,1,31.9,18.5
2022-06-12,0,34.5,19.8
2022-06-13,51,35.6,20.7
2022-06-14,51,30.5,21.3
2022-06-15,3,34.4,21.8
2022-06-16,1,37.4,22.9
2022-06-17,51,36.3,24.9
2022-06-18,1,34.7,24.0
2022-06-19,0,35.6,21.2
2022-06-20,0,37.1,23.0
2022-06-21,53,37.7,27.2
2022-06-22,53,34.0,26.1
2022-06-23,51,36.3,23.6
2022-06-24,53,33.2,23.5
2022-06-25,1,33.8,22.7
2022-06-26,1,38.3,23.7
2022-06-27,1,35.8,26.4
2022-06-28,53,35.1,26.0
2022-06-29,65,32.3,25.4
2022-06-30,2,37.4,25.3
2022-07-01,61,36.7,25.1
2022-07-02,1,35.7,23.2
2022-07-03,1,38.7,24.4
2022-07-04,61,39.2,24.5
2022-07-05,53,35.5,23.9
2022-07-06,53,33.1,24.0
2022-07-07,53,33.0,21.9
2022-07-08,1,32.3,20.2
2022-07-09,2,29.3,20.7
2022-07-10,1,32.8,19.6
2022-07-11,51,31.0,22.8
2022-07-12,51,33.7,22.4
2022-07-13,1,34.9,22.0
2022-07-14,1,35.4,23.0
2022-07-15,1,38.8,23.7
2022-07-16,1,37.7,24.0
2022-07-17,1,34.3,25.8
2022-07-18,1,34.4,24.6
2022-07-19,1,35.9,24.3
2022-07-20,1,38.7,23.3
2022-07-21,51,38.9,24.3
2022-07-22,2,39.8,26.7
2022-07-23,51,40.9,26.9
2022-07-24,1,39.7,27.7
2022-07-25,2,42.2,28.5
2022-07-26,61,34.6,27.6
2022-07-27,53,33.6,26.5
2022-07-28,2,34.3,25.8
2022-07-29,65,37.5,25.2
2022-07-30,63,34.2,22.5
2022-07-31,1,34.9,23.7
2022-08-01,1,37.7,24.5
2022-08-02,53,33.5,23.3
2022-08-03,1,35.8,24.2
2022-08-04,1,38.3,25.0
2022-08-05,1,40.0,25.8
2022-08-06,51,39.2,26.5
2022-08-07,53,30.4,25.2
2022-08-08,2,33.4,24.1
2022-08-09,2,32.2,23.8
2022-08-10,2,31.6,23.0
2022-08-11,3,30.8,22.7
2022-08-12,53,28.7,20.0
2022-08-13,1,29.9,18.3
2022-08-14,2,33.4,19.1
2022-08-15,63,35.1,22.6
2022-08-16,1,33.8,21.5
2022-08-17,51,35.9,25.5
2022-08-18,63,28.1,24.3
2022-08-19,65,28.8,20.7
2022-08-20,1,33.4,20.3
2022-08-21,51,34.1,22.5
2022-08-22,51,33.4,22.9
2022-08-23,61,31.2,21.9
2022-08-24,1,32.7,21.9
2022-08-25,1,34.9,22.5
2022-08-26,1,34.9,23.9
2022-08-27,51,30.8,24.2
2022-08-28,53,32.8,21.8
2022-08-29,53,34.8,23.7
2022-08-30,61,34.8,25.4
2022-08-31,61,29.9,22.9
2022-09-01,3,25.6,20.7
2022-09-02,2,27.4,18.3
2022-09-03,63,28.8,19.7
2022-09-04,51,31.9,20.8
2022-09-05,2,33.0,21.1
2022-09-06,51,34.1,23.5
2022-09-07,53,32.5,22.8
2022-09-08,63,32.4,21.9
2022-09-09,53,28.3,21.9
2022-09-10,51,28.6,19.8
2022-09-11,1,28.4,18.3
2022-09-12,51,29.5,17.8
2022-09-13,2,31.0,18.5
2022-09-14,53,30.6,22.7
2022-09-15,53,31.3,23.2
2022-09-16,61,29.7,18.9
2022-09-17,63,19.2,10.2
2022-09-18,1,22.2,7.8
2022-09-19,1,24.9,10.8
2022-09-20,1,21.7,11.9
2022-09-21,1,18.1,11.3
2022-09-22,1,19.8,8.8
2022-09-23,1,21.3,8.8
2022-09-24,61,20.8,12.0
2022-09-25,61,20.8,15.3
2022-09-26,53,22.8,13.3
2022-09-27,51,23.2,12.7
2022-09-28,53,20.4,13.2
2022-09-29,53,21.9,13.4
2022-09-30,61,18.4,14.5
2022-10-01,51,19.9,12.5
2022-10-02,1,23.9,12.3
2022-10-03,2,25.3,16.4
2022-10-04,51,23.2,15.9
2022-10-05,3,24.3,14.7
2022-10-06,3,25.2,13.5
2022-10-07,1,25.5,12.2
2022-10-08,2,24.8,11.7
2022-10-09,51,21.7,16.6
2022-10-10,51,21.7,14.1
2022-10-11,1,23.8,12.2
2022-10-12,3,22.2,14.1
2022-10-13,1,23.3,11.9
2022-10-14,2,23.5,11.7
2022-10-15,3,24.1,13.8
2022-10-16,3,25.4,15.9
2022-10-17,1,25.1,13.3
2022-10-18,1,25.6,12.5
2022-10-19,1,26.1,14.3
2022-10-20,3,24.3,14.4
2022-10-21,51,22.3,15.3
2022-10-22,53,23.7,17.7
2022-10-23,51,25.9,16.4
2022-10-24,3,24.7,17.6
2022-10-25,53,24.0,16.2
2022-10-26,3,25.3,14.1
2022-10-27,2,25.3,15.3
2022-10-28,2,25.1,12.8
2022-10-29,1,25.0,11.6
2022-10-30,2,25.5,10.4
2022-10-31,1,24.5,9.9
2022-11-01,3,20.4,9.1
2022-11-02,53,20.5,11.2
2022-11-03,61,19.3,14.9
2022-11-04,63,16.6,8.9
2022-11-05,1,17.6,6.3
2022-11-06,1,16.5,3.2
2022-11-07,1,16.3,3.0
2022-11-08,2,16.4,2.7
2022-11-09,53,16.9,8.5
2022-11-10,61,15.4,11.4
2022-11-11,1,17.4,7.1
2022-11-12,3,15.3,6.8
2022-11-13,61,13.3,7.8
2022-11-14,61,13.9,7.3
2022-11-15,51,12.1,3.8
2022-11-16,53,12.0,7.5
2022-11-17,53,14.1,5.9
2022-11-18,61,14.6,6.3
2022-11-19,53,10.4,6.4
2022-11-20,2,12.4,3.2
2022-11-21,53,10.8,0.7
2022-11-22,63,8.6,4.3
2022-11-23,51,11.2,2.3
2022-11-24,1,12.3,1.2
2022-11-25,3,11.6,2.2
2022-11-26,2,11.3,2.7
2022-11-27,1,10.2,0.7
2022-11-28,3,6.6,0.8
2022-11-29,51,5.0,1.6
2022-11-30,3,6.4,1.0
2022-12-01,51,8.6,1.6
2022-12-02,51,6.5,4.1
2022-12-03,61,7.7,4.2
2022-12-04,61,11.1,6.9
2022-12-05,53,12.6,4.7
2022-12-06,3,9.0,0.1
2022-12-07,3,8.3,0.2
2022-12-08,53,7.4,1.4
2022-12-09,61,6.6,2.9
2022-12-10,53,8.4,3.3
2022-12-11,63,7.5,-1.1
2022-12-12,2,4.0,-3.0
2022-12-13,3,2.0,-1.5
2022-12-14,3,4.2,-0.4
2022-12-15,63,6.1,-1.1
2022-12-16,53,5.8,3.2
2022-12-17,51,7.3,2.9
2022-12-18,2,6.6,-2.0
2022-12-19,3,5.1,-1.9
2022-12-20,3,5.9,1.7
2022-12-21,51,6.1,2.3
2022-12-22,3,7.4,3.2
2022-12-23,3,8.5,3.5
2022-12-24,3,9.4,4.2
2022-12-25,3,11.0,2.7
