time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,3,12.6,7.3
2022-01-02,51,10.6,8.2
2022-01-03,51,12.2,9.2
2022-01-04,51,13.0,10.1
2022-01-05,53,13.2,10.4
2022-01-06,53,11.1,8.1
2022-01-07,2,8.8,5.9
2022-01-08,2,8.9,3.2
2022-01-09,61,8.1,2.4
2022-01-10,51,5.6,3.1
2022-01-11,51,6.2,3.0
2022-01-12,1,5.0,1.0
2022-01-13,0,6.5,0.0
2022-01-14,0,9.4,-0.0
2022-01-15,0,13.9,3.1
2022-01-16,2,13.2,4.2
2022-01-17,51,12.0,4.8
2022-01-18,0,12.5,3.1
2022-01-19,2,10.1,1.3
2022-01-20,53,9.5,5.1
2022-01-21,51,9.8,2.1
2022-01-22,0,6.5,-1.0
2022-01-23,1,8.8,0.3
2022-01-24,51,6.0,-0.2
2022-01-25,1,6.2,-2.5
2022-01-26,0,8.4,0.5
2022-01-27,2,10.0,1.5
2022-01-28,53,10.4,3.6
2022-01-29,51,7.2,1.3
2022-01-30,2,10.3,1.4
2022-01-31,53,9.7,5.1
2022-02-01,51,7.2,2.9
2022-02-02,0,10.7,1.4
2022-02-03,1,11.9,1.9
2022-02-04,3,11.8,4.7
2022-02-05,3,13.3,7.4
2022-02-06,51,13.3,6.4
2022-02-07,53,12.2,4.9
2022-02-08,1,9.0,2.7
2022-02-09,0,12.4,1.7
2022-02-10,1,12.6,4.6
2022-02-11,3,11.9,3.1
2022-02-12,1,12.1,4.2
2022-02-13,51,12.8,5.2
2022-02-14,61,11.7,7.7
2022-02-15,63,10.9,8.1
2022-02-16,53,10.3,5.5
2022-02-17,2,10.9,3.3
2022-02-18,3,14.0,8.5
2022-02-19,51,14.2,9.3
2022-02-20,3,14.6,8.5
2022-02-21,53,10.3,8.2
2022-02-22,53,9.1,5.9
2022-02-23,0,13.0,3.3
2022-02-24,1,14.5,2.5
2022-02-25,2,12.4,5.9
2022-02-26,73,9.6,0.8
2022-02-27,61,7.8,2.2
2022-02-28,51,8.9,1.4
2022-03-01,1,4.8,-1.4
2022-03-02,1,7.5,-3.0
2022-03-03,3,9.7,1.1
2022-03-04,53,10.6,3.5
2022-03-05,61,6.1,1.4
2022-03-06,51,8.4,0.7
2022-03-07,53,7.8,0.7
2022-03-08,1,3.7,-0.5
2022-03-09,1,7.6,-1.4
2022-03-10,0,11.7,0.8
2022-03-11,3,9.3,1.0
2022-03-12,3,7.7,-0.4
2022-03-13,1,10.3,-1.5
2022-03-14,1,13.7,0.3
2022-03-15,1,14.3,3.1
2022-03-16,1,14.7,4.5
2022-03-17,1,14.9,6.9
2022-03-18,51,11.2,7.0
2022-03-19,53,10.7,4.9
