time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,2,7.5,-1.7
2022-01-02,3,7.7,-1.3
2022-01-03,3,6.3,1.3
2022-01-04,51,5.7,3.2
2022-01-05,63,6.9,2.6
2022-01-06,53,6.7,-0.5
2022-01-07,1,4.4,-2.9
2022-01-08,3,3.2,-5.8
2022-01-09,71,2.0,-3.9
2022-01-10,3,4.4,-4.7
2022-01-11,0,6.7,-5.5
2022-01-12,0,5.3,-5.8
2022-01-13,0,5.0,-5.7
2022-01-14,0,7.7,-4.8
2022-01-15,0,8.6,-5.3
2022-01-16,2,8.3,-3.4
2022-01-17,1,8.9,-2.9
2022-01-18,0,7.5,-1.2
2022-01-19,3,6.4,-1.8
2022-01-20,53,5.7,-2.7
2022-01-21,2,4.2,-2.6
2022-01-22,3,4.9,-4.4
2022-01-23,2,4.6,-5.1
2022-01-24,3,2.5,-5.2
2022-01-25,3,4.0,-3.7
2022-01-26,3,4.6,-3.3
2022-01-27,3,4.3,-1.8
2022-01-28,2,7.8,-0.2
2022-01-29,1,9.1,-4.2
2022-01-30,1,13.5,-2.2
2022-01-31,3,8.1,-1.4
2022-02-01,0,10.5,0.1
2022-02-02,0,14.2,1.1
2022-02-03,2,10.3,-0.6
2022-02-04,3,8.8,2.5
2022-02-05,2,10.1,0.8
2022-02-06,3,7.9,-0.9
2022-02-07,2,8.0,-1.0
2022-02-08,0,11.2,-5.2
2022-02-09,1,13.1,-3.6
2022-02-10,3,12.8,1.5
2022-02-11,53,11.9,4.6
2022-02-12,51,7.0,0.1
2022-02-13,1,7.2,-2.4
2022-02-14,53,3.7,-1.3
2022-02-15,75,1.5,-2.0
2022-02-16,2,8.6,-2.6
2022-02-17,1,12.9,-0.0
2022-02-18,3,10.4,0.5
2022-02-19,51,10.9,5.6
2022-02-20,51,13.6,4.6
2022-02-21,51,12.4,3.4
2022-02-22,0,13.2,2.2
2022-02-23,0,13.0,-0.4
2022-02-24,2,12.1,-0.9
2022-02-25,63,13.5,0.9
2022-02-26,51,9.3,-0.6
2022-02-27,1,8.9,-3.6
2022-02-28,2,10.0,-3.8
2022-03-01,2,6.9,-3.4
2022-03-02,2,9.3,-6.2
2022-03-03,2,11.2,0.6
2022-03-04,53,8.6,0.2
2022-03-05,2,5.6,-2.5
2022-03-06,2,5.7,-2.7
2022-03-07,1,7.2,-5.3
2022-03-08,2,6.1,-3.3
2022-03-09,0,10.5,-6.2
2022-03-10,0,12.3,-4.0
2022-03-11,3,7.6,-0.9
2022-03-12,3,5.6,-2.6
2022-03-13,3,8.2,-4.6
2022-03-14,3,11.5,2.9
2022-03-15,51,12.4,4.5
2022-03-16,3,15.0,7.0
2022-03-17,3,11.8,5.8
2022-03-18,2,9.7,3.6
2022-03-19,1,10.0,1.6
2022-03-20,0,9.8,0.2
2022-03-21,0,10.1,-0.4
2022-03-22,0,10.7,-0.9
2022-03-23,0,15.5,-0.6
2022-03-24,0,18.6,0.4
2022-03-25,1,18.1,0.0
2022-03-26,0,18.1,1.9
2022-03-27,1,17.5,6.6
2022-03-28,0,19.2,3.7
2022-03-29,3,17.0,3.9
2022-03-30,53,11.2,6.5
2022-03-31,61,12.2,7.0
2022-04-01,53,13.4,3.4
2022-04-02,51,7.0,0.4
2022-04-03,51,9.3,2.9
2022-04-04,51,11.1,0.5
2022-04-05,0,16.1,-0.7
2022-04-06,3,15.2,2.0
2022-04-07,3,18.3,5.2
2022-04-08,2,20.7,9.5
2022-04-09,61,17.2,4.6
2022-04-10,2,13.9,1.3
2022-04-11,1,17.4,2.3
2022-04-12,1,17.7,2.1
2022-04-13,1,17.1,6.9
2022-04-14,1,20.1,8.1
2022-04-15,0,21.4,7.2
2022-04-16,51,20.7,8.8
2022-04-17,1,15.0,4.7
2022-04-18,1,16.3,4.1
2022-04-19,1,18.8,2.5
2022-04-20,3,13.7,7.5
2022-04-21,61,10.2,7.4
2022-04-22,61,13.5,7.6
2022-04-23,61,17.4,7.4
2022-04-24,63,15.2,7.6
2022-04-25,51,18.3,6.1
2022-04-26,53,19.0,10.2
2022-04-27,51,19.9,8.5
2022-04-28,1,19.8,7.1
2022-04-29,1,20.2,10.3
2022-04-30,51,19.5,8.6
2022-05-01,53,20.9,11.9
2022-05-02,51,20.0,9.4
2022-05-03,53,22.4,8.8
2022-05-04,53,20.8,12.2
2022-05-05,61,17.1,11.0
2022-05-06,61,14.0,11.2
2022-05-07,53,17.8,13.0
2022-05-08,53,21.6,14.1
2022-05-09,51,24.5,13.8
2022-05-10,1,27.0,12.7
2022-05-11,1,29.2,13.4
2022-05-12,1,29.1,14.1
2022-05-13,1,28.2,13.4
2022-05-14,2,30.1,14.6
2022-05-15,53,30.5,19.0
2022-05-16,1,30.1,17.4
