time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,0,10.0,1.1
2022-01-02,2,12.3,-0.2
2022-01-03,3,7.9,-0.9
2022-01-04,3,9.3,2.7
2022-01-05,2,11.3,2.5
2022-01-06,51,7.6,3.2
2022-01-07,51,3.5,1.9
2022-01-08,51,2.1,-0.6
2022-01-09,53,2.5,-4.8
2022-01-10,75,-0.0,-3.1
2022-01-11,71,-0.1,-2.1
2022-01-12,71,-0.0,-2.9
2022-01-13,3,0.1,-5.0
2022-01-14,3,4.5,-4.7
2022-01-15,0,8.0,-1.8
2022-01-16,2,9.9,-0.6
2022-01-17,3,5.2,-3.0
2022-01-18,0,5.1,-3.1
2022-01-19,1,5.5,-5.9
2022-01-20,3,4.4,-5.4
2022-01-21,53,2.8,-3.3
2022-01-22,71,-0.6,-7.2
2022-01-23,73,0.7,-6.5
2022-01-24,73,-1.0,-7.5
2022-01-25,1,-2.7,-9.4
2022-01-26,1,5.0,-5.8
2022-01-27,2,6.4,-6.1
2022-01-28,73,4.8,-4.4
2022-01-29,51,-1.9,-5.7
2022-01-30,0,6.1,-6.1
2022-01-31,51,4.2,-3.6
2022-02-01,73,1.1,-3.9
2022-02-02,1,5.5,-3.8
2022-02-03,51,2.6,-5.7
2022-02-04,2,7.0,-5.3
2022-02-05,51,9.1,-2.4
2022-02-06,3,9.1,3.4
2022-02-07,61,4.4,-2.9
2022-02-08,2,-0.7,-4.5
2022-02-09,0,9.4,-4.3
2022-02-10,0,11.4,-3.7
2022-02-11,1,11.3,-3.7
2022-02-12,51,6.3,0.3
2022-02-13,51,7.5,-0.8
2022-02-14,3,6.3,-2.1
2022-02-15,53,6.3,-1.1
2022-02-16,51,5.1,-2.3
2022-02-17,3,7.4,-3.6
2022-02-18,2,13.0,-0.8
2022-02-19,3,13.9,0.2
2022-02-20,3,11.4,4.4
2022-02-21,51,7.2,2.7
2022-02-22,75,2.3,-2.4
2022-02-23,0,4.1,-2.5
2022-02-24,1,8.5,-5.0
2022-02-25,2,8.8,-5.2
2022-02-26,75,5.3,-3.6
2022-02-27,75,-2.3,-4.8
2022-02-28,71,-0.6,-8.3
2022-03-01,73,-3.5,-8.7
2022-03-02,71,-1.8,-9.2
2022-03-03,3,3.5,-9.0
2022-03-04,3,6.3,-4.1
2022-03-05,75,-0.3,-4.2
2022-03-06,71,-0.6,-5.1
2022-03-07,73,-0.0,-5.0
2022-03-08,73,-3.2,-11.6
2022-03-09,51,-2.2,-11.3
2022-03-10,51,2.3,-4.7
2022-03-11,2,0.9,-5.3
2022-03-12,3,2.1,-7.2
2022-03-13,0,5.7,-7.0
2022-03-14,0,8.4,-3.2
2022-03-15,1,12.1,-2.7
2022-03-16,1,13.4,-2.7
2022-03-17,3,9.4,4.7
2022-03-18,53,7.0,3.7
2022-03-19,53,5.5,-0.3
2022-03-20,71,2.6,-4.2
2022-03-21,73,2.5,-5.8
2022-03-22,3,4.4,-4.2
2022-03-23,0,8.7,-4.2
2022-03-24,0,12.3,-2.0
2022-03-25,0,14.5,-4.3
2022-03-26,2,13.3,3.0
2022-03-27,53,9.4,2.7
2022-03-28,53,8.8,3.1
2022-03-29,3,12.8,0.4
2022-03-30,61,10.0,0.4
2022-03-31,61,10.5,6.9
2022-04-01,53,7.5,2.2
2022-04-02,71,2.4,-4.0
2022-04-03,51,4.9,-4.3
2022-04-04,3,5.3,-0.8
2022-04-05,51,10.0,1.1
2022-04-06,61,13.7,0.2
2022-04-07,53,8.7,5.2
2022-04-08,2,12.7,4.9
2022-04-09,3,10.0,4.6
2022-04-10,71,5.7,-1.5
2022-04-11,0,9.6,-3.5
2022-04-12,1,15.9,-1.9
2022-04-13,1,13.6,3.4
2022-04-14,2,13.7,3.0
2022-04-15,3,17.0,1.9
2022-04-16,3,14.9,7.8
2022-04-17,53,7.3,1.1
2022-04-18,51,5.5,-2.5
2022-04-19,2,11.5,-3.3
2022-04-20,51,15.7,-0.6
2022-04-21,53,11.5,5.8
2022-04-22,53,8.6,7.1
2022-04-23,3,15.6,5.8
2022-04-24,1,16.6,4.7
2022-04-25,3,12.1,2.8
2022-04-26,3,18.5,1.6
2022-04-27,2,19.7,1.1
2022-04-28,1,13.9,3.5
2022-04-29,1,14.3,2.5
2022-04-30,2,16.3,3.8
2022-05-01,51,16.4,5.6
2022-05-02,63,13.9,3.4
2022-05-03,53,13.9,2.0
2022-05-04,51,17.8,3.7
2022-05-05,3,19.5,6.7
2022-05-06,53,11.9,8.3
2022-05-07,61,10.1,8.5
2022-05-08,53,13.4,7.2
2022-05-09,61,16.9,9.1
2022-05-10,61,18.6,7.0
2022-05-11,51,19.8,4.9
2022-05-12,3,22.0,7.3
2022-05-13,3,23.4,8.9
2022-05-14,3,24.0,9.7
2022-05-15,51,24.2,9.6
2022-05-16,51,24.4,10.6
2022-05-17,61,25.3,11.6
2022-05-18,51,20.4,10.4
2022-05-19,0,17.8,8.7
2022-05-20,0,22.3,2.0
2022-05-21,0,25.6,8.3
2022-05-22,2,26.3,10.7
2022-05-23,3,26.4,12.7
2022-05-24,0,26.2,12.0
2022-05-25,51,28.8,12.3
2022-05-26,2,29.3,15.1
2022-05-27,53,27.2,18.2
2022-05-28,51,25.7,13.4
2022-05-29,53,23.7,13.3
2022-05-30,3,24.6,13.5
2022-05-31,2,26.8,13.8
2022-06-01,0,28.9,12.5
2022-06-02,0,30.2,16.4
2022-06-03,1,32.5,16.6
2022-06-04,2,31.5,17.6
2022-06-05,53,31.9,17.1
2022-06-06,1,30.9,18.0
2022-06-07,1,27.9,17.0
2022-06-08,51,24.9,15.5
2022-06-09,61,18.5,12.7
2022-06-10,61,17.5,12.3
2022-06-11,51,21.4,14.5
2022-06-12,0,22.9,13.9
2022-06-13,0,25.1,13.1
2022-06-14,53,26.5,13.8
2022-06-15,1,25.8,16.4
2022-06-16,51,28.1,14.6
2022-06-17,61,28.8,14.8
2022-06-18,1,22.4,14.6
2022-06-19,2,25.4,13.4
2022-06-20,0,27.0,12.0
2022-06-21,1,30.2,14.5
2022-06-22,1,32.2,17.0
2022-06-23,3,30.6,15.3
2022-06-24,1,30.7,19.0
2022-06-25,51,28.3,18.9
2022-06-26,1,32.9,18.0
2022-06-27,2,34.0,19.7
2022-06-28,51,34.0,17.6
2022-06-29,1,32.3,19.2
2022-06-30,0,32.8,18.0
2022-07-01,51,35.4,21.2
2022-07-02,51,32.7,18.4
2022-07-03,0,31.9,21.5
2022-07-04,0,33.3,21.9
2022-07-05,53,32.9,19.3
2022-07-06,51,30.7,19.3
2022-07-07,63,30.9,19.5
2022-07-08,61,19.3,14.2
2022-07-09,51,20.2,11.6
2022-07-10,51,21.5,11.3
2022-07-11,1,23.8,12.0
2022-07-12,53,27.2,15.9
2022-07-13,53,23.6,14.3
2022-07-14,0,25.2,13.0
2022-07-15,0,30.4,16.1
2022-07-16,1,32.5,16.7
2022-07-17,51,31.2,20.5
2022-07-18,51,29.3,19.2
2022-07-19,0,28.9,17.6
2022-07-20,0,29.2,18.4
2022-07-21,0,31.3,18.8
2022-07-22,0,32.8,19.4
2022-07-23,51,34.5,19.7
2022-07-24,51,33.8,21.9
2022-07-25,2,33.2,20.5
2022-07-26,51,33.3,21.3
2022-07-27,63,34.2,19.4
2022-07-28,51,31.4,19.0
2022-07-29,0,32.9,20.2
2022-07-30,1,31.6,17.1
2022-07-31,51,27.0,16.5
2022-08-01,0,26.2,15.1
2022-08-02,0,28.0,16.8
2022-08-03,51,28.0,18.4
2022-08-04,1,31.1,20.3
2022-08-05,1,31.3,19.6
2022-08-06,1,31.5,19.7
2022-08-07,53,31.1,19.7
2022-08-08,63,32.2,21.3
2022-08-09,63,28.0,17.2
2022-08-10,63,28.5,17.5
2022-08-11,63,27.9,16.5
2022-08-12,63,25.2,13.4
2022-08-13,63,24.5,12.6
2022-08-14,51,21.9,13.3
2022-08-15,1,29.7,13.2
2022-08-16,53,28.8,16.4
2022-08-17,3,31.8,19.9
2022-08-18,53,34.0,19.8
2022-08-19,51,28.4,16.2
2022-08-20,51,25.2,16.4
2022-08-21,1,25.1,16.4
2022-08-22,51,24.6,14.8
2022-08-23,51,22.0,14.7
2022-08-24,61,23.8,14.2
2022-08-25,51,25.8,14.7
2022-08-26,61,28.8,17.2
2022-08-27,51,28.3,16.5
2022-08-28,53,25.9,16.5
2022-08-29,63,25.3,15.4
2022-08-30,1,25.8,14.4
2022-08-31,61,27.7,15.6
2022-09-01,61,22.6,16.3
2022-09-02,51,22.2,15.8
2022-09-03,1,27.5,13.6
2022-09-04,63,24.0,16.0
2022-09-05,3,26.0,16.7
2022-09-06,1,27.9,15.3
2022-09-07,51,28.6,15.3
2022-09-08,1,29.4,16.6
2022-09-09,51,28.3,19.4
2022-09-10,51,25.2,16.9
2022-09-11,51,24.3,15.4
2022-09-12,1,22.9,13.3
2022-09-13,0,23.2,11.5
2022-09-14,1,26.8,11.5
2022-09-15,51,26.8,15.5
2022-09-16,61,23.8,17.6
2022-09-17,51,19.8,8.9
2022-09-18,3,17.8,7.7
2022-09-19,2,19.1,6.1
2022-09-20,3,18.9,11.6
2022-09-21,2,14.5,5.8
2022-09-22,1,14.7,5.7
2022-09-23,2,14.3,5.1
2022-09-24,1,17.7,2.9
2022-09-25,51,17.3,6.6
2022-09-26,63,17.2,13.3
2022-09-27,3,15.7,13.5
2022-09-28,3,16.5,11.4
2022-09-29,51,17.7,12.8
2022-09-30,53,21.0,13.8
2022-10-01,63,21.8,10.3
2022-10-02,2,21.3,8.3
2022-10-03,51,18.8,11.7
2022-10-04,3,15.3,9.0
2022-10-05,1,16.0,7.7
2022-10-06,1,16.7,7.5
2022-10-07,2,20.4,9.7
2022-10-08,1,21.6,7.4
2022-10-09,3,21.5,7.8
2022-10-10,63,18.0,11.1
2022-10-11,2,17.1,9.2
2022-10-12,51,19.6,10.8
2022-10-13,65,13.5,10.8
2022-10-14,51,16.1,8.9
2022-10-15,3,17.8,6.8
2022-10-16,0,19.1,7.3
2022-10-17,0,18.7,10.6
2022-10-18,0,19.3,9.6
2022-10-19,0,18.8,8.8
2022-10-20,1,18.3,9.9
2022-10-21,3,18.9,6.8
2022-10-22,3,20.6,8.6
2022-10-23,1,23.9,11.0
2022-10-24,0,21.0,9.9
2022-10-25,0,22.1,9.3
2022-10-26,0,22.5,8.3
2022-10-27,0,20.1,13.2
2022-10-28,1,19.3,11.9
2022-10-29,3,17.7,9.5
2022-10-30,0,17.8,8.7
2022-10-31,0,19.8,9.3
2022-11-01,0,22.3,7.9
2022-11-02,1,19.8,7.7
2022-11-03,3,18.0,5.3
2022-11-04,63,15.7,5.9
2022-11-05,61,11.2,6.1
2022-11-06,61,9.8,4.1
2022-11-07,1,13.8,2.5
2022-11-08,2,15.6,3.5
2022-11-09,3,15.3,1.5
2022-11-10,3,15.1,2.6
2022-11-11,51,12.0,5.1
2022-11-12,61,8.7,4.6
2022-11-13,53,10.6,4.7
2022-11-14,51,12.7,5.2
2022-11-15,3,13.4,4.6
2022-11-16,53,12.5,4.3
2022-11-17,3,14.9,8.7
2022-11-18,51,14.6,9.1
2022-11-19,61,14.3,7.9
2022-11-20,61,10.7,4.1
2022-11-21,3,8.0,2.0
2022-11-22,63,7.5,2.0
2022-11-23,51,8.0,-0.5
2022-11-24,2,10.2,-0.4
2022-11-25,51,10.4,0.9
2022-11-26,63,4.6,2.0
2022-11-27,61,5.2,0.3
2022-11-28,3,6.6,0.0
2022-11-29,51,4.4,-0.1
2022-11-30,53,4.5,1.6
2022-12-01,51,6.1,1.2
2022-12-02,51,8.1,1.5
2022-12-03,51,10.8,3.2
2022-12-04,51,11.0,2.9
2022-12-05,3,12.0,0.2
2022-12-06,3,12.5,1.5
2022-12-07,3,11.9,1.2
2022-12-08,3,10.4,1.4
2022-12-09,51,11.2,3.8
2022-12-10,53,13.0,8.1
2022-12-11,3,8.7,1.8
2022-12-12,3,5.9,-0.6
2022-12-13,53,6.6,-0.3
2022-12-14,61,13.1,6.3
2022-12-15,51,12.5,7.3
2022-12-16,53,15.7,10.1
2022-12-17,2,11.6,3.8
2022-12-18,51,7.5,2.5
2022-12-19,3,6.5,0.7
2022-12-20,3,9.2,-3.9
2022-12-21,3,8.8,-3.4
2022-12-22,3,8.3,0.0
2022-12-23,3,10.8,2.5
2022-12-24,3,11.9,2.9
2022-12-25,3,14.3,3.6
