time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,2,10.2,7.5
2022-01-02,51,10.7,8.4
2022-01-03,51,11.7,8.5
2022-01-04,51,11.6,10.0
2022-01-05,53,11.4,9.1
2022-01-06,53,10.7,8.1
2022-01-07,51,9.2,5.7
2022-01-08,51,7.5,3.7
2022-01-09,61,8.2,3.0
2022-01-10,71,3.5,1.9
2022-01-11,51,3.3,1.8
2022-01-12,2,3.6,0.0
2022-01-13,0,4.0,-0.2
2022-01-14,0,8.4,1.5
2022-01-15,0,12.1,4.4
2022-01-16,2,12.2,6.4
2022-01-17,3,11.0,6.0
2022-01-18,0,11.4,3.8
2022-01-19,1,9.0,2.7
2022-01-20,51,8.0,4.7
2022-01-21,51,8.6,1.5
2022-01-22,1,4.9,-0.8
2022-01-23,1,6.6,0.5
2022-01-24,51,4.5,-1.5
2022-01-25,1,4.4,-3.4
2022-01-26,1,7.1,1.6
2022-01-27,1,9.0,3.0
2022-01-28,53,8.5,3.3
2022-01-29,1,4.0,0.9
2022-01-30,2,9.3,2.3
2022-01-31,53,9.3,7.2
2022-02-01,53,6.8,1.8
2022-02-02,0,9.5,2.7
2022-02-03,1,9.6,3.1
2022-02-04,2,9.8,5.7
2022-02-05,51,11.9,7.6
2022-02-06,51,11.6,7.3
2022-02-07,53,9.8,3.2
2022-02-08,1,5.9,2.0
2022-02-09,0,10.6,3.1
2022-02-10,0,11.5,7.1
2022-02-11,1,10.5,4.9
2022-02-12,1,11.5,5.4
2022-02-13,51,11.4,5.5
2022-02-14,53,10.2,6.7
2022-02-15,63,9.8,7.5
2022-02-16,53,8.9,6.0
2022-02-17,2,9.9,4.2
2022-02-18,3,12.3,8.8
2022-02-19,3,12.7,9.7
2022-02-20,3,13.3,9.2
2022-02-21,53,9.8,6.3
2022-02-22,53,7.4,4.3
2022-02-23,0,10.5,3.4
2022-02-24,1,13.0,4.2
2022-02-25,2,11.0,6.9
2022-02-26,73,7.9,0.1
2022-02-27,73,5.6,0.0
2022-02-28,51,6.9,1.3
2022-03-01,51,2.8,-1.0
2022-03-02,2,5.3,-1.0
2022-03-03,3,7.9,2.7
2022-03-04,53,9.2,4.3
2022-03-05,61,5.4,1.4
2022-03-06,51,7.7,1.3
2022-03-07,71,6.7,1.3
2022-03-08,1,1.8,-1.2
2022-03-09,51,5.3,-1.5
2022-03-10,0,9.2,1.9
2022-03-11,2,7.4,0.3
2022-03-12,2,6.6,-0.6
2022-03-13,1,8.9,-0.6
2022-03-14,1,12.0,1.8
2022-03-15,1,12.1,4.8
2022-03-16,1,12.8,6.4
2022-03-17,2,14.3,8.1
2022-03-18,51,11.0,6.4
2022-03-19,53,10.2,5.5
2022-03-20,51,9.0,1.6
2022-03-21,51,8.5,0.6
2022-03-22,2,10.7,1.2
2022-03-23,0,14.4,2.5
2022-03-24,0,14.4,5.3
2022-03-25,0,14.6,8.0
2022-03-26,51,16.8,7.5
2022-03-27,51,14.4,7.9
2022-03-28,53,12.5,7.4
2022-03-29,1,14.1,7.2
2022-03-30,53,10.6,7.9
2022-03-31,63,11.7,9.9
2022-04-01,61,10.3,5.3
2022-04-02,61,5.1,2.0
2022-04-03,53,9.4,3.2
2022-04-04,51,10.5,6.3
2022-04-05,53,14.8,5.0
2022-04-06,63,13.8,7.8
2022-04-07,53,11.5,7.3
2022-04-08,2,13.8,10.7
2022-04-09,51,12.6,7.7
2022-04-10,53,10.9,3.5
2022-04-11,0,13.8,2.6
2022-04-12,1,15.1,6.8
2022-04-13,1,18.5,8.1
2022-04-14,2,17.9,7.9
2022-04-15,2,19.9,10.0
2022-04-16,2,19.9,10.0
2022-04-17,53,10.8,4.9
2022-04-18,2,11.9,4.8
2022-04-19,2,12.9,6.6
2022-04-20,51,16.5,8.2
2022-04-21,61,16.9,9.9
2022-04-22,63,13.4,8.6
2022-04-23,3,15.4,11.4
2022-04-24,2,16.4,11.2
2022-04-25,51,14.3,12.1
2022-04-26,1,17.9,10.2
2022-04-27,0,19.6,11.1
2022-04-28,1,18.0,9.8
2022-04-29,1,18.6,9.5
2022-04-30,0,18.9,9.2
2022-05-01,1,17.6,11.3
2022-05-02,53,17.3,11.1
2022-05-03,51,17.2,10.6
2022-05-04,3,18.7,11.7
2022-05-05,51,21.2,11.3
2022-05-06,61,17.5,13.3
2022-05-07,53,17.7,12.8
2022-05-08,61,18.2,12.8
2022-05-09,61,21.5,13.1
2022-05-10,53,22.3,12.5
2022-05-11,53,21.4,14.8
2022-05-12,3,20.5,14.9
2022-05-13,3,21.7,15.5
2022-05-14,3,21.7,16.4
2022-05-15,3,21.9,15.8
2022-05-16,1,24.4,16.4
2022-05-17,3,23.9,17.5
2022-05-18,3,24.9,16.6
2022-05-19,0,22.5,13.9
2022-05-20,0,23.1,12.9
2022-05-21,1,22.6,17.2
2022-05-22,3,23.1,18.4
2022-05-23,3,24.1,17.7
2022-05-24,0,25.6,18.5
2022-05-25,2,28.1,18.0
2022-05-26,2,29.5,19.8
2022-05-27,51,31.4,22.5
2022-05-28,61,27.9,19.9
2022-05-29,51,26.2,19.3
2022-05-30,2,23.2,19.8
2022-05-31,2,26.7,19.3
2022-06-01,0,28.4,19.2
2022-06-02,0,31.2,21.0
2022-06-03,2,31.9,22.8
2022-06-04,1,30.9,24.5
2022-06-05,2,32.7,23.1
2022-06-06,1,30.5,24.5
2022-06-07,2,29.1,23.3
2022-06-08,51,27.8,22.2
2022-06-09,63,23.0,18.4
2022-06-10,51,22.5,18.0
2022-06-11,0,27.4,19.2
2022-06-12,0,28.0,19.7
2022-06-13,0,29.2,19.9
2022-06-14,51,28.8,21.8
2022-06-15,1,30.8,22.8
2022-06-16,51,30.1,24.5
2022-06-17,2,30.0,23.2
2022-06-18,1,28.5,19.0
2022-06-19,1,29.7,18.0
2022-06-20,0,28.0,23.0
2022-06-21,1,28.2,23.4
2022-06-22,1,29.0,22.8
2022-06-23,51,29.0,24.0
2022-06-24,2,31.6,25.6
2022-06-25,2,30.7,25.6
2022-06-26,0,34.7,24.8
2022-06-27,1,35.1,25.6
2022-06-28,1,36.5,27.0
2022-06-29,0,31.6,26.5
2022-06-30,0,32.7,25.1
2022-07-01,1,33.1,27.6
2022-07-02,0,33.4,27.0
2022-07-03,0,34.7,27.0
2022-07-04,0,34.5,27.8
2022-07-05,0,33.3,29.1
2022-07-06,51,33.6,28.0
2022-07-07,53,32.6,27.2
2022-07-08,51,28.0,20.4
2022-07-09,1,27.6,19.7
2022-07-10,1,28.2,19.4
2022-07-11,1,29.9,19.6
2022-07-12,1,30.2,24.0
2022-07-13,1,30.7,21.3
2022-07-14,0,28.8,19.7
2022-07-15,0,30.4,24.1
2022-07-16,1,32.0,27.0
2022-07-17,51,33.4,27.4
2022-07-18,53,35.7,27.3
2022-07-19,0,34.2,25.1
2022-07-20,0,32.9,24.1
2022-07-21,0,33.1,26.2
2022-07-22,0,34.0,28.0
2022-07-23,0,33.1,29.1
2022-07-24,0,33.3,29.4
2022-07-25,1,34.0,28.9
2022-07-26,1,33.9,28.2
2022-07-27,51,33.5,28.7
2022-07-28,0,33.7,28.2
2022-07-29,0,31.9,27.2
2022-07-30,1,32.3,25.9
2022-07-31,1,33.4,23.9
2022-08-01,0,32.4,22.9
2022-08-02,0,33.7,24.4
2022-08-03,1,33.2,25.1
2022-08-04,1,33.8,27.9
2022-08-05,2,32.5,28.7
2022-08-06,1,33.6,28.7
2022-08-07,53,35.1,29.5
2022-08-08,51,35.0,27.7
2022-08-09,63,33.5,25.6
2022-08-10,61,34.1,24.5
2022-08-11,53,31.2,24.2
2022-08-12,63,30.3,23.1
2022-08-13,51,27.7,22.5
2022-08-14,0,28.5,22.0
2022-08-15,2,29.9,24.7
2022-08-16,61,33.1,23.3
2022-08-17,1,34.2,28.1
2022-08-18,1,34.8,28.3
2022-08-19,51,32.4,24.3
2022-08-20,53,28.5,23.0
2022-08-21,51,31.0,25.8
2022-08-22,51,29.5,23.8
2022-08-23,53,29.3,23.0
2022-08-24,1,29.6,22.7
2022-08-25,1,30.0,23.3
2022-08-26,51,31.5,25.6
2022-08-27,1,30.4,26.4
2022-08-28,51,29.9,25.6
2022-08-29,53,30.3,24.4
2022-08-30,1,31.0,25.6
2022-08-31,2,31.0,27.2
2022-09-01,63,26.7,23.4
2022-09-02,2,27.7,21.8
2022-09-03,2,27.6,23.8
2022-09-04,51,29.3,24.1
2022-09-05,1,31.5,22.9
2022-09-06,0,31.4,25.2
2022-09-07,51,29.5,25.3
2022-09-08,3,31.4,24.8
2022-09-09,51,31.8,27.1
2022-09-10,51,28.1,23.6
2022-09-11,51,27.5,23.5
2022-09-12,1,28.8,20.9
2022-09-13,0,28.2,21.2
2022-09-14,2,28.1,23.9
2022-09-15,3,28.6,22.2
2022-09-16,65,27.5,20.7
2022-09-17,53,25.6,14.1
2022-09-18,1,22.2,12.6
2022-09-19,1,22.4,18.1
2022-09-20,1,25.1,16.8
2022-09-21,1,20.2,12.6
2022-09-22,1,20.1,12.0
2022-09-23,1,20.2,12.1
2022-09-24,2,19.7,15.6
2022-09-25,63,19.4,16.3
2022-09-26,65,21.9,17.6
2022-09-27,53,20.0,18.4
2022-09-28,61,19.4,17.5
2022-09-29,63,20.7,18.1
2022-09-30,63,23.9,18.0
2022-10-01,53,22.9,16.1
2022-10-02,51,22.2,16.9
2022-10-03,51,24.2,17.5
2022-10-04,1,21.5,15.4
2022-10-05,1,22.6,14.2
2022-10-06,1,23.1,14.8
2022-10-07,1,22.7,16.9
2022-10-08,1,22.1,18.2
2022-10-09,51,21.4,16.0
2022-10-10,61,21.3,17.0
2022-10-11,1,23.4,17.7
2022-10-12,51,22.5,17.1
2022-10-13,61,20.4,15.9
2022-10-14,1,20.5,14.8
2022-10-15,1,21.5,15.1
2022-10-16,0,22.7,16.8
2022-10-17,0,23.7,17.4
2022-10-18,1,23.4,17.1
2022-10-19,1,23.5,18.1
2022-10-20,1,23.8,16.9
2022-10-21,2,21.5,16.2
2022-10-22,3,22.3,18.5
2022-10-23,2,22.7,19.1
2022-10-24,1,22.1,18.5
2022-10-25,1,22.7,17.1
2022-10-26,1,23.3,17.5
2022-10-27,1,24.9,17.6
2022-10-28,0,24.5,17.7
2022-10-29,1,23.7,15.1
2022-10-30,0,22.2,14.6
2022-10-31,0,22.7,15.6
2022-11-01,0,22.6,17.1
2022-11-02,1,21.2,16.9
2022-11-03,1,19.0,15.9
2022-11-04,65,18.0,13.3
2022-11-05,61,15.8,10.6
2022-11-06,53,15.7,10.1
2022-11-07,0,18.5,11.7
2022-11-08,1,18.3,12.7
2022-11-09,2,17.6,12.5
2022-11-10,2,19.5,13.1
2022-11-11,1,17.8,11.5
2022-11-12,53,15.2,10.0
2022-11-13,51,14.1,9.5
2022-11-14,61,16.2,11.7
2022-11-15,3,16.3,13.5
2022-11-16,61,17.6,13.5
2022-11-17,51,18.8,15.9
2022-11-18,61,18.0,14.3
2022-11-19,63,16.3,12.6
2022-11-20,61,14.5,11.1
2022-11-21,51,12.7,8.6
2022-11-22,63,11.1,6.2
2022-11-23,61,12.5,8.0
2022-11-24,0,14.7,9.4
2022-11-25,61,14.3,9.6
2022-11-26,63,11.3,4.3
2022-11-27,53,9.6,5.2
2022-11-28,3,11.8,5.8
2022-11-29,3,10.6,5.9
2022-11-30,51,9.6,6.3
2022-12-01,51,11.5,5.2
2022-12-02,61,11.1,9.3
2022-12-03,61,13.8,9.9
2022-12-04,63,14.6,9.6
2022-12-05,51,15.9,10.5
2022-12-06,3,15.0,11.3
2022-12-07,51,15.3,10.1
2022-12-08,53,14.4,12.0
2022-12-09,53,15.7,12.4
2022-12-10,63,16.0,12.0
2022-12-11,53,11.7,7.5
2022-12-12,3,10.3,6.9
2022-12-13,61,12.7,7.1
2022-12-14,63,16.1,11.7
2022-12-15,53,16.4,13.0
2022-12-16,61,18.4,13.4
2022-12-17,61,15.7,12.1
2022-12-18,3,13.0,8.3
2022-12-19,1,11.2,6.7
2022-12-20,1,11.6,5.9
2022-12-21,3,11.4,8.0
2022-12-22,51,13.5,10.6
2022-12-23,51,14.4,10.7
2022-12-24,51,15.9,12.3
2022-12-25,2,16.3,12.4
