time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,2,8.0,-1.5
2022-01-02,3,6.1,-0.6
2022-01-03,3,4.8,2.1
2022-01-04,51,5.9,3.2
2022-01-05,63,8.1,-0.0
2022-01-06,53,6.9,-1.3
2022-01-07,2,3.8,-3.4
2022-01-08,1,3.0,-4.3
2022-01-09,51,2.5,-3.6
2022-01-10,2,6.8,-3.8
2022-01-11,0,7.5,-4.5
2022-01-12,0,4.7,-4.2
2022-01-13,0,5.3,-4.4
2022-01-14,0,7.1,-3.0
2022-01-15,0,10.0,-2.4
2022-01-16,0,8.3,-2.0
2022-01-17,2,8.5,-2.5
2022-01-18,0,8.7,-3.8
2022-01-19,3,5.3,-2.8
2022-01-20,3,5.1,-1.6
2022-01-21,51,4.3,-4.4
2022-01-22,51,4.9,-3.8
2022-01-23,1,6.8,-3.2
2022-01-24,3,5.5,-3.2
2022-01-25,3,4.8,1.0
2022-01-26,3,3.4,-1.0
2022-01-27,3,2.4,-1.1
2022-01-28,3,6.2,-1.4
2022-01-29,1,7.1,-2.7
2022-01-30,0,7.2,-3.5
2022-01-31,3,5.8,-4.0
2022-02-01,1,8.8,-4.0
2022-02-02,51,10.0,-2.2
2022-02-03,3,9.8,0.3
2022-02-04,2,9.0,2.1
2022-02-05,1,11.3,1.6
2022-02-06,51,6.2,0.0
2022-02-07,51,9.2,-0.6
2022-02-08,0,8.9,-4.0
2022-02-09,0,9.4,-3.5
2022-02-10,3,8.7,-1.8
2022-02-11,3,9.5,1.9
2022-02-12,0,8.3,-2.3
2022-02-13,1,6.8,-3.4
2022-02-14,3,5.0,-3.7
2022-02-15,63,6.4,2.2
2022-02-16,51,8.2,2.3
2022-02-17,51,6.7,1.8
2022-02-18,51,10.1,1.1
2022-02-19,51,9.7,4.9
2022-02-20,51,12.1,6.5
2022-02-21,51,10.3,2.8
2022-02-22,1,12.1,-1.7
2022-02-23,1,11.7,0.9
2022-02-24,2,11.3,-1.9
2022-02-25,51,11.3,-1.2
2022-02-26,3,9.0,-0.9
2022-02-27,2,7.5,-2.9
2022-02-28,51,7.2,-2.7
2022-03-01,1,6.6,-3.6
2022-03-02,3,8.6,-4.5
2022-03-03,53,9.8,-2.4
2022-03-04,51,8.5,-1.2
2022-03-05,2,6.1,-3.3
2022-03-06,2,6.1,-3.8
2022-03-07,3,5.8,-2.1
2022-03-08,3,5.9,-3.4
2022-03-09,0,10.0,-4.6
2022-03-10,0,12.3,-2.5
2022-03-11,3,5.6,1.1
2022-03-12,2,6.0,-4.0
2022-03-13,0,7.3,-6.7
2022-03-14,2,10.2,-1.2
2022-03-15,51,8.8,1.9
2022-03-16,51,11.0,5.7
2022-03-17,3,12.8,5.6
2022-03-18,1,10.7,3.9
2022-03-19,1,10.4,0.3
2022-03-20,0,9.7,0.3
2022-03-21,0,11.2,-2.5
2022-03-22,0,13.0,-1.9
2022-03-23,0,17.7,-1.4
2022-03-24,0,19.2,0.9
2022-03-25,0,19.2,1.6
2022-03-26,0,20.0,1.5
2022-03-27,0,19.3,1.4
2022-03-28,0,17.5,2.4
2022-03-29,3,14.5,4.2
2022-03-30,51,12.9,7.5
2022-03-31,61,11.8,7.9
2022-04-01,61,11.0,7.5
2022-04-02,61,8.3,3.7
2022-04-03,3,8.1,2.2
2022-04-04,51,9.9,3.4
2022-04-05,2,12.1,4.3
2022-04-06,2,13.8,4.3
2022-04-07,3,16.6,6.8
2022-04-08,51,17.5,6.4
2022-04-09,53,16.3,2.7
2022-04-10,51,11.8,-0.0
2022-04-11,2,13.7,1.8
2022-04-12,1,16.2,2.8
2022-04-13,2,17.6,6.3
2022-04-14,1,22.6,4.9
2022-04-15,1,19.6,6.8
2022-04-16,63,18.9,7.7
2022-04-17,1,14.7,3.9
2022-04-18,2,13.8,4.2
2022-04-19,51,14.7,5.8
2022-04-20,2,13.0,7.1
2022-04-21,61,12.2,4.3
2022-04-22,61,13.9,8.1
2022-04-23,61,16.0,9.8
2022-04-24,63,14.1,10.1
2022-04-25,51,15.9,7.8
2022-04-26,61,17.0,11.8
2022-04-27,51,19.1,7.5
2022-04-28,2,19.8,10.0
2022-04-29,1,20.1,10.2
2022-04-30,1,21.2,7.5
2022-05-01,53,17.7,10.3
2022-05-02,53,20.5,11.4
2022-05-03,2,23.0,9.8
2022-05-04,1,22.6,10.4
2022-05-05,51,19.9,9.2
2022-05-06,53,15.8,13.4
2022-05-07,51,19.3,12.8
2022-05-08,51,21.3,14.0
2022-05-09,1,24.7,13.1
2022-05-10,1,27.0,12.3
2022-05-11,1,28.3,14.0
2022-05-12,2,29.1,16.8
2022-05-13,51,28.3,17.7
2022-05-14,2,27.9,18.1
2022-05-15,51,30.0,16.7
2022-05-16,61,29.9,17.9
2022-05-17,1,29.6,16.8
2022-05-18,51,26.6,18.9
2022-05-19,1,25.1,15.4
2022-05-20,2,28.0,15.2
2022-05-21,1,30.2,17.5
2022-05-22,3,28.7,18.6
2022-05-23,63,28.5,21.9
2022-05-24,53,29.9,18.7
2022-05-25,51,28.3,16.9
2022-05-26,2,30.1,18.5
2022-05-27,2,32.0,20.1
2022-05-28,53,23.8,13.2
2022-05-29,53,15.3,12.3
2022-05-30,3,19.0,12.1
2022-05-31,2,26.1,15.1
2022-06-01,51,28.8,17.8
2022-06-02,51,30.7,19.1
2022-06-03,53,30.3,21.0
2022-06-04,3,32.9,21.1
2022-06-05,53,33.1,21.5
2022-06-06,1,30.7,20.0
2022-06-07,53,25.9,17.4
2022-06-08,51,27.4,15.7
2022-06-09,61,22.8,18.3
2022-06-10,2,29.3,18.0
2022-06-11,1,30.5,18.4
2022-06-12,1,31.9,19.9
2022-06-13,51,32.1,21.0
2022-06-14,51,29.7,20.3
2022-06-15,2,31.7,19.3
2022-06-16,51,32.8,22.1
2022-06-17,51,35.0,22.5
2022-06-18,1,32.3,23.3
2022-06-19,1,33.9,20.8
2022-06-20,53,34.2,21.4
2022-06-21,2,34.7,24.7
2022-06-22,51,32.0,25.4
2022-06-23,61,34.9,23.4
2022-06-24,61,32.6,21.7
2022-06-25,51,32.4,20.2
2022-06-26,2,35.7,22.3
2022-06-27,2,35.7,24.9
2022-06-28,65,36.6,23.4
2022-06-29,63,31.3,24.5
2022-06-30,51,36.6,24.0
2022-07-01,53,36.3,24.0
2022-07-02,1,35.8,22.3
2022-07-03,1,37.3,23.7
2022-07-04,51,37.2,24.7
2022-07-05,53,34.0,23.5
2022-07-06,51,32.4,23.0
2022-07-07,51,30.6,21.0
2022-07-08,51,30.2,18.1
2022-07-09,51,27.9,20.6
2022-07-10,1,29.4,20.2
2022-07-11,3,28.7,20.7
2022-07-12,51,31.0,21.5
2022-07-13,3,32.6,21.7
2022-07-14,2,32.9,23.7
2022-07-15,51,35.1,21.6
2022-07-16,51,35.9,23.7
2022-07-17,1,34.1,24.6
2022-07-18,1,34.6,22.6
2022-07-19,1,35.8,23.0
2022-07-20,1,37.2,22.1
2022-07-21,61,37.3,23.9
2022-07-22,2,39.0,24.9
2022-07-23,53,39.0,24.4
2022-07-24,1,39.1,25.6
2022-07-25,51,39.3,26.9
2022-07-26,63,34.3,25.9
2022-07-27,51,32.7,25.3
2022-07-28,1,34.1,24.2
2022-07-29,63,36.0,23.7
2022-07-30,63,31.8,21.4
2022-07-31,1,33.0,20.8
2022-08-01,2,35.6,24.3
2022-08-02,61,33.0,22.8
2022-08-03,1,36.2,23.2
2022-08-04,0,36.5,24.3
2022-08-05,53,37.8,25.5
2022-08-06,51,37.6,24.4
2022-08-07,63,31.3,23.6
2022-08-08,53,33.1,23.1
2022-08-09,2,33.4,22.5
2022-08-10,51,32.3,21.7
2022-08-11,2,31.3,22.0
2022-08-12,51,28.8,19.3
2022-08-13,2,28.4,17.3
2022-08-14,1,31.4,18.2
2022-08-15,63,33.7,22.1
2022-08-16,51,32.6,21.0
2022-08-17,51,33.7,22.7
2022-08-18,63,28.5,22.8
2022-08-19,65,29.5,20.6
2022-08-20,51,32.0,19.6
2022-08-21,1,32.2,20.5
2022-08-22,51,31.1,20.3
2022-08-23,51,31.5,19.7
2022-08-24,1,33.0,21.1
2022-08-25,51,33.5,22.3
2022-08-26,51,35.2,23.6
2022-08-27,51,31.4,23.8
2022-08-28,51,31.6,21.7
2022-08-29,3,32.8,22.3
2022-08-30,3,32.8,23.8
2022-08-31,63,28.1,22.6
2022-09-01,3,26.4,20.9
2022-09-02,2,26.0,18.7
2022-09-03,53,27.5,17.7
2022-09-04,1,30.8,19.9
2022-09-05,1,31.4,19.2
2022-09-06,63,32.1,21.4
2022-09-07,53,31.5,23.0
2022-09-08,63,29.5,21.6
