Materiale,Colore,Lunghezza,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
poliestere,colorato,lungo,estate,soleggiato,28,estate,18
cotone,chiaro,lungo,estate,nuvoloso,20,primavera,24
poliestere,colorato,lungo,all,pioggia,14,primavera,25
poliestere,colorato,lungo,all,nuvoloso,0,inverno,26
poliestere,scuro,lungo,estate,pioggia,6,inverno,23
velluto,scuro,lungo,all,nuvoloso,3,inverno,27
poliestere,scuro,lungo,estate,soleggiato,20,autunno,12
poliestere,colorato,lungo,estate,soleggiato,19,autunno,21
poliestere,scuro,lungo,all,soleggiato,26,estate,10
poliestere,colorato,lungo,autunno_inverno,pioggia,30,estate,10
poliestere,chiaro,lungo,estate,soleggiato,21,autunno,22
poliestere,colorato,lungo,all,soleggiato,17,primavera,24
poliestere,scuro,lungo,all,pioggia,13,inverno,25
poliestere,colorato,lungo,estate,nuvoloso,7,inverno,23
poliestere,colorato,lungo,estate,pioggia,24,autunno,17
poliestere,colorato,lungo,all,soleggiato,10,autunno,25
poliestere,colorato,lungo,estate,soleggiato,29,estate,18
velluto,scuro,lungo,autunno_inverno,soleggiato,26,primavera,6
poliestere,colorato,lungo,all,pioggia,14,primavera,25
poliestere,chiaro,lungo,all,pioggia,16,primavera,24
poliestere,colorato,lungo,estate,soleggiato,11,autunno,22
poliestere,colorato,lungo,estate,soleggiato,27,estate,18
poliestere,scuro,lungo,estate,soleggiato,28,estate,13
poliestere,colorato,lungo,estate,pioggia,26,estate,18
poliestere,colorato,lungo,primavera_estate,soleggiato,28,estate,17
poliestere,scuro,lungo,all,pioggia,20,estate,20
poliestere,colorato,lungo,estate,neve,8,primavera,27
poliestere,colorato,lungo,estate,pioggia,8,primavera,27
poliestere,scuro,lungo,all,soleggiato,25,estate,10
cotone,colorato,lungo,estate,soleggiato,17,autunno,23
poliestere,scuro,lungo,autunno_inverno,pioggia,5,inverno,28
cotone,scuro,lungo,estate,pioggia,3,inverno,23
cotone,chiaro,lungo,estate,soleggiato,29,estate,28
poliestere,scuro,lungo,all,nuvoloso,2,inverno,26
cotone,chiaro,lungo,all,pioggia,28,estate,20
cotone,scuro,lungo,estate,soleggiato,-10,inverno,23
poliestere,scuro,lungo,estate,soleggiato,6,inverno,23
poliestere,chiaro,lungo,estate,soleggiato,-2,inverno,23
cotone,scuro,lungo,estate,nuvoloso,3,inverno,23
poliestere,scuro,lungo,all,neve,1,inverno,26
poliestere,colorato,lungo,estate,pioggia,15,estate,27
poliestere,scuro,lungo,autunno_inverno,soleggiato,31,estate,5
poliestere,scuro,lungo,all,soleggiato,1,inverno,26
velluto,scuro,lungo,autunno_inverno,soleggiato,11,autunno,25
poliestere,colorato,lungo,all,pioggia,26,autunno,15
poliestere,colorato,lungo,all,pioggia,30,estate,12
poliestere,scuro,lungo,all,soleggiato,26,estate,10
poliestere,chiaro,lungo,all,pioggia,16,autunno,24
poliestere,colorato,lungo,primavera_estate,soleggiato,29,estate,17
cotone,colorato,lungo,all,pioggia,29,primavera,20
poliestere,chiaro,lungo,all,soleggiato,29,estate,20
poliestere,colorato,lungo,estate,pioggia,7,autunno,23
poliestere,chiaro,lungo,estate,soleggiato,11,inverno,22
