Materiale,Colore,Lunghezza,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
poliestere,colorato,corto,estate,2022-02-15,pioggia,7.65,inverno,febbraio
cotone,chiaro,corto,estate,2022-09-09,pioggia,26.0,autunno,settembre
poliestere,colorato,corto,all,2022-09-22,soleggiato,16.05,autunno,settembre
poliestere,colorato,corto,all,2022-02-06,pioggia,9.05,inverno,febbraio
poliestere,scuro,corto,estate,2022-08-11,soleggiato,26.35,estate,agosto
velluto,scuro,corto,all,2022-02-22,soleggiato,7.4,inverno,febbraio
poliestere,scuro,corto,estate,2022-11-11,soleggiato,14.0,autunno,novembre
poliestere,colorato,corto,estate,2022-01-12,soleggiato,0.4500000000000002,inverno,gennaio
poliestere,scuro,corto,all,2022-08-31,soleggiato,29.1,estate,agosto
poliestere,colorato,corto,autunno_inverno,2022-08-01,soleggiato,34.3,estate,agosto
poliestere,chiaro,corto,estate,2022-11-25,soleggiato,4.75,autunno,novembre
poliestere,colorato,corto,all,2022-12-07,nuvoloso,0.0499999999999998,inverno,dicembre
poliestere,scuro,corto,all,2022-05-25,soleggiato,23.25,primavera,maggio
poliestere,colorato,corto,estate,2022-11-26,soleggiato,3.4000000000000004,autunno,novembre
poliestere,colorato,corto,estate,2022-03-20,pioggia,10.65,primavera,marzo
poliestere,colorato,corto,all,2022-02-05,nuvoloso,10.35,inverno,febbraio
poliestere,colorato,corto,estate,2022-01-19,neve,0.9000000000000001,inverno,gennaio
velluto,scuro,corto,autunno_inverno,2022-11-16,pioggia,9.75,autunno,novembre
poliestere,colorato,corto,all,2022-07-29,soleggiato,31.3,estate,luglio
poliestere,chiaro,corto,all,2022-04-09,pioggia,7.949999999999999,primavera,aprile
poliestere,colorato,corto,estate,2022-03-31,pioggia,12.1,primavera,marzo
poliestere,colorato,corto,estate,2022-08-01,soleggiato,29.950000000000003,estate,agosto
poliestere,scuro,corto,estate,2022-01-02,nuvoloso,12.45,inverno,gennaio
poliestere,colorato,corto,estate,2022-11-07,soleggiato,10.75,autunno,novembre
poliestere,colorato,corto,primavera_estate,2022-04-04,nuvoloso,2.25,primavera,aprile
poliestere,scuro,corto,all,2022-01-08,neve,-4.1000000000000005,inverno,gennaio
poliestere,colorato,corto,estate,2022-05-16,soleggiato,20.4,primavera,maggio
poliestere,colorato,corto,estate,2022-09-19,soleggiato,12.6,autunno,settembre
poliestere,scuro,corto,all,2022-07-07,pioggia,31.15,estate,luglio
cotone,colorato,corto,estate,2022-11-11,soleggiato,11.4,autunno,novembre
poliestere,scuro,corto,autunno_inverno,2022-02-21,pioggia,9.25,inverno,febbraio
cotone,scuro,corto,estate,2022-02-02,pioggia,3.65,inverno,febbraio
cotone,chiaro,corto,estate,2022-10-18,soleggiato,17.9,autunno,ottobre
poliestere,scuro,corto,all,2022-02-01,soleggiato,4.550000000000001,inverno,febbraio
cotone,chiaro,corto,all,2022-07-30,soleggiato,28.7,estate,luglio
cotone,scuro,corto,estate,2022-03-17,nuvoloso,7.6,primavera,marzo
poliestere,scuro,corto,estate,2022-05-01,pioggia,4.1,primavera,maggio
poliestere,chiaro,corto,estate,2022-05-16,pioggia,18.0,primavera,maggio
cotone,scuro,corto,estate,2022-09-26,pioggia,14.65,autunno,settembre
poliestere,scuro,corto,all,2022-04-18,soleggiato,9.95,primavera,aprile
poliestere,colorato,corto,estate,2022-01-08,nuvoloso,-0.5499999999999998,inverno,gennaio
poliestere,scuro,corto,autunno_inverno,2022-07-25,pioggia,30.25,estate,luglio
poliestere,scuro,corto,all,2022-11-19,pioggia,-0.3,autunno,novembre
velluto,scuro,corto,autunno_inverno,2022-08-04,soleggiato,31.9,estate,agosto
poliestere,colorato,corto,all,2022-05-07,pioggia,14.95,primavera,maggio
poliestere,colorato,corto,all,2022-02-18,pioggia,7.75,inverno,febbraio
poliestere,scuro,corto,all,2022-08-31,pioggia,25.35,estate,agosto
poliestere,chiaro,corto,all,2022-09-12,soleggiato,24.200000000000003,autunno,settembre
poliestere,colorato,corto,primavera_estate,2022-10-22,pioggia,20.45,autunno,ottobre
cotone,colorato,corto,all,2022-08-29,soleggiato,27.5,estate,agosto
poliestere,chiaro,corto,all,2022-11-01,pioggia,13.95,autunno,novembre
poliestere,colorato,corto,estate,2022-05-08,pioggia,18.25,primavera,maggio
poliestere,chiaro,corto,estate,2022-05-17,soleggiato,21.95,primavera,maggio
poliestere,colorato,corto,estate,2022-08-06,pioggia,33.3,estate,agosto
poliestere,colorato,corto,inverno,2022-10-31,soleggiato,19.15,autunno,ottobre
cotone,colorato,corto,all,2022-12-08,pioggia,7.449999999999999,inverno,dicembre
poliestere,scuro,corto,all,2022-07-24,pioggia,26.35,estate,luglio
poliestere,scuro,corto,all,2022-05-31,soleggiato,20.6,primavera,maggio
poliestere,colorato,corto,estate,2022-12-14,pioggia,13.85,inverno,dicembre
poliestere,scuro,corto,estate,2022-05-03,pioggia,11.55,primavera,maggio
poliestere,colorato,corto,all,2022-06-06,soleggiato,28.2,estate,giugno
poliestere,chiaro,corto,estate,2022-08-09,pioggia,17.15,estate,agosto
poliestere,scuro,corto,all,2022-10-02,pioggia,19.75,autunno,ottobre
poliestere,scuro,corto,all,2022-03-04,nuvoloso,1.1,primavera,marzo
cotone,scuro,corto,all,2022-03-28,soleggiato,7.75,primavera,marzo
poliestere,scuro,corto,estate,2022-02-25,pioggia,8.5,inverno,febbraio
poliestere,colorato,corto,all,2022-05-18,pioggia,22.9,primavera,maggio
poliestere,colorato,corto,all,2022-01-19,soleggiato,5.7,inverno,gennaio
cotone,colorato,corto,estate,2022-03-15,soleggiato,12.25,primavera,marzo
poliestere,scuro,corto,all,2022-01-10,neve,2.7,inverno,gennaio
poliestere,scuro,corto,all,2022-02-14,pioggia,1.2000000000000002,inverno,febbraio
poliestere,colorato,corto,primavera,2022-09-12,nuvoloso,11.95,autunno,settembre
poliestere,colorato,corto,all,2022-08-05,soleggiato,29.75,estate,agosto
poliestere,colorato,corto,all,2022-07-13,soleggiato,27.55,estate,luglio
poliestere,scuro,corto,estate,2022-08-07,pioggia,27.0,estate,agosto
poliestere,colorato,corto,all,2022-02-04,soleggiato,3.35,inverno,febbraio
velluto,colorato,corto,all,2022-01-03,nuvoloso,3.0500000000000003,inverno,gennaio
poliestere,colorato,corto,estate,2022-01-18,soleggiato,3.15,inverno,gennaio
velluto,scuro,corto,autunno_inverno,2022-07-12,pioggia,27.85,estate,luglio
poliestere,colorato,corto,estate,2022-08-18,pioggia,28.4,estate,agosto
poliestere,colorato,corto,estate,2022-08-06,pioggia,28.65,estate,agosto
poliestere,chiaro,corto,estate,2022-11-21,pioggia,6.7,autunno,novembre
poliestere,scuro,corto,all,2022-01-03,pioggia,9.55,inverno,gennaio
poliestere,scuro,corto,estate,2022-08-27,soleggiato,28.4,estate,agosto
poliestere,colorato,corto,estate,2022-02-18,pioggia,2.7,inverno,febbraio
poliestere,colorato,corto,all,2022-06-17,pioggia,24.25,estate,giugno
poliestere,colorato,corto,primavera_estate,2022-06-28,pioggia,30.55,estate,giugno
poliestere,chiaro,corto,estate,2022-09-09,pioggia,30.4,autunno,settembre
poliestere,scuro,corto,all,2022-01-07,soleggiato,-0.5,inverno,gennaio
poliestere,scuro,corto,all,2022-07-20,nuvoloso,30.65,estate,luglio
poliestere,scuro,corto,estate,2022-08-12,pioggia,25.05,estate,agosto
poliestere,colorato,corto,estate,2022-09-18,soleggiato,15.75,autunno,settembre
poliestere,scuro,corto,estate,2022-08-23,soleggiato,30.200000000000003,estate,agosto
raso,colorato,corto,primavera_estate,2022-02-26,nuvoloso,1.05,inverno,febbraio
cotone,scuro,corto,estate,2022-04-14,soleggiato,15.95,primavera,aprile
poliestere,chiaro,corto,all,2022-01-20,pioggia,1.2999999999999998,inverno,gennaio
cotone,colorato,corto,all,2022-07-03,soleggiato,31.5,estate,luglio
poliestere,scuro,corto,estate,2022-02-04,nuvoloso,7.8,inverno,febbraio
cotone,scuro,corto,all,2022-08-26,soleggiato,29.4,estate,agosto
poliestere,colorato,corto,estate,2022-05-08,pioggia,17.85,primavera,maggio
poliestere,colorato,corto,estate,2022-11-15,nuvoloso,14.9,autunno,novembre
poliestere,colorato,corto,all,2022-08-05,soleggiato,25.450000000000003,estate,agosto
poliestere,colorato,corto,estate,2022-12-01,nuvoloso,4.15,inverno,dicembre
poliestere,colorato,corto,estate,2022-09-19,soleggiato,20.55,autunno,settembre
poliestere,colorato,corto,primavera_estate,2022-03-26,soleggiato,10.0,primavera,marzo
poliestere,scuro,corto,estate,2022-06-07,soleggiato,22.45,estate,giugno
poliestere,colorato,corto,primavera_estate,2022-12-24,nuvoloso,6.1,inverno,dicembre
poliestere,colorato,corto,estate,2022-04-22,pioggia,11.95,primavera,aprile
poliestere,scuro,corto,estate,2022-09-19,soleggiato,19.15,autunno,settembre
poliestere,colorato,corto,estate,2022-06-22,soleggiato,25.9,estate,giugno
cotone,scuro,corto,estate,2022-02-08,soleggiato,2.45,inverno,febbraio
velluto,scuro,corto,autunno_inverno,2022-03-16,nuvoloso,11.0,primavera,marzo
poliestere,colorato,corto,estate,2022-09-14,pioggia,26.55,autunno,settembre
poliestere,scuro,corto,estate,2022-07-15,soleggiato,27.25,estate,luglio
poliestere,scuro,corto,estate,2022-03-23,soleggiato,8.45,primavera,marzo
poliestere,colorato,corto,estate,2022-04-13,soleggiato,11.8,primavera,aprile
poliestere,scuro,corto,estate,2022-12-16,pioggia,6.25,inverno,dicembre
poliestere,colorato,corto,estate,2022-11-27,soleggiato,5.7,autunno,novembre
poliestere,colorato,corto,estate,2022-02-09,soleggiato,5.45,inverno,febbraio
poliestere,scuro,corto,estate,2022-03-31,pioggia,12.6,primavera,marzo
poliestere,colorato,corto,estate,2022-02-27,nuvoloso,2.55,inverno,febbraio
poliestere,colorato,corto,estate,2022-04-08,soleggiato,12.25,primavera,aprile
poliestere,scuro,corto,estate,2022-09-07,pioggia,28.1,autunno,settembre
poliestere,scuro,corto,all,2022-07-11,pioggia,21.4,estate,luglio
poliestere,colorato,corto,all,2022-11-19,pioggia,13.9,autunno,novembre
poliestere,colorato,corto,estate,2022-10-20,soleggiato,20.35,autunno,ottobre
cotone,scuro,corto,all,2022-02-05,soleggiato,4.7,inverno,febbraio
poliestere,colorato,corto,all,2022-06-04,soleggiato,27.55,estate,giugno
poliestere,colorato,corto,all,2022-03-29,nuvoloso,10.85,primavera,marzo
poliestere,scuro,corto,estate,2022-06-20,soleggiato,30.75,estate,giugno
poliestere,scuro,corto,all,2022-03-17,pioggia,1.75,primavera,marzo
poliestere,chiaro,corto,estate,2022-10-06,soleggiato,18.9,autunno,ottobre
poliestere,scuro,corto,estate,2022-10-24,soleggiato,24.05,autunno,ottobre
poliestere,chiaro,corto,all,2022-03-04,neve,2.4,primavera,marzo
poliestere,scuro,corto,estate,2022-02-12,pioggia,3.55,inverno,febbraio
poliestere,scuro,corto,all,2022-11-05,soleggiato,2.0,autunno,novembre
poliestere,scuro,corto,estate,2022-10-08,soleggiato,20.4,autunno,ottobre
poliestere,colorato,corto,estate,2022-07-05,soleggiato,31.2,estate,luglio
poliestere,scuro,corto,primavera_estate,2022-11-03,soleggiato,17.45,autunno,novembre
poliestere,colorato,corto,estate,2022-08-16,pioggia,27.85,estate,agosto
velluto,scuro,corto,autunno_inverno,2022-07-28,soleggiato,32.650000000000006,estate,luglio
poliestere,chiaro,corto,estate,2022-12-23,pioggia,12.3,inverno,dicembre
poliestere,colorato,corto,estate,2022-05-02,pioggia,14.0,primavera,maggio
poliestere,colorato,corto,all,2022-12-15,pioggia,18.9,inverno,dicembre
poliestere,scuro,corto,estate,2022-09-13,nuvoloso,23.2,autunno,settembre
poliestere,colorato,corto,estate,2022-08-09,soleggiato,25.15,estate,agosto
poliestere,colorato,corto,all,2022-08-02,pioggia,30.4,estate,agosto
cotone,colorato,corto,estate,2022-11-27,pioggia,8.9,autunno,novembre
poliestere,scuro,corto,all,2022-09-28,pioggia,16.799999999999997,autunno,settembre
poliestere,colorato,corto,estate,2022-09-03,pioggia,26.6,autunno,settembre
poliestere,colorato,corto,primavera_estate,2022-01-12,soleggiato,1.35,inverno,gennaio
cotone,colorato,corto,all,2022-08-25,soleggiato,27.0,estate,agosto
poliestere,colorato,corto,estate,2022-08-27,pioggia,27.6,estate,agosto
poliestere,chiaro,corto,estate,2022-10-22,pioggia,8.6,autunno,ottobre
cotone,colorato,corto,estate,2022-11-28,nuvoloso,4.5,autunno,novembre
raso,colorato,corto,estate,2022-06-04,nuvoloso,28.4,estate,giugno
poliestere,colorato,corto,estate,2022-05-31,pioggia,11.35,primavera,maggio
poliestere,scuro,corto,all,2022-07-23,pioggia,27.75,estate,luglio
poliestere,colorato,corto,estate,2022-03-22,soleggiato,6.4,primavera,marzo
cotone,chiaro,corto,estate,2022-03-16,soleggiato,10.0,primavera,marzo
cotone,scuro,corto,estate,2022-05-21,soleggiato,19.9,primavera,maggio
poliestere,chiaro,corto,all,2022-10-22,pioggia,15.75,autunno,ottobre
cotone,colorato,corto,all,2022-05-25,pioggia,13.0,primavera,maggio
poliestere,colorato,corto,all,2022-07-31,soleggiato,29.05,estate,luglio
poliestere,scuro,corto,primavera_estate,2022-11-06,pioggia,6.95,autunno,novembre
cotone,chiaro,corto,all,2022-09-10,pioggia,18.9,autunno,settembre
poliestere,colorato,corto,all,2022-02-01,soleggiato,5.5,inverno,febbraio
poliestere,scuro,corto,estate,2022-09-08,soleggiato,35.45,autunno,settembre
poliestere,scuro,corto,estate,2022-12-17,neve,-2.6,inverno,dicembre
poliestere,colorato,corto,estate,2022-07-23,pioggia,33.9,estate,luglio
cotone,scuro,corto,all,2022-03-26,pioggia,12.2,primavera,marzo
poliestere,chiaro,corto,estate,2022-08-13,soleggiato,25.6,estate,agosto
poliestere,colorato,corto,all,2022-01-10,soleggiato,0.25,inverno,gennaio
poliestere,colorato,corto,estate,2022-10-07,soleggiato,18.95,autunno,ottobre
poliestere,chiaro,corto,estate,2022-02-23,soleggiato,6.95,inverno,febbraio
poliestere,colorato,corto,estate,2022-03-14,soleggiato,6.1000000000000005,primavera,marzo
poliestere,scuro,corto,all,2022-06-04,nuvoloso,28.3,estate,giugno
cotone,chiaro,corto,all,2022-08-03,soleggiato,30.3,estate,agosto
poliestere,colorato,corto,all,2022-09-29,pioggia,19.4,autunno,settembre
poliestere,scuro,corto,all,2022-03-31,pioggia,7.65,primavera,marzo
tweed,chiaro,corto,estate,2022-05-16,pioggia,25.700000000000003,primavera,maggio
poliestere,scuro,corto,all,2022-07-30,soleggiato,29.1,estate,luglio
cotone,scuro,corto,estate,2022-06-27,pioggia,24.8,estate,giugno
poliestere,colorato,corto,primavera_estate,2022-08-13,pioggia,25.35,estate,agosto
cotone,colorato,corto,all,2022-05-20,soleggiato,21.6,primavera,maggio
cotone,scuro,corto,all,2022-02-09,soleggiato,2.5500000000000003,inverno,febbraio
poliestere,scuro,corto,estate,2022-03-30,pioggia,9.85,primavera,marzo
poliestere,colorato,corto,estate,2022-07-31,soleggiato,29.45,estate,luglio
poliestere,scuro,corto,estate,2022-02-02,pioggia,3.9,inverno,febbraio
cotone,scuro,corto,all,2022-12-25,nuvoloso,8.950000000000001,inverno,dicembre
poliestere,colorato,corto,estate,2022-03-08,nuvoloso,1.2500000000000002,primavera,marzo
poliestere,scuro,corto,all,2022-07-27,pioggia,28.35,estate,luglio
poliestere,colorato,corto,estate,2022-10-29,soleggiato,19.75,autunno,ottobre
poliestere,colorato,corto,primavera_estate,2022-04-24,pioggia,11.55,primavera,aprile
poliestere,colorato,corto,estate,2022-10-18,nuvoloso,22.1,autunno,ottobre
cotone,scuro,corto,all,2022-01-13,soleggiato,1.2,inverno,gennaio
poliestere,colorato,corto,primavera_estate,2022-11-05,nuvoloso,10.85,autunno,novembre
poliestere,colorato,corto,estate,2022-04-13,soleggiato,11.9,primavera,aprile
poliestere,scuro,corto,all,2022-05-26,pioggia,12.8,primavera,maggio
cotone,colorato,corto,estate,2022-01-20,pioggia,1.5,inverno,gennaio
poliestere,scuro,corto,all,2022-05-15,pioggia,25.4,primavera,maggio
poliestere,colorato,corto,all,2022-05-02,pioggia,14.25,primavera,maggio
velluto,scuro,corto,autunno_inverno,2022-09-24,soleggiato,10.3,autunno,settembre
cotone,scuro,corto,all,2022-05-16,pioggia,13.65,primavera,maggio
poliestere,colorato,corto,estate,2022-04-16,nuvoloso,11.35,primavera,aprile
poliestere,chiaro,corto,estate,2022-08-31,pioggia,28.15,estate,agosto
poliestere,chiaro,corto,estate,2022-07-24,soleggiato,31.35,estate,luglio
poliestere,colorato,corto,estate,2022-10-20,soleggiato,19.6,autunno,ottobre
poliestere,colorato,corto,estate,2022-03-09,soleggiato,2.9000000000000004,primavera,marzo
poliestere,chiaro,corto,estate,2022-11-23,soleggiato,5.25,autunno,novembre
poliestere,colorato,corto,estate,2022-03-26,soleggiato,8.15,primavera,marzo
poliestere,scuro,corto,all,2022-10-06,soleggiato,12.1,autunno,ottobre
poliestere,scuro,corto,estate,2022-11-25,nuvoloso,6.8,autunno,novembre
poliestere,chiaro,corto,primavera,2022-04-22,pioggia,10.5,primavera,aprile
poliestere,scuro,corto,all,2022-10-01,pioggia,16.05,autunno,ottobre
cotone,colorato,corto,all,2022-08-26,pioggia,26.9,estate,agosto
poliestere,colorato,corto,estate,2022-03-13,neve,1.7,primavera,marzo
poliestere,colorato,corto,estate,2022-12-25,nuvoloso,6.85,inverno,dicembre
velluto,scuro,corto,autunno_inverno,2022-01-12,pioggia,7.4,inverno,gennaio
poliestere,colorato,corto,estate,2022-07-16,soleggiato,31.700000000000003,estate,luglio
poliestere,scuro,corto,estate,2022-03-20,soleggiato,2.5500000000000003,primavera,marzo
poliestere,scuro,corto,all,2022-01-12,neve,-1.45,inverno,gennaio
cotone,colorato,corto,estate,2022-07-10,soleggiato,24.85,estate,luglio
