Materiale,Colore,Lunghezza,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
poliestere,colorato,corto,estate,pioggia,7.65,inverno,13
cotone,chiaro,corto,estate,pioggia,26.0,autunno,23
poliestere,colorato,corto,all,soleggiato,16.05,autunno,18
poliestere,colorato,corto,all,pioggia,9.05,inverno,16
poliestere,scuro,corto,estate,soleggiato,26.35,estate,19
velluto,scuro,corto,all,soleggiato,7.4,inverno,16
poliestere,scuro,corto,estate,soleggiato,14.0,autunno,14
poliestere,colorato,corto,estate,soleggiato,0.4500000000000002,inverno,13
poliestere,scuro,corto,all,soleggiato,29.1,estate,16
poliestere,colorato,corto,autunno_inverno,soleggiato,34.3,estate,20
poliestere,chiaro,corto,estate,soleggiato,4.75,autunno,13
poliestere,colorato,corto,all,nuvoloso,0.0499999999999998,inverno,16
poliestere,scuro,corto,all,soleggiato,23.25,primavera,15
poliestere,colorato,corto,estate,soleggiato,3.4000000000000004,autunno,13
poliestere,colorato,corto,estate,pioggia,10.65,primavera,18
poliestere,colorato,corto,all,nuvoloso,10.35,inverno,17
poliestere,colorato,corto,estate,neve,0.9000000000000001,inverno,13
velluto,scuro,corto,autunno_inverno,pioggia,9.75,autunno,18
poliestere,colorato,corto,all,soleggiato,31.3,estate,22
poliestere,chiaro,corto,all,pioggia,7.949999999999999,primavera,16
poliestere,colorato,corto,estate,pioggia,12.1,primavera,18
poliestere,colorato,corto,estate,soleggiato,29.950000000000003,estate,24
poliestere,scuro,corto,estate,nuvoloso,12.45,inverno,14
poliestere,colorato,corto,estate,soleggiato,10.75,autunno,14
poliestere,colorato,corto,primavera_estate,nuvoloso,2.25,primavera,18
poliestere,scuro,corto,all,neve,-4.1000000000000005,inverno,16
poliestere,colorato,corto,estate,soleggiato,20.4,primavera,21
poliestere,colorato,corto,estate,soleggiato,12.6,autunno,14
poliestere,scuro,corto,all,pioggia,31.15,estate,22
cotone,colorato,corto,estate,soleggiato,11.4,autunno,15
poliestere,scuro,corto,autunno_inverno,pioggia,9.25,inverno,18
