Tipo,Antiscivolo,Impermeabile,Colore,Stagione
scarpa classica,n,y,scuro,autunno_inverno
scarpa classica,n,y,scuro,all
stivaletto alla caviglia,n,y,scuro,inverno
scarpe aperte,n,n,colorato,estate
scarpe aperte,n,n,scuro,primavera_estate
stivaletto alla caviglia,n,y,scuro,autunno
stivaletto alla caviglia,n,y,colorato,autunno
stivaletto alla caviglia,n,y,chiaro,autunno_inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno
scarpa classica,y,y,chiaro,primavera_estate
stivali,n,y,colorato,inverno
scarpa classica,n,y,scuro,autunno_inverno
scarpa classica,n,y,chiaro,primavera_estate
stivaletto alla caviglia,n,n,scuro,autunno_inverno
stivaletto alla caviglia,n,y,chiaro,autunno_inverno
scarpa classica,n,y,chiaro,autunno_inverno
scarpa classica,n,y,colorato,autunno_inverno
scarpa classica,n,y,chiaro,primavera_estate
scarpe aperte,y,n,colorato,primavera_estate
scarpa da ginnastica,y,n,chiaro,all
scarpa da ginnastica,y,n,chiaro,estate
scarpa da ginnastica,y,n,chiaro,all
scarpa classica,n,y,scuro,primavera_estate
scarpa classica,y,y,colorato,all
stivaletto alla caviglia,n,y,chiaro,autunno
scarpa classica,n,y,scuro,inverno
scarpa classica,n,y,scuro,autunno_inverno
stivaletto alla caviglia,n,y,chiaro,inverno
scarpa classica,n,y,colorato,primavera_estate
scarpa classica,n,y,chiaro,all
anfibi,n,y,chiaro,inverno
anfibi,n,y,chiaro,autunno_inverno
anfibi,y,y,colorato,autunno
anfibi,n,y,chiaro,inverno
scarpa da ginnastica,y,y,scuro,all
scarpa da ginnastica,y,y,colorato,autunno_inverno
scarpa classica,n,y,chiaro,primavera_estate
scarpa da ginnastica,y,y,scuro,inverno
scarpa classica,y,y,colorato,inverno
stivaletto alla caviglia,n,y,colorato,inverno
scarpa classica,n,y,scuro,inverno
scarpe aperte,n,n,scuro,estate
scarpe aperte,n,n,chiaro,estate
scarpe aperte,y,n,chiaro,primavera
stivaletto alla caviglia,y,y,chiaro,inverno
stivaletto alla caviglia,y,y,colorato,inverno
stivaletto alla caviglia,y,n,scuro,autunno
stivaletto alla caviglia,y,n,scuro,autunno_inverno
scarpa da ginnastica,y,y,chiaro,primavera_estate
anfibi,n,y,colorato,autunno_inverno
scarpa classica,y,y,scuro,autunno_inverno
scarpa da ginnastica,y,y,scuro,all
stivaletto alla caviglia,n,y,chiaro,inverno
stivaletto alla caviglia,n,y,colorato,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno
stivaletto alla caviglia,n,y,scuro,autunno
scarpe aperte,n,n,scuro,estate
stivaletto alla caviglia,n,y,scuro,inverno
scarpa classica,n,y,colorato,inverno
scarpa da ginnastica,y,n,chiaro,all
scarpa da ginnastica,n,n,scuro,estate
scarpa classica,n,y,colorato,primavera_estate
scarpa da ginnastica,y,y,scuro,estate
scarpa classica,y,y,chiaro,inverno
scarpe aperte,n,n,colorato,primavera_estate
scarpa classica,y,y,scuro,autunno_inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno
scarpa da ginnastica,n,y,scuro,primavera_estate
scarpa da ginnastica,n,n,chiaro,all
scarpa classica,n,y,colorato,inverno
stivaletto alla caviglia,y,y,colorato,autunno
stivaletto alla caviglia,y,y,chiaro,autunno
scarpa da ginnastica,n,y,scuro,inverno
stivaletto alla caviglia,n,y,colorato,autunno
scarpe aperte,n,n,scuro,estate
scarpa classica,y,y,scuro,all
stivaletto alla caviglia,n,y,colorato,inverno
scarpa classica,n,y,colorato,all
scarpe con tacchi,y,n,scuro,primavera_estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno
scarpa da ginnastica,y,y,colorato,primavera_estate
stivaletto alla caviglia,n,y,colorato,autunno
stivaletto alla caviglia,n,y,colorato,autunno
scarpa da ginnastica,n,y,chiaro,all
scarpa classica,n,y,chiaro,inverno
scarpa classica,n,y,scuro,inverno
scarpa da ginnastica,n,n,colorato,inverno
scarpa da ginnastica,y,y,scuro,estate
stivaletto alla caviglia,n,y,chiaro,autunno_inverno
scarpa da ginnastica,n,n,scuro,all
stivaletto alla caviglia,y,y,colorato,autunno
scarpa da ginnastica,n,y,scuro,autunno_inverno
stivaletto alla caviglia,n,y,scuro,autunno
stivaletto alla caviglia,y,y,colorato,autunno_inverno
scarpa da ginnastica,y,y,chiaro,all
scarpa da ginnastica,y,y,scuro,inverno
scarpa da ginnastica,n,y,chiaro,all
scarpa classica,n,y,chiaro,primavera_estate
stivaletto alla caviglia,n,n,colorato,autunno_inverno
stivaletto alla caviglia,n,n,colorato,inverno
scarpa classica,y,y,chiaro,all
scarpe aperte,n,n,scuro,primavera
stivaletto alla caviglia,n,y,colorato,autunno
stivaletto alla caviglia,n,n,chiaro,autunno
stivaletto alla caviglia,n,y,chiaro,inverno
stivaletto alla caviglia,n,y,colorato,inverno
scarpa da ginnastica,y,y,colorato,inverno
scarpa da ginnastica,n,n,chiaro,all
stivaletto alla caviglia,y,y,colorato,autunno_inverno
