Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione
scarpa classica,n,y,scuro,inverno,soleggiato,28,estate
scarpa classica,n,y,scuro,primavera_estate,nuvoloso,20,primavera
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,14,primavera
scarpe aperte,n,n,Chiaro,primavera_estate,nuvoloso,0,inverno
scarpe aperte,n,n,scuro,primavera,pioggia,6,inverno
stivaletto alla caviglia,n,y,scuro,inverno,nuvoloso,3,inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,20,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,19,autunno
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,26,estate
scarpa classica,y,y,Chiaro,autunno_inverno,pioggia,30,estate
stivali,n,y,scuro,autunno,soleggiato,21,autunno
scarpa classica,n,y,Chiaro,inverno,soleggiato,17,primavera
scarpa classica,n,y,Chiaro,all,pioggia,13,inverno
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,7,inverno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,24,autunno
scarpa classica,n,y,Chiaro,inverno,soleggiato,10,autunno
scarpa classica,n,y,Chiaro,inverno,soleggiato,29,estate
scarpa classica,n,y,Chiaro,all,soleggiato,26,primavera
scarpe aperte,y,n,Chiaro,primavera,pioggia,14,primavera
scarpa da ginnastica,y,n,colorato,estate,pioggia,16,primavera
scarpa da ginnastica,y,n,Chiaro,all,soleggiato,11,autunno
scarpa da ginnastica,y,n,colorato,estate,soleggiato,27,estate
scarpa classica,y,y,Chiaro,all,pioggia,26,estate
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,28,estate
scarpa classica,n,y,scuro,all,pioggia,20,estate
scarpa classica,n,y,scuro,inverno,neve,8,primavera
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,8,primavera
scarpa classica,n,y,scuro,all,soleggiato,25,estate
scarpa classica,n,y,colorato,primavera_estate,soleggiato,17,autunno
anfibi,n,y,colorato,inverno,pioggia,5,inverno
anfibi,n,y,scuro,autunno_inverno,pioggia,3,inverno
anfibi,y,y,colorato,autunno_inverno,soleggiato,29,estate
anfibi,n,y,Chiaro,inverno,nuvoloso,2,inverno
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,28,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,-10,inverno
scarpa classica,n,y,colorato,autunno_inverno,soleggiato,6,inverno
scarpa da ginnastica,y,y,scuro,estate,soleggiato,-2,inverno
scarpa classica,y,y,colorato,primavera_estate,nuvoloso,3,inverno
stivaletto alla caviglia,n,y,scuro,autunno,neve,1,inverno
scarpa classica,n,y,colorato,inverno,pioggia,15,estate
scarpe aperte,n,n,Chiaro,primavera_estate,soleggiato,31,estate
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,1,inverno
scarpe aperte,y,n,Chiaro,primavera_estate,soleggiato,11,autunno
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,26,autunno
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,30,estate
stivaletto alla caviglia,y,n,colorato,autunno_inverno,soleggiato,26,estate
stivaletto alla caviglia,y,n,scuro,autunno,pioggia,16,autunno
scarpa da ginnastica,y,y,colorato,estate,soleggiato,29,estate
anfibi,n,y,colorato,autunno_inverno,pioggia,29,primavera
scarpa classica,y,y,Chiaro,all,soleggiato,29,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,7,autunno
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,11,inverno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,9,primavera
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,-2,inverno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,31,estate
scarpe aperte,n,n,Chiaro,primavera,soleggiato,-6,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,28,autunno
scarpa classica,n,y,scuro,inverno,neve,6,primavera
scarpa da ginnastica,y,n,Chiaro,estate,pioggia,3,inverno
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,pioggia,25,estate
scarpa classica,n,y,Chiaro,inverno,soleggiato,20,estate
scarpa da ginnastica,y,y,scuro,inverno,nuvoloso,22,autunno
