Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,28,estate,9
scarpa classica,n,y,scuro,primavera_estate,nuvoloso,20,primavera,22
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,14,primavera,27
scarpe aperte,n,n,colorato,primavera,nuvoloso,0,inverno,10
scarpe aperte,n,n,chiaro,estate,pioggia,6,inverno,10
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,3,inverno,16
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,20,autunno,19
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,19,autunno,16
stivaletto alla caviglia,n,y,chiaro,autunno,soleggiato,26,estate,16
scarpa classica,y,y,chiaro,autunno_inverno,pioggia,30,estate,19
stivali,n,y,colorato,autunno,soleggiato,21,autunno,16
scarpa classica,n,y,chiaro,primavera_estate,soleggiato,17,primavera,20
scarpa classica,n,y,chiaro,autunno_inverno,pioggia,13,inverno,26
stivaletto alla caviglia,n,n,scuro,autunno_inverno,nuvoloso,7,inverno,18
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,24,autunno,26
scarpa classica,n,y,scuro,primavera_estate,soleggiato,10,autunno,15
scarpa classica,n,y,chiaro,all,soleggiato,29,estate,23
scarpa classica,n,y,scuro,inverno,soleggiato,26,primavera,7
scarpe aperte,y,n,scuro,primavera,pioggia,14,primavera,19
scarpa da ginnastica,y,n,chiaro,autunno_inverno,pioggia,16,primavera,21
scarpa da ginnastica,y,n,scuro,autunno_inverno,soleggiato,11,autunno,22
scarpa da ginnastica,y,n,colorato,autunno_inverno,soleggiato,27,estate,15
scarpa classica,y,y,scuro,autunno_inverno,pioggia,26,estate,19
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,28,estate,11
scarpa classica,n,y,chiaro,primavera_estate,pioggia,20,estate,26
scarpa classica,n,y,scuro,autunno_inverno,neve,8,primavera,21
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,8,primavera,25
scarpa classica,n,y,scuro,all,soleggiato,25,estate,13
scarpa classica,n,y,chiaro,inverno,soleggiato,17,autunno,20
anfibi,n,y,colorato,autunno,pioggia,5,inverno,28
anfibi,n,y,colorato,autunno,pioggia,3,inverno,27
anfibi,y,y,chiaro,autunno_inverno,soleggiato,29,estate,15
anfibi,n,y,colorato,autunno_inverno,nuvoloso,2,inverno,17
scarpa da ginnastica,y,y,scuro,all,pioggia,28,estate,22
scarpa da ginnastica,y,y,chiaro,primavera_estate,soleggiato,-10,inverno,14
scarpa classica,n,y,colorato,primavera_estate,soleggiato,6,inverno,13
scarpa da ginnastica,y,y,colorato,inverno,soleggiato,-2,inverno,24
scarpa classica,y,y,scuro,autunno_inverno,nuvoloso,3,inverno,21
stivaletto alla caviglia,n,y,scuro,inverno,neve,1,inverno,29
scarpa classica,n,y,scuro,primavera_estate,pioggia,15,estate,25
scarpe aperte,n,n,colorato,estate,soleggiato,31,estate,25
scarpe aperte,n,n,chiaro,primavera,soleggiato,1,inverno,17
scarpe aperte,y,n,colorato,primavera,soleggiato,11,autunno,19
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,26,autunno,24
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,30,estate,22
stivaletto alla caviglia,y,n,colorato,inverno,soleggiato,26,estate,8
stivaletto alla caviglia,y,n,chiaro,autunno_inverno,pioggia,16,autunno,29
scarpa da ginnastica,y,y,scuro,all,soleggiato,29,estate,14
anfibi,n,y,scuro,inverno,pioggia,29,primavera,20
scarpa classica,y,y,chiaro,primavera_estate,soleggiato,29,estate,26
scarpa da ginnastica,y,y,chiaro,autunno_inverno,pioggia,7,autunno,25
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,11,inverno,17
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,9,primavera,25
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,-2,inverno,16
stivaletto alla caviglia,n,y,chiaro,inverno,soleggiato,31,estate,13
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,-6,inverno,15
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,28,autunno,27
scarpa classica,n,y,scuro,autunno_inverno,neve,6,primavera,21
scarpa da ginnastica,y,n,chiaro,all,pioggia,3,inverno,22
scarpa da ginnastica,n,n,scuro,primavera_estate,pioggia,25,estate,25
scarpa classica,n,y,scuro,all,soleggiato,20,estate,13
scarpa da ginnastica,y,y,chiaro,all,nuvoloso,22,autunno,19
scarpa classica,y,y,chiaro,all,soleggiato,30,estate,23
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,24,estate,23
scarpa classica,y,y,colorato,all,pioggia,27,estate,23
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,6,inverno,16
scarpa da ginnastica,n,y,chiaro,all,pioggia,26,estate,22
scarpa da ginnastica,n,n,chiaro,all,pioggia,28,estate,22
scarpa classica,n,y,chiaro,primavera_estate,nuvoloso,1,primavera,18
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,24,estate,21
stivaletto alla caviglia,y,y,scuro,autunno_inverno,soleggiato,3,inverno,16
scarpa da ginnastica,n,y,scuro,primavera_estate,soleggiato,13,autunno,16
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,3,primavera,13
scarpe aperte,n,n,chiaro,estate,pioggia,15,primavera,17
scarpa classica,y,y,chiaro,primavera_estate,pioggia,5,autunno,18
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,2,inverno,28
scarpa classica,n,y,colorato,autunno_inverno,pioggia,25,estate,19
scarpe con tacchi,y,n,scuro,autunno_inverno,soleggiato,10,autunno,21
stivaletto alla caviglia,y,y,chiaro,autunno,soleggiato,5,inverno,16
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,8,primavera,18
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,9,inverno,29
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,4,primavera,24
scarpa da ginnastica,n,y,colorato,inverno,pioggia,22,primavera,17
scarpa classica,n,y,chiaro,inverno,soleggiato,30,estate,17
scarpa classica,n,y,scuro,inverno,pioggia,11,autunno,26
scarpa da ginnastica,n,n,colorato,all,soleggiato,9,primavera,19
scarpa da ginnastica,y,y,colorato,estate,soleggiato,33,estate,24
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,11,inverno,29
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,33,estate,18
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,3,autunno,29
scarpa da ginnastica,n,y,chiaro,all,soleggiato,13,primavera,19
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,nuvoloso,5,inverno,18
stivaletto alla caviglia,y,y,colorato,autunno_inverno,neve,2,autunno,26
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,6,inverno,22
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,10,autunno,19
scarpa da ginnastica,n,y,scuro,primavera_estate,soleggiato,7,autunno,14
scarpa classica,n,y,colorato,all,pioggia,0,inverno,23
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,29,estate,11
stivaletto alla caviglia,n,n,chiaro,inverno,pioggia,7,autunno,29
scarpa classica,y,y,scuro,all,pioggia,13,inverno,23
scarpe aperte,n,n,scuro,primavera,pioggia,9,autunno,13
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,6,primavera,26
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,26,autunno,14
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,9,autunno,29
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,8,inverno,19
scarpa da ginnastica,y,y,chiaro,all,pioggia,14,inverno,22
scarpa da ginnastica,n,n,scuro,estate,pioggia,16,autunno,19
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,18,primavera,27
stivaletto alla caviglia,n,y,scuro,autunno,neve,-4,inverno,25
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,10,primavera,25
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,-11,inverno,19
scarpa classica,y,y,chiaro,inverno,pioggia,8,primavera,22
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,18,autunno,20
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,20,primavera,18
scarpe aperte,y,n,chiaro,estate,nuvoloso,4,autunno,7
scarpe aperte,n,n,colorato,estate,soleggiato,9,inverno,14
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,15,primavera,22
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,20,autunno,9
