Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese,Punteggio
cotone,colorato,lunga,primavera_estate,2022-02-15,pioggia,7.65,inverno,febbraio,24
poliestere,scuro,lunga,primavera_estate,2022-09-09,pioggia,26.0,autunno,settembre,13
poliestere,colorato,lunga,estate,2022-09-22,soleggiato,16.05,autunno,settembre,21
poliestere,chiaro,lunga,autunno,2022-02-06,pioggia,9.05,inverno,febbraio,27
poliestere,scuro,lunga,estate,2022-08-11,soleggiato,26.35,estate,agosto,13
poliestere,colorato,lunga,autunno,2022-02-22,soleggiato,7.4,inverno,febbraio,27
poliestere,colorato,corta,estate,2022-11-11,soleggiato,14.0,autunno,novembre,14
poliestere,colorato,lunga,autunno,2022-01-12,soleggiato,0.4500000000000002,inverno,gennaio,27
poliestere,colorato,lunga,autunno,2022-08-31,soleggiato,29.1,estate,agosto,14
poliestere,scuro,lunga,estate,2022-08-01,soleggiato,34.3,estate,agosto,10
poliestere,chiaro,lunga,autunno,2022-11-25,soleggiato,4.75,autunno,novembre,29
cotone,scuro,lunga,estate,2022-12-07,nuvoloso,0.0499999999999998,inverno,dicembre,23
poliestere,scuro,corta,estate,2022-05-25,soleggiato,23.25,primavera,maggio,16
poliestere,colorato,corta,estate,2022-11-26,soleggiato,3.4000000000000004,autunno,novembre,13
cotone,colorato,corta,estate,2022-03-20,pioggia,10.65,primavera,marzo,19
cotone,colorato,lunga,primavera,2022-02-05,nuvoloso,10.35,inverno,febbraio,25
poliestere,chiaro,lunga,primavera_estate,2022-01-19,neve,0.9000000000000001,inverno,gennaio,24
cotone,scuro,corta,estate,2022-11-16,pioggia,9.75,autunno,novembre,13
cotone,colorato,corta,estate,2022-07-29,soleggiato,31.3,estate,luglio,30
poliestere,chiaro,corta,estate,2022-04-09,pioggia,7.949999999999999,primavera,aprile,17
cotone,chiaro,lunga,estate,2022-03-31,pioggia,12.1,primavera,marzo,27
cotone,colorato,lunga,autunno,2022-08-01,soleggiato,29.950000000000003,estate,agosto,19
poliestere,scuro,lunga,primavera_estate,2022-01-02,nuvoloso,12.45,inverno,gennaio,23
poliestere,colorato,lunga,estate,2022-11-07,soleggiato,10.75,autunno,novembre,22
poliestere,chiaro,corta,estate,2022-04-04,nuvoloso,2.25,primavera,aprile,17
poliestere,colorato,lunga,estate,2022-01-08,neve,-4.1000000000000005,inverno,gennaio,23
poliestere,scuro,lunga,estate,2022-05-16,soleggiato,20.4,primavera,maggio,16
poliestere,scuro,lunga,estate,2022-09-19,soleggiato,12.6,autunno,settembre,22
poliestere,colorato,corta,estate,2022-07-07,pioggia,31.15,estate,luglio,25
poliestere,colorato,lunga,estate,2022-11-11,soleggiato,11.4,autunno,novembre,22
poliestere,colorato,lunga,primavera_estate,2022-02-21,pioggia,9.25,inverno,febbraio,24
cotone,scuro,lunga,estate,2022-02-02,pioggia,3.65,inverno,febbraio,23
cotone,chiaro,lunga,autunno,2022-10-18,soleggiato,17.9,autunno,ottobre,29
poliestere,colorato,lunga,autunno,2022-02-01,soleggiato,4.550000000000001,inverno,febbraio,27
cotone,colorato,lunga,primavera_estate,2022-07-30,soleggiato,28.7,estate,luglio,22
cotone,chiaro,corta,estate,2022-03-17,nuvoloso,7.6,primavera,marzo,17
poliestere,chiaro,lunga,autunno,2022-05-01,pioggia,4.1,primavera,maggio,25
cotone,chiaro,lunga,estate,2022-05-16,pioggia,18.0,primavera,maggio,27
poliestere,scuro,lunga,estate,2022-09-26,pioggia,14.65,autunno,settembre,22
poliestere,scuro,lunga,estate,2022-04-18,soleggiato,9.95,primavera,aprile,27
poliestere,scuro,lunga,autunno,2022-01-08,nuvoloso,-0.5499999999999998,inverno,gennaio,27
poliestere,scuro,lunga,estate,2022-07-25,pioggia,30.25,estate,luglio,15
poliestere,colorato,lunga,autunno,2022-11-19,pioggia,-0.3,autunno,novembre,29
cotone,scuro,lunga,estate,2022-08-04,soleggiato,31.9,estate,agosto,15
cotone,scuro,corta,estate,2022-05-07,pioggia,14.95,primavera,maggio,19
cotone,scuro,lunga,primavera_estate,2022-02-18,pioggia,7.75,inverno,febbraio,24
poliestere,scuro,lunga,primavera_estate,2022-08-31,pioggia,25.35,estate,agosto,17
cotone,scuro,corta,estate,2022-09-12,soleggiato,24.200000000000003,autunno,settembre,15
