Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
raso,colorato,lunga,primavera_estate,2022-02-15,pioggia,7.65,inverno,febbraio
raso,chiaro,lunga,estate,2022-09-09,pioggia,26.0,autunno,settembre
lino,chiaro,corta,primavera_estate,2022-09-22,soleggiato,16.05,autunno,settembre
lino,scuro,lunga,estate,2022-02-06,pioggia,9.05,inverno,febbraio
raso,chiaro,corta,primavera_estate,2022-08-11,soleggiato,26.35,estate,agosto
lino,chiaro,lunga,primavera,2022-02-22,soleggiato,7.4,inverno,febbraio
raso,scuro,lunga,primavera_estate,2022-11-11,soleggiato,14.0,autunno,novembre
lino,scuro,corta,estate,2022-01-12,soleggiato,0.4500000000000002,inverno,gennaio
lino,chiaro,corta,primavera_estate,2022-08-31,soleggiato,29.1,estate,agosto
raso,colorato,lunga,estate,2022-08-01,soleggiato,34.3,estate,agosto
seta,colorato,lunga,primavera,2022-11-25,soleggiato,4.75,autunno,novembre
raso,chiaro,lunga,primavera,2022-12-07,nuvoloso,0.0499999999999998,inverno,dicembre
raso,scuro,lunga,primavera_estate,2022-05-25,soleggiato,23.25,primavera,maggio
seta,colorato,corta,primavera_estate,2022-11-26,soleggiato,3.4000000000000004,autunno,novembre
seta,scuro,lunga,primavera,2022-03-20,pioggia,10.65,primavera,marzo
lino,colorato,corta,estate,2022-02-05,nuvoloso,10.35,inverno,febbraio
raso,chiaro,lunga,estate,2022-01-19,neve,0.9000000000000001,inverno,gennaio
lino,chiaro,lunga,primavera,2022-11-16,pioggia,9.75,autunno,novembre
lino,chiaro,corta,primavera,2022-07-29,soleggiato,31.3,estate,luglio
raso,chiaro,corta,estate,2022-04-09,pioggia,7.949999999999999,primavera,aprile
seta,scuro,lunga,primavera,2022-03-31,pioggia,12.1,primavera,marzo
seta,colorato,lunga,estate,2022-08-01,soleggiato,29.950000000000003,estate,agosto
seta,chiaro,lunga,primavera,2022-01-02,nuvoloso,12.45,inverno,gennaio
raso,chiaro,lunga,primavera,2022-11-07,soleggiato,10.75,autunno,novembre
lino,chiaro,corta,primavera,2022-04-04,nuvoloso,2.25,primavera,aprile
lino,colorato,lunga,primavera,2022-01-08,neve,-4.1000000000000005,inverno,gennaio
raso,scuro,corta,primavera,2022-05-16,soleggiato,20.4,primavera,maggio
lino,chiaro,corta,estate,2022-09-19,soleggiato,12.6,autunno,settembre
raso,colorato,corta,estate,2022-07-07,pioggia,31.15,estate,luglio
raso,chiaro,lunga,primavera_estate,2022-11-11,soleggiato,11.4,autunno,novembre
lino,chiaro,lunga,estate,2022-02-21,pioggia,9.25,inverno,febbraio
raso,colorato,corta,primavera,2022-02-02,pioggia,3.65,inverno,febbraio
seta,chiaro,corta,primavera_estate,2022-10-18,soleggiato,17.9,autunno,ottobre
seta,scuro,lunga,primavera_estate,2022-02-01,soleggiato,4.550000000000001,inverno,febbraio
seta,colorato,corta,estate,2022-07-30,soleggiato,28.7,estate,luglio
lino,scuro,corta,primavera,2022-03-17,nuvoloso,7.6,primavera,marzo
seta,colorato,corta,primavera,2022-05-01,pioggia,4.1,primavera,maggio
lino,colorato,corta,primavera_estate,2022-05-16,pioggia,18.0,primavera,maggio
lino,colorato,lunga,estate,2022-09-26,pioggia,14.65,autunno,settembre
lino,chiaro,corta,primavera,2022-04-18,soleggiato,9.95,primavera,aprile
raso,scuro,lunga,primavera,2022-01-08,nuvoloso,-0.5499999999999998,inverno,gennaio
raso,chiaro,lunga,primavera_estate,2022-07-25,pioggia,30.25,estate,luglio
lino,colorato,corta,primavera_estate,2022-11-19,pioggia,-0.3,autunno,novembre
seta,chiaro,corta,primavera,2022-08-04,soleggiato,31.9,estate,agosto
raso,scuro,lunga,primavera_estate,2022-05-07,pioggia,14.95,primavera,maggio
raso,scuro,lunga,primavera_estate,2022-02-18,pioggia,7.75,inverno,febbraio
raso,scuro,corta,primavera,2022-08-31,pioggia,25.35,estate,agosto
lino,scuro,lunga,primavera,2022-09-12,soleggiato,24.200000000000003,autunno,settembre
raso,scuro,lunga,primavera_estate,2022-10-22,pioggia,20.45,autunno,ottobre
lino,scuro,corta,primavera_estate,2022-08-29,soleggiato,27.5,estate,agosto
lino,chiaro,corta,estate,2022-11-01,pioggia,13.95,autunno,novembre
seta,colorato,corta,primavera_estate,2022-05-08,pioggia,18.25,primavera,maggio
raso,colorato,lunga,primavera_estate,2022-05-17,soleggiato,21.95,primavera,maggio
raso,scuro,lunga,primavera_estate,2022-08-06,pioggia,33.3,estate,agosto
seta,scuro,lunga,primavera,2022-10-31,soleggiato,19.15,autunno,ottobre
seta,colorato,lunga,primavera,2022-12-08,pioggia,7.449999999999999,inverno,dicembre
lino,colorato,corta,primavera_estate,2022-07-24,pioggia,26.35,estate,luglio
seta,colorato,lunga,primavera,2022-05-31,soleggiato,20.6,primavera,maggio
raso,scuro,corta,primavera_estate,2022-12-14,pioggia,13.85,inverno,dicembre
raso,scuro,corta,estate,2022-05-03,pioggia,11.55,primavera,maggio
seta,scuro,lunga,primavera,2022-06-06,soleggiato,28.2,estate,giugno
lino,colorato,lunga,primavera_estate,2022-08-09,pioggia,17.15,estate,agosto
lino,colorato,lunga,primavera_estate,2022-10-02,pioggia,19.75,autunno,ottobre
seta,scuro,lunga,estate,2022-03-04,nuvoloso,1.1,primavera,marzo
raso,colorato,lunga,primavera,2022-03-28,soleggiato,7.75,primavera,marzo
seta,colorato,lunga,estate,2022-02-25,pioggia,8.5,inverno,febbraio
lino,scuro,lunga,primavera,2022-05-18,pioggia,22.9,primavera,maggio
raso,chiaro,corta,primavera,2022-01-19,soleggiato,5.7,inverno,gennaio
seta,colorato,corta,estate,2022-03-15,soleggiato,12.25,primavera,marzo
seta,chiaro,corta,primavera,2022-01-10,neve,2.7,inverno,gennaio
raso,scuro,lunga,estate,2022-02-14,pioggia,1.2000000000000002,inverno,febbraio
lino,scuro,corta,primavera_estate,2022-09-12,nuvoloso,11.95,autunno,settembre
raso,colorato,corta,primavera_estate,2022-08-05,soleggiato,29.75,estate,agosto
lino,scuro,corta,estate,2022-07-13,soleggiato,27.55,estate,luglio
seta,chiaro,lunga,primavera_estate,2022-08-07,pioggia,27.0,estate,agosto
lino,chiaro,lunga,primavera,2022-02-04,soleggiato,3.35,inverno,febbraio
lino,chiaro,corta,primavera_estate,2022-01-03,nuvoloso,3.0500000000000003,inverno,gennaio
lino,chiaro,corta,primavera_estate,2022-01-18,soleggiato,3.15,inverno,gennaio
seta,chiaro,corta,primavera_estate,2022-07-12,pioggia,27.85,estate,luglio
raso,colorato,corta,estate,2022-08-18,pioggia,28.4,estate,agosto
seta,scuro,lunga,estate,2022-08-06,pioggia,28.65,estate,agosto
raso,scuro,lunga,primavera_estate,2022-11-21,pioggia,6.7,autunno,novembre
seta,scuro,lunga,primavera,2022-01-03,pioggia,9.55,inverno,gennaio
raso,colorato,lunga,primavera_estate,2022-08-27,soleggiato,28.4,estate,agosto
seta,chiaro,corta,primavera_estate,2022-02-18,pioggia,2.7,inverno,febbraio
lino,chiaro,lunga,primavera,2022-06-17,pioggia,24.25,estate,giugno
raso,chiaro,lunga,primavera,2022-06-28,pioggia,30.55,estate,giugno
seta,colorato,corta,primavera_estate,2022-09-09,pioggia,30.4,autunno,settembre
lino,colorato,corta,primavera_estate,2022-01-07,soleggiato,-0.5,inverno,gennaio
lino,chiaro,corta,primavera,2022-07-20,nuvoloso,30.65,estate,luglio
lino,colorato,corta,estate,2022-08-12,pioggia,25.05,estate,agosto
lino,colorato,corta,estate,2022-09-18,soleggiato,15.75,autunno,settembre
seta,scuro,lunga,primavera,2022-08-23,soleggiato,30.200000000000003,estate,agosto
lino,chiaro,corta,primavera,2022-02-26,nuvoloso,1.05,inverno,febbraio
seta,scuro,corta,primavera,2022-04-14,soleggiato,15.95,primavera,aprile
raso,scuro,lunga,primavera,2022-01-20,pioggia,1.2999999999999998,inverno,gennaio
seta,scuro,corta,primavera_estate,2022-07-03,soleggiato,31.5,estate,luglio
raso,chiaro,corta,estate,2022-02-04,nuvoloso,7.8,inverno,febbraio
lino,colorato,lunga,estate,2022-08-26,soleggiato,29.4,estate,agosto
raso,scuro,corta,primavera_estate,2022-05-08,pioggia,17.85,primavera,maggio
seta,colorato,lunga,estate,2022-11-15,nuvoloso,14.9,autunno,novembre
raso,colorato,lunga,primavera_estate,2022-08-05,soleggiato,25.450000000000003,estate,agosto
raso,colorato,lunga,primavera,2022-12-01,nuvoloso,4.15,inverno,dicembre
lino,colorato,lunga,primavera,2022-09-19,soleggiato,20.55,autunno,settembre
seta,colorato,corta,estate,2022-03-26,soleggiato,10.0,primavera,marzo
seta,colorato,lunga,primavera_estate,2022-06-07,soleggiato,22.45,estate,giugno
seta,colorato,corta,primavera_estate,2022-12-24,nuvoloso,6.1,inverno,dicembre
seta,chiaro,lunga,primavera,2022-04-22,pioggia,11.95,primavera,aprile
seta,chiaro,lunga,primavera,2022-09-19,soleggiato,19.15,autunno,settembre
lino,chiaro,lunga,estate,2022-06-22,soleggiato,25.9,estate,giugno
lino,colorato,lunga,primavera_estate,2022-02-08,soleggiato,2.45,inverno,febbraio
seta,scuro,lunga,primavera_estate,2022-03-16,nuvoloso,11.0,primavera,marzo
lino,colorato,lunga,primavera_estate,2022-09-14,pioggia,26.55,autunno,settembre
seta,colorato,corta,primavera_estate,2022-07-15,soleggiato,27.25,estate,luglio
lino,colorato,lunga,primavera_estate,2022-03-23,soleggiato,8.45,primavera,marzo
seta,scuro,lunga,primavera,2022-04-13,soleggiato,11.8,primavera,aprile
lino,colorato,lunga,primavera_estate,2022-12-16,pioggia,6.25,inverno,dicembre
seta,chiaro,lunga,estate,2022-11-27,soleggiato,5.7,autunno,novembre
raso,chiaro,lunga,primavera_estate,2022-02-09,soleggiato,5.45,inverno,febbraio
raso,chiaro,lunga,estate,2022-03-31,pioggia,12.6,primavera,marzo
lino,scuro,corta,primavera_estate,2022-02-27,nuvoloso,2.55,inverno,febbraio
lino,chiaro,lunga,estate,2022-04-08,soleggiato,12.25,primavera,aprile
lino,chiaro,corta,primavera,2022-09-07,pioggia,28.1,autunno,settembre
raso,scuro,lunga,primavera_estate,2022-07-11,pioggia,21.4,estate,luglio
seta,colorato,corta,primavera,2022-11-19,pioggia,13.9,autunno,novembre
raso,chiaro,corta,primavera,2022-10-20,soleggiato,20.35,autunno,ottobre
lino,chiaro,corta,primavera_estate,2022-02-05,soleggiato,4.7,inverno,febbraio
lino,scuro,corta,primavera,2022-06-04,soleggiato,27.55,estate,giugno
seta,chiaro,corta,estate,2022-03-29,nuvoloso,10.85,primavera,marzo
raso,chiaro,corta,estate,2022-06-20,soleggiato,30.75,estate,giugno
raso,colorato,corta,primavera_estate,2022-03-17,pioggia,1.75,primavera,marzo
seta,colorato,lunga,primavera_estate,2022-10-06,soleggiato,18.9,autunno,ottobre
seta,chiaro,lunga,estate,2022-10-24,soleggiato,24.05,autunno,ottobre
raso,scuro,corta,primavera_estate,2022-03-04,neve,2.4,primavera,marzo
raso,colorato,lunga,primavera_estate,2022-02-12,pioggia,3.55,inverno,febbraio
raso,colorato,corta,primavera,2022-11-05,soleggiato,2.0,autunno,novembre
seta,scuro,corta,estate,2022-10-08,soleggiato,20.4,autunno,ottobre
raso,chiaro,lunga,primavera,2022-07-05,soleggiato,31.2,estate,luglio
lino,colorato,corta,primavera,2022-11-03,soleggiato,17.45,autunno,novembre
