Materiale,Colore,Manica,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
cotone,colorato,lunga,primavera_estate,pioggia,7.65,inverno,24
poliestere,scuro,lunga,primavera_estate,pioggia,26.0,autunno,13
poliestere,colorato,lunga,estate,soleggiato,16.05,autunno,21
poliestere,chiaro,lunga,autunno,pioggia,9.05,inverno,27
poliestere,scuro,lunga,estate,soleggiato,26.35,estate,13
poliestere,colorato,lunga,autunno,soleggiato,7.4,inverno,27
poliestere,colorato,corta,estate,soleggiato,14.0,autunno,14
poliestere,colorato,lunga,autunno,soleggiato,0.4500000000000002,inverno,27
poliestere,colorato,lunga,autunno,soleggiato,29.1,estate,14
poliestere,scuro,lunga,estate,soleggiato,34.3,estate,10
poliestere,chiaro,lunga,autunno,soleggiato,4.75,autunno,29
cotone,scuro,lunga,estate,nuvoloso,0.0499999999999998,inverno,23
poliestere,scuro,corta,estate,soleggiato,23.25,primavera,16
poliestere,colorato,corta,estate,soleggiato,3.4000000000000004,autunno,13
cotone,colorato,corta,estate,pioggia,10.65,primavera,19
cotone,colorato,lunga,primavera,nuvoloso,10.35,inverno,25
poliestere,chiaro,lunga,primavera_estate,neve,0.9000000000000001,inverno,24
cotone,scuro,corta,estate,pioggia,9.75,autunno,13
cotone,colorato,corta,estate,soleggiato,31.3,estate,30
poliestere,chiaro,corta,estate,pioggia,7.949999999999999,primavera,17
cotone,chiaro,lunga,estate,pioggia,12.1,primavera,27
cotone,colorato,lunga,autunno,soleggiato,29.950000000000003,estate,19
poliestere,scuro,lunga,primavera_estate,nuvoloso,12.45,inverno,23
poliestere,colorato,lunga,estate,soleggiato,10.75,autunno,22
poliestere,chiaro,corta,estate,nuvoloso,2.25,primavera,17
poliestere,colorato,lunga,estate,neve,-4.1000000000000005,inverno,23
poliestere,scuro,lunga,estate,soleggiato,20.4,primavera,16
poliestere,scuro,lunga,estate,soleggiato,12.6,autunno,22
poliestere,colorato,corta,estate,pioggia,31.15,estate,25
poliestere,colorato,lunga,estate,soleggiato,11.4,autunno,22
poliestere,colorato,lunga,primavera_estate,pioggia,9.25,inverno,24
