time,Meteo,TemperaturaPercepita
2022-01-01,Principalmente chiaro,4
2022-01-02,Parzialmente nuvoloso,3
2022-01-03,Parzialmente nuvoloso,3
2022-01-04,Nevicate leggere,6
2022-01-05,Nevicate leggere,0
2022-01-06,Parzialmente nuvoloso,-5
2022-01-07,Coperto,-5
2022-01-08,Nevicate moderate,-4
2022-01-09,Nevicate moderate,-3
2022-01-10,Parzialmente nuvoloso,-6
2022-01-11,Parzialmente nuvoloso,-6
2022-01-12,Cielo chiaro,-5
2022-01-13,Cielo chiaro,-3
2022-01-14,Cielo chiaro,0
2022-01-15,Cielo chiaro,3
2022-01-16,Cielo chiaro,1
2022-01-17,Cielo chiaro,1
2022-01-18,Cielo chiaro,2
2022-01-19,Nevicate leggere,1
2022-01-20,Nevicate leggere,0
2022-01-21,Principalmente chiaro,-1
2022-01-22,Cielo chiaro,0
2022-01-23,Principalmente chiaro,1
2022-01-24,Cielo chiaro,0
2022-01-25,Cielo chiaro,0
2022-01-26,Cielo chiaro,1
2022-01-27,Principalmente chiaro,0
2022-01-28,Principalmente chiaro,2
2022-01-29,Principalmente chiaro,2
2022-01-30,Cielo chiaro,5
2022-01-31,Nevicate leggere,1
2022-02-01,Nevicate moderate,1
2022-02-02,Nevicate moderate,7
2022-02-03,Coperto,4
2022-02-04,Principalmente chiaro,5
2022-02-05,Principalmente chiaro,2
2022-02-06,Nevicate moderate,1
2022-02-07,Nevicate moderate,2
2022-02-08,Cielo chiaro,3
2022-02-09,Cielo chiaro,5
2022-02-10,Cielo chiaro,5
2022-02-11,Nevicate leggere,3
2022-02-12,Nevicate moderate,-1
2022-02-13,Nevicate leggere,-1
2022-02-14,Nevicate moderate,0
2022-02-15,Nevicate leggere,1
2022-02-16,Nevicate leggere,3
2022-02-17,Nevicate leggere,8
2022-02-18,pioggerella debole,8
2022-02-19,pioggerella debole,4
2022-02-20,Principalmente chiaro,5
2022-02-21,Nevicate moderate,3
2022-02-22,Nevicate leggere,4
2022-02-23,Cielo chiaro,4
2022-02-24,Coperto,5
2022-02-25,Parzialmente nuvoloso,2
2022-02-26,Principalmente chiaro,1
2022-02-27,Nevicate leggere,-3
2022-02-28,Principalmente chiaro,-1
2022-03-01,Nevicate leggere,1
2022-03-02,Parzialmente nuvoloso,1
2022-03-03,Parzialmente nuvoloso,4
2022-03-04,Nevicate moderate,2
2022-03-05,Nevicate moderate,0
2022-03-06,Nevicate moderate,-2
2022-03-07,Principalmente chiaro,-3
2022-03-08,Nevicate leggere,-3
2022-03-09,Cielo chiaro,-1
2022-03-10,Principalmente chiaro,3
2022-03-11,Nevicate moderate,1
2022-03-12,Nevicate moderate,1
2022-03-13,Nevicate moderate,2
2022-03-14,Nevicate moderate,3
2022-03-15,Nevicate moderate,6
2022-03-16,Parzialmente nuvoloso,8
2022-03-17,Coperto,9
2022-03-18,Nevicate leggere,8
2022-03-19,Nevicate moderate,6
2022-03-20,Nevicate leggere,3
2022-03-21,Coperto,4
2022-03-22,Principalmente chiaro,2
2022-03-23,Cielo chiaro,5
2022-03-24,Cielo chiaro,7
2022-03-25,Cielo chiaro,6
2022-03-26,Cielo chiaro,7
2022-03-27,Principalmente chiaro,8
2022-03-28,Principalmente chiaro,8
2022-03-29,pioggerella debole,8
2022-03-30,Nevicate moderate,7
2022-03-31,Pioggia,8
