time,Meteo,TemperaturaPercepita
2022-01-01,Principalmente chiaro,-3
2022-01-02,Parzialmente nuvoloso,-2
2022-01-03,Coperto,-2
2022-01-04,Nevicate leggere,-2
2022-01-05,Nevicate molto intense,-4
2022-01-06,Nevicate moderate,-9
2022-01-07,Parzialmente nuvoloso,-11
2022-01-08,Parzialmente nuvoloso,-10
2022-01-09,Nevicate leggere,-7
2022-01-10,Parzialmente nuvoloso,-7
2022-01-11,Cielo chiaro,-10
2022-01-12,Cielo chiaro,-10
2022-01-13,Principalmente chiaro,-10
2022-01-14,Cielo chiaro,-5
2022-01-15,Cielo chiaro,-2
2022-01-16,Cielo chiaro,-3
2022-01-17,Principalmente chiaro,-6
2022-01-18,Principalmente chiaro,-6
2022-01-19,Parzialmente nuvoloso,-7
2022-01-20,Coperto,-7
2022-01-21,Cielo chiaro,-11
2022-01-22,Principalmente chiaro,-8
2022-01-23,Principalmente chiaro,-6
2022-01-24,Nevicate leggere,-7
2022-01-25,Principalmente chiaro,-3
2022-01-26,Principalmente chiaro,-2
2022-01-27,Principalmente chiaro,-4
2022-01-28,Parzialmente nuvoloso,-6
2022-01-29,Principalmente chiaro,-5
2022-01-30,Principalmente chiaro,-2
2022-01-31,Nevicate leggere,-5
2022-02-01,Nevicate leggere,-5
2022-02-02,Nevicate leggere,-2
2022-02-03,Coperto,-3
2022-02-04,Principalmente chiaro,-3
2022-02-05,Principalmente chiaro,-3
2022-02-06,Nevicate leggere,-5
2022-02-07,Nevicate moderate,-6
2022-02-08,Cielo chiaro,-4
2022-02-09,Principalmente chiaro,-3
2022-02-10,Cielo chiaro,-2
2022-02-11,Parzialmente nuvoloso,-3
2022-02-12,Cielo chiaro,-6
2022-02-13,Principalmente chiaro,-7
2022-02-14,Nevicate leggere,-6
2022-02-15,Nevicate molto intense,-3
2022-02-16,pioggerella debole,-4
2022-02-17,Parzialmente nuvoloso,-2
2022-02-18,pioggerella debole,-3
2022-02-19,pioggerella debole,-1
2022-02-20,pioggerella debole,0
2022-02-21,Nevicate leggere,-3
2022-02-22,Parzialmente nuvoloso,-2
2022-02-23,Parzialmente nuvoloso,0
2022-02-24,Coperto,-1
2022-02-25,Nevicate leggere,-3
2022-02-26,Parzialmente nuvoloso,-8
2022-02-27,Parzialmente nuvoloso,-8
2022-02-28,Nevicate moderate,-5
2022-03-01,Nevicate leggere,-8
2022-03-02,Coperto,-7
2022-03-03,pioggerella debole,-5
2022-03-04,Nevicate molto intense,-5
2022-03-05,Nevicate leggere,-8
2022-03-06,pioggerella debole,-7
2022-03-07,Nevicate moderate,-7
2022-03-08,Nevicate moderate,-7
2022-03-09,Principalmente chiaro,-6
2022-03-10,Parzialmente nuvoloso,-2
2022-03-11,Nevicate leggere,-4
2022-03-12,Coperto,-5
2022-03-13,Cielo chiaro,-6
2022-03-14,Parzialmente nuvoloso,-2
2022-03-15,pioggerella debole,-2
2022-03-16,Coperto,3
2022-03-17,pioggerella debole,2
2022-03-18,pioggerella debole,0
