time,Meteo,TemperaturaPercepita
2022-01-01,pioggerella debole,6.6
2022-01-02,pioggerella debole,6.45
2022-01-03,pioggerella debole,8.6
2022-01-04,pioggerella debole,9.05
2022-01-05,Nevicate leggere,8.25
2022-01-06,Nevicate leggere,2.25
2022-01-07,Principalmente chiaro,1.3
2022-01-08,Parzialmente nuvoloso,0.3500000000000001
2022-01-09,Nevicate leggere,0.1499999999999999
2022-01-10,Nevicate leggere,0.8
2022-01-11,Cielo chiaro,2.3
2022-01-12,Principalmente chiaro,0.95
2022-01-13,Cielo chiaro,1.5
2022-01-14,Cielo chiaro,2.75
2022-01-15,Parzialmente nuvoloso,5.75
2022-01-16,Coperto,5.1000000000000005
2022-01-17,Coperto,4.85
2022-01-18,Cielo chiaro,3.6500000000000004
2022-01-19,pioggerella debole,2.0000000000000004
2022-01-20,pioggerella Moderata,5.800000000000001
2022-01-21,Coperto,0.8499999999999999
2022-01-22,Principalmente chiaro,1.2500000000000002
2022-01-23,Parzialmente nuvoloso,2.4
2022-01-24,Parzialmente nuvoloso,2.0999999999999996
2022-01-25,Parzialmente nuvoloso,2.3
2022-01-26,Coperto,3.8000000000000003
2022-01-27,Coperto,4.8
2022-01-28,Coperto,5.6
2022-01-29,Parzialmente nuvoloso,1.9000000000000004
2022-01-30,Coperto,5.3
2022-01-31,pioggerella debole,4.75
2022-02-01,Cielo chiaro,4.550000000000001
2022-02-02,Cielo chiaro,6.25
2022-02-03,Principalmente chiaro,6.1
2022-02-04,pioggerella debole,8.35
2022-02-05,pioggerella debole,7.75
2022-02-06,Coperto,5.1
2022-02-07,pioggerella debole,7.25
2022-02-08,Cielo chiaro,3.5999999999999996
2022-02-09,Parzialmente nuvoloso,5.45
2022-02-10,Principalmente chiaro,6.9
2022-02-11,Coperto,5.4
2022-02-12,Parzialmente nuvoloso,3.85
2022-02-13,pioggerella debole,3.3499999999999996
2022-02-14,pioggerella Moderata,7.15
2022-02-15,Pioggia moderata,7.2
2022-02-16,pioggerella debole,6.4
2022-02-17,Coperto,6.1
2022-02-18,Coperto,6.3
2022-02-19,pioggerella debole,11.35
2022-02-20,pioggerella debole,11.45
2022-02-21,pioggerella Moderata,6.8999999999999995
2022-02-22,Cielo chiaro,5.949999999999999
2022-02-23,Cielo chiaro,6.75
2022-02-24,Parzialmente nuvoloso,6.15
2022-02-25,Pioggia,8.5
2022-02-26,pioggerella debole,3.3
2022-02-27,Coperto,2.55
2022-02-28,Coperto,4.85
2022-03-01,Parzialmente nuvoloso,2.6500000000000004
2022-03-02,Parzialmente nuvoloso,2.05
2022-03-03,pioggerella debole,5.7
2022-03-04,Pioggia,4.6000000000000005
2022-03-05,Principalmente chiaro,0.9500000000000002
2022-03-06,Coperto,0.6499999999999999
2022-03-07,Parzialmente nuvoloso,1.2000000000000002
2022-03-08,Cielo chiaro,0.10000000000000009
2022-03-09,Principalmente chiaro,2.9000000000000004
2022-03-10,Cielo chiaro,5.5
2022-03-11,Parzialmente nuvoloso,4.55
2022-03-12,Principalmente chiaro,3.3000000000000003
2022-03-13,Coperto,4.7
2022-03-14,Coperto,9.450000000000001
2022-03-15,Coperto,7.75
2022-03-16,pioggerella debole,10.1
2022-03-17,Coperto,9.45
2022-03-18,Parzialmente nuvoloso,8.0
2022-03-19,Principalmente chiaro,7.4
2022-03-20,Parzialmente nuvoloso,6.800000000000001
2022-03-21,Cielo chiaro,5.05
2022-03-22,Cielo chiaro,4.4
2022-03-23,Cielo chiaro,6.4
2022-03-24,Cielo chiaro,8.45
