time,Meteo,TemperaturaPercepita
2022-01-01,Principalmente chiaro,8.0
2022-01-02,pioggerella debole,9.0
2022-01-03,pioggerella debole,9.55
2022-01-04,pioggerella debole,9.95
2022-01-05,Pioggia,10.0
2022-01-06,pioggerella Moderata,8.9
2022-01-07,Coperto,6.800000000000001
2022-01-08,Coperto,5.0
2022-01-09,Pioggia moderata,4.45
2022-01-10,Nevicate leggere,2.25
2022-01-11,pioggerella debole,1.7999999999999998
2022-01-12,Parzialmente nuvoloso,1.3499999999999999
2022-01-13,Principalmente chiaro,1.2
2022-01-14,Cielo chiaro,4.9
2022-01-15,Cielo chiaro,8.0
2022-01-16,Parzialmente nuvoloso,8.1
2022-01-17,Coperto,7.85
2022-01-18,Cielo chiaro,6.95
2022-01-19,Principalmente chiaro,5.05
2022-01-20,pioggerella Moderata,5.2
2022-01-21,pioggerella debole,4.65
2022-01-22,Parzialmente nuvoloso,1.6
2022-01-23,pioggerella debole,3.0
2022-01-24,pioggerella debole,0.7999999999999998
2022-01-25,Cielo chiaro,-0.34999999999999987
2022-01-26,Cielo chiaro,3.5
2022-01-27,Principalmente chiaro,5.0
2022-01-28,pioggerella Moderata,5.6000000000000005
2022-01-29,Principalmente chiaro,1.8
2022-01-30,Principalmente chiaro,4.55
2022-01-31,pioggerella Moderata,6.449999999999999
2022-02-01,pioggerella Moderata,3.9
2022-02-02,Cielo chiaro,5.45
2022-02-03,Principalmente chiaro,5.35
2022-02-04,Coperto,7.15
2022-02-05,pioggerella debole,8.7
2022-02-06,pioggerella debole,9.05
2022-02-07,pioggerella Moderata,6.3
2022-02-08,Principalmente chiaro,3.25
2022-02-09,Cielo chiaro,6.3500000000000005
2022-02-10,Cielo chiaro,8.149999999999999
2022-02-11,Coperto,6.699999999999999
2022-02-12,Parzialmente nuvoloso,7.85
2022-02-13,pioggerella debole,8.25
2022-02-14,pioggerella Moderata,7.75
2022-02-15,Pioggia moderata,7.65
2022-02-16,pioggerella Moderata,6.85
2022-02-17,Principalmente chiaro,6.05
2022-02-18,Coperto,9.65
2022-02-19,pioggerella debole,10.850000000000001
2022-02-20,Coperto,11.0
2022-02-21,Pioggia,8.0
2022-02-22,pioggerella Moderata,5.45
2022-02-23,Cielo chiaro,6.2
2022-02-24,Principalmente chiaro,7.75
2022-02-25,Parzialmente nuvoloso,7.800000000000001
2022-02-26,Nevicate moderate,3.7
2022-02-27,Nevicate moderate,1.9
2022-02-28,pioggerella debole,3.2
2022-03-01,Principalmente chiaro,0.19999999999999996
2022-03-02,Parzialmente nuvoloso,1.7
2022-03-03,Coperto,3.95
2022-03-04,pioggerella debole,5.8500000000000005
2022-03-05,Pioggia,2.6999999999999997
2022-03-06,pioggerella debole,4.1000000000000005
2022-03-07,Nevicate moderate,3.5500000000000003
2022-03-08,Principalmente chiaro,-0.55
2022-03-09,pioggerella debole,0.75
2022-03-10,Principalmente chiaro,5.0
2022-03-11,Parzialmente nuvoloso,2.9499999999999997
2022-03-12,Principalmente chiaro,2.3499999999999996
2022-03-13,Principalmente chiaro,3.6500000000000004
2022-03-14,Principalmente chiaro,6.1
2022-03-15,Principalmente chiaro,7.65
2022-03-16,Principalmente chiaro,9.25
2022-03-17,Coperto,10.55
2022-03-18,pioggerella debole,8.5
2022-03-19,pioggerella debole,7.3500000000000005
2022-03-20,pioggerella debole,4.55
2022-03-21,pioggerella debole,3.6
2022-03-22,Coperto,4.8
2022-03-23,Cielo chiaro,8.05
2022-03-24,Cielo chiaro,8.9
2022-03-25,Cielo chiaro,10.7
2022-03-26,Parzialmente nuvoloso,11.75
2022-03-27,pioggerella debole,10.9
2022-03-28,pioggerella Moderata,9.75
2022-03-29,Coperto,10.0
2022-03-30,pioggerella Moderata,9.45
2022-03-31,Pioggia moderata,10.149999999999999
2022-04-01,Pioggia moderata,7.85
2022-04-02,Pioggia moderata,3.0500000000000003
2022-04-03,pioggerella Moderata,5.85
2022-04-04,pioggerella debole,7.85
2022-04-05,pioggerella debole,9.6
2022-04-06,Pioggia moderata,10.600000000000001
2022-04-07,pioggerella Moderata,9.6
2022-04-08,pioggerella debole,11.75
2022-04-09,pioggerella debole,10.3
2022-04-10,Pioggia,6.35
2022-04-11,Cielo chiaro,7.8
2022-04-12,Principalmente chiaro,10.399999999999999
2022-04-13,Principalmente chiaro,13.100000000000001
2022-04-14,Parzialmente nuvoloso,12.75
2022-04-15,Parzialmente nuvoloso,14.65
2022-04-16,Parzialmente nuvoloso,14.65
2022-04-17,pioggerella debole,7.5
2022-04-18,Parzialmente nuvoloso,8.399999999999999
2022-04-19,Parzialmente nuvoloso,8.55
2022-04-20,Coperto,12.55
2022-04-21,pioggerella Moderata,13.5
2022-04-22,Pioggia moderata,10.5
2022-04-23,Coperto,13.05
2022-04-24,pioggerella debole,13.25
2022-04-25,pioggerella debole,12.75
2022-04-26,Coperto,13.55
2022-04-27,Principalmente chiaro,14.950000000000001
2022-04-28,Principalmente chiaro,13.299999999999999
2022-04-29,Principalmente chiaro,13.45
2022-04-30,Cielo chiaro,14.0
2022-05-01,Principalmente chiaro,13.75
2022-05-02,Pioggia,13.850000000000001
2022-05-03,pioggerella debole,12.75
2022-05-04,Coperto,14.350000000000001
2022-05-05,Coperto,16.5
2022-05-06,Pioggia,15.35
