time,Meteo,TemperaturaPercepita
2022-01-01,Parzialmente nuvoloso,4.8999999999999995
2022-01-02,Coperto,3.25
2022-01-03,Coperto,3.0500000000000003
2022-01-04,pioggerella debole,5.45
2022-01-05,Nevicate leggere,5.25
2022-01-06,Nevicate leggere,2.05
2022-01-07,Principalmente chiaro,-0.5
2022-01-08,Coperto,-1.0499999999999998
2022-01-09,Nevicate leggere,-0.6000000000000001
2022-01-10,Parzialmente nuvoloso,0.25
2022-01-11,Cielo chiaro,0.75
2022-01-12,Principalmente chiaro,-1.0
2022-01-13,Cielo chiaro,-0.5499999999999998
2022-01-14,Cielo chiaro,1.15
2022-01-15,Parzialmente nuvoloso,3.55
2022-01-16,Parzialmente nuvoloso,2.1999999999999997
2022-01-17,Principalmente chiaro,4.65
2022-01-18,Cielo chiaro,3.3500000000000005
2022-01-19,Coperto,1.7
2022-01-20,pioggerella debole,2.05
2022-01-21,Principalmente chiaro,-0.09999999999999964
2022-01-22,Principalmente chiaro,0.25
2022-01-23,Principalmente chiaro,0.0
2022-01-24,Principalmente chiaro,-0.9999999999999998
2022-01-25,Coperto,0.3500000000000001
2022-01-26,Parzialmente nuvoloso,0.8
2022-01-27,Coperto,1.6500000000000001
2022-01-28,Coperto,3.85
2022-01-29,Principalmente chiaro,1.7999999999999998
2022-01-30,Parzialmente nuvoloso,5.95
2022-01-31,Coperto,3.3999999999999995
2022-02-01,Principalmente chiaro,5.5
2022-02-02,Principalmente chiaro,8.7
2022-02-03,Parzialmente nuvoloso,5.4
2022-02-04,Coperto,5.6499999999999995
2022-02-05,Principalmente chiaro,4.7
2022-02-06,Coperto,2.2
2022-02-07,Parzialmente nuvoloso,4.15
2022-02-08,Cielo chiaro,3.4
2022-02-09,Principalmente chiaro,4.25
2022-02-10,Parzialmente nuvoloso,4.6
2022-02-11,Parzialmente nuvoloso,5.8999999999999995
2022-02-12,Parzialmente nuvoloso,2.9
2022-02-13,Parzialmente nuvoloso,0.8500000000000001
2022-02-14,pioggerella Moderata,1.25
2022-02-15,Nevicate moderate,0.30000000000000004
2022-02-16,Parzialmente nuvoloso,2.35
2022-02-17,Principalmente chiaro,5.05
2022-02-18,pioggerella debole,5.5
2022-02-19,pioggerella debole,7.75
2022-02-20,pioggerella debole,7.35
2022-02-21,pioggerella debole,6.5
2022-02-22,Cielo chiaro,7.4
2022-02-23,Cielo chiaro,6.75
2022-02-24,Parzialmente nuvoloso,6.7
2022-02-25,Principalmente chiaro,5.85
2022-02-26,pioggerella debole,4.0
2022-02-27,pioggerella debole,2.2
2022-02-28,pioggerella debole,2.0500000000000003
2022-03-01,Coperto,1.8499999999999999
2022-03-02,Parzialmente nuvoloso,1.65
2022-03-03,Principalmente chiaro,4.7
2022-03-04,pioggerella debole,4.3999999999999995
2022-03-05,Principalmente chiaro,2.55
2022-03-06,Coperto,1.3499999999999999
2022-03-07,Principalmente chiaro,1.5
2022-03-08,Coperto,1.05
2022-03-09,Cielo chiaro,1.65
2022-03-10,Cielo chiaro,4.0
2022-03-11,Coperto,4.15
2022-03-12,Coperto,2.65
2022-03-13,pioggerella debole,2.4
2022-03-14,Coperto,7.25
