time,Meteo,TemperaturaPercepita
2022-01-01,Coperto,13.0
2022-01-02,Coperto,12.45
2022-01-03,Coperto,12.35
2022-01-04,Coperto,11.7
2022-01-05,Parzialmente nuvoloso,12.1
2022-01-06,pioggerella debole,10.8
2022-01-07,pioggerella debole,9.9
2022-01-08,pioggerella Moderata,8.55
2022-01-09,pioggerella Moderata,8.75
2022-01-10,Pioggia,6.45
2022-01-11,pioggerella debole,7.550000000000001
2022-01-12,pioggerella Moderata,7.4
2022-01-13,pioggerella Moderata,8.1
2022-01-14,Principalmente chiaro,6.4
2022-01-15,Principalmente chiaro,8.9
2022-01-16,Parzialmente nuvoloso,11.0
2022-01-17,Parzialmente nuvoloso,10.65
2022-01-18,Parzialmente nuvoloso,9.9
2022-01-19,Coperto,9.8
2022-01-20,pioggerella debole,9.15
2022-01-21,pioggerella debole,8.95
2022-01-22,Parzialmente nuvoloso,6.45
2022-01-23,Principalmente chiaro,6.300000000000001
2022-01-24,pioggerella debole,6.15
2022-01-25,Principalmente chiaro,2.8499999999999996
2022-01-26,Parzialmente nuvoloso,5.4
2022-01-27,pioggerella debole,6.95
2022-01-28,Coperto,7.25
2022-01-29,Coperto,6.45
2022-01-30,Coperto,8.5
2022-01-31,Coperto,10.05
2022-02-01,Pioggia moderata,8.35
2022-02-02,Cielo chiaro,10.75
2022-02-03,Principalmente chiaro,7.6
2022-02-04,Principalmente chiaro,8.05
2022-02-05,Coperto,12.350000000000001
2022-02-06,Coperto,11.05
2022-02-07,pioggerella debole,11.45
2022-02-08,Principalmente chiaro,7.95
2022-02-09,Cielo chiaro,8.05
2022-02-10,Cielo chiaro,8.95
2022-02-11,Coperto,10.05
2022-02-12,Coperto,9.049999999999999
2022-02-13,pioggerella debole,9.35
2022-02-14,Parzialmente nuvoloso,9.95
2022-02-15,Pioggia moderata,10.5
2022-02-16,Pioggia,8.05
2022-02-17,Coperto,10.75
2022-02-18,Principalmente chiaro,12.35
2022-02-19,Coperto,11.6
2022-02-20,Coperto,14.65
2022-02-21,pioggerella debole,11.25
2022-02-22,pioggerella Moderata,9.0
2022-02-23,Cielo chiaro,9.95
