time,Meteo,TemperaturaPercepita
2022-01-01,Parzialmente nuvoloso,3
2022-01-02,Coperto,3
2022-01-03,Coperto,4
2022-01-04,pioggerella debole,4
2022-01-05,Pioggia moderata,5
2022-01-06,pioggerella Moderata,3
2022-01-07,Principalmente chiaro,1
2022-01-08,Coperto,-1
2022-01-09,Nevicate leggere,-1
2022-01-10,Coperto,0
2022-01-11,Cielo chiaro,1
2022-01-12,Cielo chiaro,0
2022-01-13,Cielo chiaro,0
2022-01-14,Cielo chiaro,1
2022-01-15,Cielo chiaro,2
2022-01-16,Parzialmente nuvoloso,2
2022-01-17,Principalmente chiaro,3
2022-01-18,Cielo chiaro,3
2022-01-19,Coperto,2
2022-01-20,pioggerella Moderata,2
2022-01-21,Parzialmente nuvoloso,1
2022-01-22,Coperto,0
2022-01-23,Parzialmente nuvoloso,0
2022-01-24,Coperto,-1
2022-01-25,Coperto,0
2022-01-26,Coperto,1
2022-01-27,Coperto,1
2022-01-28,Parzialmente nuvoloso,4
2022-01-29,Principalmente chiaro,2
2022-01-30,Principalmente chiaro,6
2022-01-31,Coperto,3
2022-02-01,Cielo chiaro,5
2022-02-02,Cielo chiaro,8
2022-02-03,Parzialmente nuvoloso,5
2022-02-04,Coperto,6
2022-02-05,Parzialmente nuvoloso,5
2022-02-06,Coperto,4
2022-02-07,Parzialmente nuvoloso,4
2022-02-08,Cielo chiaro,3
2022-02-09,Principalmente chiaro,5
2022-02-10,Coperto,7
2022-02-11,pioggerella Moderata,8
2022-02-12,pioggerella debole,4
2022-02-13,Principalmente chiaro,2
2022-02-14,pioggerella Moderata,1
2022-02-15,Nevicate molto intense,0
2022-02-16,Parzialmente nuvoloso,3
2022-02-17,Principalmente chiaro,6
2022-02-18,Coperto,5
2022-02-19,pioggerella debole,8
2022-02-20,pioggerella debole,9
2022-02-21,pioggerella debole,8
2022-02-22,Cielo chiaro,8
2022-02-23,Cielo chiaro,6
2022-02-24,Parzialmente nuvoloso,6
2022-02-25,Pioggia moderata,7
2022-02-26,pioggerella debole,4
2022-02-27,Principalmente chiaro,3
2022-02-28,Parzialmente nuvoloso,3
2022-03-01,Parzialmente nuvoloso,2
2022-03-02,Parzialmente nuvoloso,2
2022-03-03,Parzialmente nuvoloso,6
2022-03-04,pioggerella Moderata,4
2022-03-05,Parzialmente nuvoloso,2
2022-03-06,Parzialmente nuvoloso,2
2022-03-07,Principalmente chiaro,1
2022-03-08,Parzialmente nuvoloso,1
2022-03-09,Cielo chiaro,2
2022-03-10,Cielo chiaro,4
