time,Meteo,TemperaturaPercepita
2022-01-01,Coperto,9
2022-01-02,Coperto,8
2022-01-03,Coperto,10
2022-01-04,pioggerella debole,11
2022-01-05,Pioggia,10
2022-01-06,pioggerella debole,6
2022-01-07,Principalmente chiaro,6
2022-01-08,Principalmente chiaro,2
2022-01-09,pioggerella Moderata,2
2022-01-10,pioggerella debole,2
2022-01-11,Parzialmente nuvoloso,5
2022-01-12,Nevicate leggere,4
2022-01-13,Cielo chiaro,4
2022-01-14,Cielo chiaro,3
2022-01-15,Cielo chiaro,6
2022-01-16,Principalmente chiaro,6
2022-01-17,Parzialmente nuvoloso,5
2022-01-18,Cielo chiaro,5
2022-01-19,pioggerella debole,5
2022-01-20,pioggerella Moderata,8
2022-01-21,pioggerella debole,6
2022-01-22,Cielo chiaro,3
2022-01-23,Cielo chiaro,3
2022-01-24,Principalmente chiaro,3
2022-01-25,Cielo chiaro,2
2022-01-26,Parzialmente nuvoloso,3
2022-01-27,Principalmente chiaro,5
2022-01-28,Coperto,6
2022-01-29,Cielo chiaro,5
2022-01-30,Cielo chiaro,5
2022-01-31,pioggerella Moderata,5
2022-02-01,Cielo chiaro,4
2022-02-02,Cielo chiaro,5
2022-02-03,Principalmente chiaro,6
2022-02-04,Coperto,8
2022-02-05,pioggerella debole,10
2022-02-06,pioggerella debole,8
2022-02-07,pioggerella debole,8
2022-02-08,Cielo chiaro,4
2022-02-09,Cielo chiaro,6
2022-02-10,Cielo chiaro,7
2022-02-11,Cielo chiaro,7
2022-02-12,Principalmente chiaro,8
2022-02-13,pioggerella debole,8
2022-02-14,pioggerella debole,9
2022-02-15,pioggerella Moderata,8
2022-02-16,Parzialmente nuvoloso,7
2022-02-17,Coperto,7
2022-02-18,Coperto,10
2022-02-19,Coperto,10
2022-02-20,pioggerella debole,13
2022-02-21,pioggerella Moderata,9
2022-02-22,Principalmente chiaro,7
2022-02-23,Cielo chiaro,8
2022-02-24,Parzialmente nuvoloso,8
2022-02-25,Pioggia,7
2022-02-26,Pioggia,5
2022-02-27,Parzialmente nuvoloso,4
2022-02-28,Cielo chiaro,6
2022-03-01,Parzialmente nuvoloso,2
2022-03-02,Principalmente chiaro,3
2022-03-03,Coperto,5
2022-03-04,pioggerella debole,6
2022-03-05,Principalmente chiaro,3
2022-03-06,pioggerella debole,3
2022-03-07,pioggerella debole,3
2022-03-08,Principalmente chiaro,2
2022-03-09,Cielo chiaro,3
2022-03-10,Cielo chiaro,6
2022-03-11,Coperto,6
2022-03-12,pioggerella debole,8
2022-03-13,Principalmente chiaro,6
2022-03-14,Principalmente chiaro,9
2022-03-15,Parzialmente nuvoloso,8
2022-03-16,Principalmente chiaro,10
2022-03-17,Coperto,13
2022-03-18,Coperto,12
2022-03-19,pioggerella debole,11
2022-03-20,pioggerella Moderata,8
2022-03-21,pioggerella debole,7
2022-03-22,Cielo chiaro,6
2022-03-23,Cielo chiaro,9
2022-03-24,Cielo chiaro,10
2022-03-25,Cielo chiaro,10
2022-03-26,Coperto,11
2022-03-27,Coperto,15
2022-03-28,Parzialmente nuvoloso,14
2022-03-29,Parzialmente nuvoloso,12
2022-03-30,Pioggia moderata,11
2022-03-31,Pioggia,13
2022-04-01,pioggerella debole,8
2022-04-02,Pioggia,4
2022-04-03,pioggerella debole,7
2022-04-04,pioggerella debole,8
2022-04-05,Cielo chiaro,9
2022-04-06,pioggerella Moderata,8
2022-04-07,pioggerella debole,11
2022-04-08,Coperto,14
2022-04-09,Coperto,12
2022-04-10,pioggerella debole,7
2022-04-11,Parzialmente nuvoloso,8
2022-04-12,Principalmente chiaro,10
2022-04-13,Principalmente chiaro,14
2022-04-14,Principalmente chiaro,16
2022-04-15,Principalmente chiaro,17
2022-04-16,Principalmente chiaro,18
2022-04-17,Parzialmente nuvoloso,11
2022-04-18,Principalmente chiaro,11
2022-04-19,Parzialmente nuvoloso,10
2022-04-20,pioggerella debole,14
2022-04-21,Pioggia moderata,16
2022-04-22,Pioggia,13
2022-04-23,Coperto,15
2022-04-24,pioggerella Moderata,15
2022-04-25,pioggerella Moderata,16
2022-04-26,Cielo chiaro,15
2022-04-27,Cielo chiaro,16
2022-04-28,Cielo chiaro,17
2022-04-29,Cielo chiaro,17
2022-04-30,Principalmente chiaro,16
2022-05-01,Parzialmente nuvoloso,14
2022-05-02,Parzialmente nuvoloso,16
2022-05-03,pioggerella debole,16
2022-05-04,pioggerella debole,17
2022-05-05,pioggerella debole,16
2022-05-06,Pioggia,18
2022-05-07,pioggerella Moderata,18
2022-05-08,Pioggia,19
2022-05-09,Pioggia moderata,19
2022-05-10,Principalmente chiaro,20
2022-05-11,Principalmente chiaro,20
2022-05-12,Principalmente chiaro,22
2022-05-13,Cielo chiaro,21
2022-05-14,Principalmente chiaro,21
2022-05-15,Principalmente chiaro,22
2022-05-16,Principalmente chiaro,23
2022-05-17,Principalmente chiaro,23
2022-05-18,Principalmente chiaro,25
2022-05-19,Cielo chiaro,23
2022-05-20,Cielo chiaro,22
2022-05-21,Principalmente chiaro,22
2022-05-22,Principalmente chiaro,24
2022-05-23,Parzialmente nuvoloso,24
2022-05-24,Principalmente chiaro,23
2022-05-25,Principalmente chiaro,24
2022-05-26,Parzialmente nuvoloso,26
2022-05-27,Pioggia,29
2022-05-28,Pioggia,28
2022-05-29,Parzialmente nuvoloso,25
2022-05-30,Parzialmente nuvoloso,24
2022-05-31,Coperto,26
2022-06-01,Coperto,27
2022-06-02,Principalmente chiaro,28
2022-06-03,Parzialmente nuvoloso,28
2022-06-04,Coperto,28
2022-06-05,Coperto,29
2022-06-06,Principalmente chiaro,28
2022-06-07,Principalmente chiaro,27
2022-06-08,Coperto,27
2022-06-09,Pioggia moderata,23
2022-06-10,Principalmente chiaro,23
2022-06-11,Principalmente chiaro,27
2022-06-12,Cielo chiaro,27
2022-06-13,Cielo chiaro,26
2022-06-14,Principalmente chiaro,27
2022-06-15,Principalmente chiaro,28
2022-06-16,Principalmente chiaro,29
2022-06-17,pioggerella Moderata,29
2022-06-18,Principalmente chiaro,28
2022-06-19,Principalmente chiaro,27
2022-06-20,Cielo chiaro,26
2022-06-21,Principalmente chiaro,27
2022-06-22,Parzialmente nuvoloso,29
2022-06-23,Parzialmente nuvoloso,29
2022-06-24,Parzialmente nuvoloso,31
2022-06-25,pioggerella debole,30
2022-06-26,pioggerella debole,30
2022-06-27,Principalmente chiaro,32
2022-06-28,Parzialmente nuvoloso,30
2022-06-29,Principalmente chiaro,31
2022-06-30,Cielo chiaro,30
2022-07-01,Parzialmente nuvoloso,29
2022-07-02,Principalmente chiaro,30
2022-07-03,Principalmente chiaro,32
2022-07-04,Cielo chiaro,32
2022-07-05,Cielo chiaro,32
2022-07-06,pioggerella debole,32
2022-07-07,pioggerella Moderata,31
2022-07-08,Cielo chiaro,24
2022-07-09,Cielo chiaro,26
