time,Meteo,TemperaturaPercepita
2022-01-01,Parzialmente nuvoloso,8.85
2022-01-02,pioggerella debole,9.55
2022-01-03,pioggerella debole,10.1
2022-01-04,pioggerella debole,10.8
2022-01-05,pioggerella Moderata,10.25
2022-01-06,pioggerella Moderata,9.399999999999999
2022-01-07,pioggerella debole,7.449999999999999
2022-01-08,pioggerella debole,5.6
2022-01-09,Pioggia,5.6
2022-01-10,Nevicate leggere,2.7
2022-01-11,pioggerella debole,2.55
2022-01-12,Parzialmente nuvoloso,1.8
2022-01-13,Cielo chiaro,1.9
2022-01-14,Cielo chiaro,4.95
2022-01-15,Cielo chiaro,8.25
2022-01-16,Parzialmente nuvoloso,9.3
2022-01-17,Coperto,8.5
2022-01-18,Cielo chiaro,7.6
2022-01-19,Principalmente chiaro,5.85
2022-01-20,pioggerella debole,6.35
2022-01-21,pioggerella debole,5.05
2022-01-22,Principalmente chiaro,2.0500000000000003
2022-01-23,Principalmente chiaro,3.55
2022-01-24,pioggerella debole,1.5
2022-01-25,Principalmente chiaro,0.5000000000000002
2022-01-26,Principalmente chiaro,4.35
2022-01-27,Principalmente chiaro,6.0
2022-01-28,pioggerella Moderata,5.9
2022-01-29,Principalmente chiaro,2.45
2022-01-30,Parzialmente nuvoloso,5.800000000000001
2022-01-31,pioggerella Moderata,8.25
2022-02-01,pioggerella Moderata,4.3
2022-02-02,Cielo chiaro,6.1
2022-02-03,Principalmente chiaro,6.35
2022-02-04,Parzialmente nuvoloso,7.75
2022-02-05,pioggerella debole,9.75
2022-02-06,pioggerella debole,9.45
2022-02-07,pioggerella Moderata,6.5
2022-02-08,Principalmente chiaro,3.95
2022-02-09,Cielo chiaro,6.85
2022-02-10,Cielo chiaro,9.3
2022-02-11,Principalmente chiaro,7.7
2022-02-12,Principalmente chiaro,8.45
2022-02-13,pioggerella debole,8.45
2022-02-14,pioggerella Moderata,8.45
2022-02-15,Pioggia moderata,8.65
2022-02-16,pioggerella Moderata,7.45
2022-02-17,Parzialmente nuvoloso,7.050000000000001
2022-02-18,Coperto,10.55
2022-02-19,Coperto,11.2
2022-02-20,Coperto,11.25
2022-02-21,pioggerella Moderata,8.05
2022-02-22,pioggerella Moderata,5.85
2022-02-23,Cielo chiaro,6.95
2022-02-24,Principalmente chiaro,8.6
2022-02-25,Parzialmente nuvoloso,8.95
2022-02-26,Nevicate moderate,4.0
2022-02-27,Nevicate moderate,2.8
2022-02-28,pioggerella debole,4.1000000000000005
2022-03-01,pioggerella debole,0.8999999999999999
2022-03-02,Parzialmente nuvoloso,2.15
2022-03-03,Coperto,5.300000000000001
2022-03-04,pioggerella Moderata,6.75
2022-03-05,Pioggia,3.4000000000000004
2022-03-06,pioggerella debole,4.5
2022-03-07,Nevicate leggere,4.0
2022-03-08,Principalmente chiaro,0.30000000000000004
2022-03-09,pioggerella debole,1.9
2022-03-10,Cielo chiaro,5.55
2022-03-11,Parzialmente nuvoloso,3.85
2022-03-12,Parzialmente nuvoloso,3.0
2022-03-13,Principalmente chiaro,4.15
2022-03-14,Principalmente chiaro,6.9
2022-03-15,Principalmente chiaro,8.45
2022-03-16,Principalmente chiaro,9.600000000000001
2022-03-17,Parzialmente nuvoloso,11.2
2022-03-18,pioggerella debole,8.7
2022-03-19,pioggerella Moderata,7.85
2022-03-20,pioggerella debole,5.3
2022-03-21,pioggerella debole,4.55
2022-03-22,Parzialmente nuvoloso,5.949999999999999
2022-03-23,Cielo chiaro,8.45
2022-03-24,Cielo chiaro,9.85
2022-03-25,Cielo chiaro,11.3
2022-03-26,pioggerella debole,12.15
2022-03-27,pioggerella debole,11.15
2022-03-28,pioggerella Moderata,9.95
2022-03-29,Principalmente chiaro,10.65
2022-03-30,pioggerella Moderata,9.25
2022-03-31,Pioggia moderata,10.8
