time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,1,7.5,0.5
2022-01-02,2,8.2,-1.3
2022-01-03,2,6.5,-0.5
2022-01-04,71,8.7,3.8
2022-01-05,71,5.7,-6.3
2022-01-06,2,0.9,-10.3
2022-01-07,3,-0.3,-10.6
2022-01-08,73,0.1,-8.3
2022-01-09,73,-0.4,-6.3
2022-01-10,2,-2.2,-10.4
2022-01-11,2,2.3,-13.6
2022-01-12,0,1.3,-10.9
2022-01-13,0,3.9,-9.5
2022-01-14,0,4.6,-4.2
2022-01-15,0,8.7,-3.2
2022-01-16,0,5.9,-3.3
2022-01-17,0,5.3,-4.2
2022-01-18,0,6.5,-2.7
2022-01-19,71,5.4,-3.6
2022-01-20,71,3.6,-3.2
2022-01-21,1,2.9,-5.6
2022-01-22,0,4.8,-5.8
2022-01-23,1,6.3,-4.7
2022-01-24,0,6.4,-5.6
2022-01-25,0,5.2,-5.1
2022-01-26,0,6.0,-4.5
2022-01-27,1,5.9,-5.1
2022-01-28,1,7.7,-3.3
2022-01-29,1,7.6,-3.4
2022-01-30,0,11.2,-1.2
2022-01-31,71,4.0,-1.6
2022-02-01,73,4.8,-2.8
2022-02-02,73,10.3,2.8
2022-02-03,3,10.6,-1.6
2022-02-04,1,9.8,-0.2
2022-02-05,1,8.5,-4.5
2022-02-06,73,6.6,-4.8
2022-02-07,73,6.1,-2.6
2022-02-08,0,9.3,-3.4
2022-02-09,0,13.5,-2.6
2022-02-10,0,11.1,-0.7
2022-02-11,71,8.1,-2.4
2022-02-12,73,2.5,-3.9
2022-02-13,71,3.6,-5.9
2022-02-14,73,2.5,-2.3
2022-02-15,71,4.0,-2.3
2022-02-16,71,8.0,-2.2
2022-02-17,71,12.0,3.9
2022-02-18,51,12.3,3.2
2022-02-19,51,9.0,-0.8
2022-02-20,1,10.3,-1.1
2022-02-21,73,5.7,0.9
2022-02-22,71,8.4,-0.1
2022-02-23,0,11.1,-2.8
2022-02-24,3,9.5,-0.2
