time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,1,10.4,5.6
2022-01-02,51,10.6,7.4
2022-01-03,51,11.5,7.6
2022-01-04,51,10.7,9.2
2022-01-05,61,11.5,8.5
2022-01-06,53,10.1,7.7
2022-01-07,3,8.4,5.2
2022-01-08,3,7.1,2.9
2022-01-09,63,7.0,1.9
2022-01-10,71,3.5,1.0
2022-01-11,51,2.4,1.2
2022-01-12,2,3.3,-0.6
2022-01-13,1,3.3,-0.9
2022-01-14,0,8.8,1.0
2022-01-15,0,12.6,3.4
2022-01-16,2,11.5,4.7
2022-01-17,3,10.6,5.1
2022-01-18,0,10.8,3.1
2022-01-19,1,8.6,1.5
2022-01-20,53,7.8,2.6
2022-01-21,51,8.3,1.0
2022-01-22,2,4.7,-1.5
2022-01-23,51,6.6,-0.6
2022-01-24,51,3.8,-2.2
2022-01-25,0,3.4,-4.1
2022-01-26,0,7.1,-0.1
2022-01-27,1,8.7,1.3
2022-01-28,53,8.3,2.9
2022-01-29,1,3.2,0.4
2022-01-30,1,8.6,0.5
2022-01-31,53,8.1,4.8
2022-02-01,53,6.3,1.5
2022-02-02,0,9.6,1.3
2022-02-03,1,8.5,2.2
2022-02-04,3,9.4,4.9
2022-02-05,51,11.1,6.3
2022-02-06,51,11.2,6.9
2022-02-07,53,9.7,2.9
2022-02-08,1,4.8,1.7
2022-02-09,0,11.4,1.3
2022-02-10,0,11.2,5.1
2022-02-11,3,10.6,2.8
2022-02-12,2,11.0,4.7
2022-02-13,51,11.5,5.0
2022-02-14,53,9.9,5.6
2022-02-15,63,8.6,6.7
2022-02-16,53,9.0,4.7
2022-02-17,1,9.5,2.6
2022-02-18,3,11.8,7.5
2022-02-19,51,12.4,9.3
2022-02-20,3,13.2,8.8
2022-02-21,61,10.0,6.0
2022-02-22,53,6.9,4.0
2022-02-23,0,9.5,2.9
2022-02-24,1,12.8,2.7
2022-02-25,2,10.3,5.3
2022-02-26,73,7.2,0.2
2022-02-27,73,4.3,-0.5
2022-02-28,51,5.9,0.5
2022-03-01,1,2.0,-1.6
2022-03-02,2,5.0,-1.6
2022-03-03,3,7.2,0.7
2022-03-04,51,8.8,2.9
2022-03-05,61,4.8,0.6
2022-03-06,51,7.4,0.8
2022-03-07,73,6.4,0.7
2022-03-08,1,0.9,-2.0
2022-03-09,51,3.6,-2.1
2022-03-10,1,8.9,1.1
2022-03-11,2,6.8,-0.9
2022-03-12,1,6.6,-1.9
2022-03-13,1,9.3,-2.0
2022-03-14,1,12.0,0.2
2022-03-15,1,12.0,3.3
2022-03-16,1,12.7,5.8
2022-03-17,3,14.4,6.7
2022-03-18,51,10.9,6.1
2022-03-19,51,9.8,4.9
2022-03-20,51,8.5,0.6
2022-03-21,51,7.7,-0.5
2022-03-22,3,9.4,0.2
2022-03-23,0,14.5,1.6
2022-03-24,0,14.3,3.5
2022-03-25,0,14.6,6.8
2022-03-26,2,17.2,6.3
2022-03-27,51,14.8,7.0
2022-03-28,53,12.7,6.8
2022-03-29,3,13.8,6.2
2022-03-30,53,11.2,7.7
2022-03-31,63,11.1,9.2
2022-04-01,63,10.0,5.7
2022-04-02,63,4.4,1.7
2022-04-03,53,9.1,2.6
2022-04-04,51,10.4,5.3
2022-04-05,51,14.9,4.3
2022-04-06,63,14.3,6.9
2022-04-07,53,11.4,7.8
2022-04-08,51,13.3,10.2
2022-04-09,51,12.1,8.5
2022-04-10,61,9.9,2.8
2022-04-11,0,13.9,1.7
2022-04-12,1,15.2,5.6
2022-04-13,1,18.8,7.4
2022-04-14,2,18.5,7.0
2022-04-15,2,20.3,9.0
2022-04-16,2,20.0,9.3
2022-04-17,51,10.6,4.4
2022-04-18,2,12.2,4.6
2022-04-19,2,12.3,4.8
2022-04-20,3,17.5,7.6
2022-04-21,53,17.8,9.2
2022-04-22,63,12.7,8.3
2022-04-23,3,15.2,10.9
2022-04-24,51,15.9,10.6
2022-04-25,51,14.1,11.4
