time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,2,10.1,-0.3
2022-01-02,3,7.9,-1.4
2022-01-03,3,6.2,-0.1
2022-01-04,51,7.4,3.5
2022-01-05,71,7.8,2.7
2022-01-06,71,6.6,-2.5
2022-01-07,1,3.7,-4.7
2022-01-08,3,3.0,-5.1
2022-01-09,71,3.0,-4.2
2022-01-10,2,5.8,-5.3
2022-01-11,0,6.4,-4.9
2022-01-12,1,4.6,-6.6
2022-01-13,0,4.7,-5.8
2022-01-14,0,7.2,-4.9
2022-01-15,2,10.1,-3.0
2022-01-16,2,7.6,-3.2
2022-01-17,1,10.4,-1.1
2022-01-18,0,8.3,-1.6
2022-01-19,3,5.8,-2.4
2022-01-20,51,6.2,-2.1
2022-01-21,1,4.4,-4.6
2022-01-22,1,5.6,-5.1
2022-01-23,1,5.0,-5.0
2022-01-24,1,3.6,-5.6
2022-01-25,3,3.0,-2.3
2022-01-26,2,5.0,-3.4
2022-01-27,3,4.9,-1.6
2022-01-28,3,9.0,-1.3
2022-01-29,1,8.0,-4.4
2022-01-30,2,12.3,-0.4
2022-01-31,3,8.2,-1.4
2022-02-01,1,9.7,1.3
2022-02-02,1,14.7,2.7
2022-02-03,2,10.4,0.4
2022-02-04,3,9.6,1.7
2022-02-05,1,10.0,-0.6
2022-02-06,3,7.3,-2.9
2022-02-07,2,9.0,-0.7
2022-02-08,0,10.6,-3.8
2022-02-09,1,11.5,-3.0
2022-02-10,2,10.7,-1.5
2022-02-11,2,11.2,0.6
2022-02-12,2,8.1,-2.3
2022-02-13,2,7.0,-5.3
2022-02-14,53,4.0,-1.5
2022-02-15,73,3.2,-2.6
2022-02-16,2,8.0,-3.3
2022-02-17,1,11.7,-1.6
2022-02-18,51,9.9,1.1
2022-02-19,51,11.2,4.3
2022-02-20,51,12.2,2.5
2022-02-21,51,10.5,2.5
2022-02-22,0,12.9,1.9
2022-02-23,0,13.4,0.1
2022-02-24,2,11.8,1.6
2022-02-25,1,12.1,-0.4
2022-02-26,51,9.8,-1.8
2022-02-27,51,8.8,-4.4
2022-02-28,51,8.8,-4.7
2022-03-01,3,6.3,-2.6
2022-03-02,2,8.1,-4.8
2022-03-03,1,10.9,-1.5
2022-03-04,51,8.7,0.1
2022-03-05,1,6.0,-0.9
2022-03-06,3,6.3,-3.6
2022-03-07,1,7.5,-4.5
2022-03-08,3,5.2,-3.1
2022-03-09,0,8.6,-5.3
2022-03-10,0,11.5,-3.5
2022-03-11,3,7.5,0.8
2022-03-12,3,5.3,-0.0
2022-03-13,51,7.1,-2.3
2022-03-14,3,10.3,4.2
2022-03-15,51,10.9,4.9
2022-03-16,3,13.3,5.8
2022-03-17,3,11.8,7.5
2022-03-18,51,11.4,5.3
2022-03-19,1,10.0,2.3
2022-03-20,1,10.2,-0.8
2022-03-21,1,10.4,0.7
2022-03-22,0,11.7,-1.3
2022-03-23,0,16.1,-0.2
2022-03-24,0,17.9,1.6
2022-03-25,0,17.8,1.6
2022-03-26,0,17.5,2.5
2022-03-27,0,18.3,3.2
2022-03-28,1,19.3,2.2
2022-03-29,3,16.3,5.4
2022-03-30,53,11.0,7.6
2022-03-31,53,13.4,7.9
2022-04-01,61,10.9,5.4
2022-04-02,71,7.4,2.2
2022-04-03,51,9.0,-1.2
2022-04-04,3,9.9,1.1
2022-04-05,1,15.1,-0.4
2022-04-06,3,14.9,3.5
2022-04-07,2,17.1,5.2
2022-04-08,51,20.7,6.0
2022-04-09,51,12.7,3.2
2022-04-10,1,13.7,0.0
2022-04-11,1,15.9,0.7
