time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,3,15.6,10.4
2022-01-02,3,15.4,9.5
2022-01-03,3,15.6,9.1
2022-01-04,3,15.5,7.9
2022-01-05,2,16.9,7.3
2022-01-06,51,12.9,8.7
2022-01-07,51,11.8,8.0
2022-01-08,53,11.2,5.9
2022-01-09,53,11.5,6.0
2022-01-10,61,7.9,5.0
2022-01-11,51,9.9,5.2
2022-01-12,53,10.1,4.7
2022-01-13,53,11.6,4.6
2022-01-14,1,10.4,2.4
2022-01-15,1,12.4,5.4
2022-01-16,2,15.1,6.9
2022-01-17,2,13.9,7.4
2022-01-18,2,13.4,6.4
2022-01-19,3,15.2,4.4
2022-01-20,51,12.8,5.5
2022-01-21,51,10.7,7.2
2022-01-22,2,10.9,2.0
2022-01-23,1,10.8,1.8
2022-01-24,51,10.4,1.9
2022-01-25,1,6.8,-1.1
2022-01-26,2,12.0,-1.2
2022-01-27,51,12.6,1.3
2022-01-28,3,11.8,2.7
2022-01-29,3,8.5,4.4
2022-01-30,3,13.4,3.6
2022-01-31,3,12.0,8.1
2022-02-01,63,10.7,6.0
2022-02-02,0,14.2,7.3
2022-02-03,1,13.2,2.0
2022-02-04,1,15.3,0.8
2022-02-05,3,15.9,8.8
2022-02-06,3,15.8,6.3
2022-02-07,51,13.4,9.5
2022-02-08,1,10.4,5.5
2022-02-09,0,13.6,2.5
2022-02-10,0,16.4,1.5
2022-02-11,3,17.8,2.3
2022-02-12,3,14.7,3.4
2022-02-13,51,15.7,3.0
2022-02-14,2,13.0,6.9
2022-02-15,63,14.9,6.1
2022-02-16,61,11.8,4.3
2022-02-17,3,15.0,6.5
2022-02-18,1,19.0,5.7
2022-02-19,3,17.2,6.0
2022-02-20,3,17.1,12.2
2022-02-21,51,13.2,9.3
2022-02-22,53,10.5,7.5
2022-02-23,0,12.1,7.8
2022-02-24,1,16.8,4.9
2022-02-25,1,16.8,4.1
2022-02-26,51,11.4,5.3
2022-02-27,51,8.6,5.5
2022-02-28,51,10.9,5.7
2022-03-01,53,9.4,4.1
2022-03-02,51,9.1,2.0
2022-03-03,51,12.0,0.1
2022-03-04,51,15.0,4.8
2022-03-05,53,12.1,6.6
2022-03-06,51,9.8,3.7
2022-03-07,51,12.1,3.3
2022-03-08,51,9.7,3.1
2022-03-09,2,8.6,3.2
2022-03-10,1,14.1,2.3
2022-03-11,2,15.6,1.7
2022-03-12,53,14.4,5.0
2022-03-13,53,11.9,5.4
2022-03-14,3,18.6,7.3
2022-03-15,1,17.0,7.5
2022-03-16,3,17.9,7.7
2022-03-17,51,17.7,8.5
2022-03-18,51,18.7,9.3
2022-03-19,61,15.3,10.7
2022-03-20,63,13.4,7.9
2022-03-21,53,13.3,4.5
2022-03-22,2,13.1,1.7
2022-03-23,0,15.8,2.6
2022-03-24,2,18.6,3.4
2022-03-25,2,18.0,4.7
2022-03-26,51,17.9,6.5
2022-03-27,51,19.7,9.8
2022-03-28,51,19.1,10.6
2022-03-29,3,20.8,9.2
2022-03-30,53,20.5,11.5
2022-03-31,53,18.9,13.5
2022-04-01,63,15.5,9.1
2022-04-02,61,11.5,5.4
2022-04-03,53,13.5,5.9
2022-04-04,51,16.1,7.3
2022-04-05,51,21.6,10.8
2022-04-06,3,22.1,9.7
2022-04-07,51,16.2,11.1
2022-04-08,1,20.6,10.3
2022-04-09,2,20.0,10.0
2022-04-10,1,15.0,6.8
2022-04-11,1,20.3,5.4
2022-04-12,1,20.3,6.8
2022-04-13,1,22.5,8.5
2022-04-14,2,24.1,12.2
2022-04-15,3,26.0,12.8
2022-04-16,53,20.3,14.2
2022-04-17,63,18.1,10.0
2022-04-18,51,16.4,8.2
2022-04-19,1,19.8,7.0
2022-04-20,51,22.9,10.0
2022-04-21,51,21.3,13.0
2022-04-22,53,16.2,11.6
2022-04-23,2,23.5,10.5
2022-04-24,1,24.8,12.6
2022-04-25,1,24.1,10.1
2022-04-26,0,27.9,11.7
