time,weathercode,apparent_temperature_max,apparent_temperature_min
2022-01-01,3,14.0,4.7
2022-01-02,3,10.5,5.6
2022-01-03,3,14.3,6.4
2022-01-04,51,12.7,9.6
2022-01-05,61,12.8,8.1
2022-01-06,51,9.3,3.3
2022-01-07,1,11.2,1.4
2022-01-08,1,6.7,-1.7
2022-01-09,53,5.9,-1.9
2022-01-10,51,5.5,-0.7
2022-01-11,2,8.8,0.4
2022-01-12,71,8.1,-1.0
2022-01-13,0,9.9,-2.8
2022-01-14,0,9.4,-3.9
2022-01-15,0,13.4,-2.4
2022-01-16,1,12.8,-1.2
2022-01-17,2,11.3,-0.8
2022-01-18,0,11.9,-1.7
2022-01-19,51,11.3,-1.9
2022-01-20,53,9.6,5.9
2022-01-21,51,10.1,0.9
2022-01-22,0,7.6,-1.7
2022-01-23,0,10.0,-3.6
2022-01-24,1,9.7,-2.9
2022-01-25,0,7.7,-3.7
2022-01-26,2,8.6,-3.0
2022-01-27,1,11.2,-0.4
2022-01-28,3,11.0,0.9
2022-01-29,0,9.6,-0.5
2022-01-30,0,11.9,-1.9
2022-01-31,53,8.6,0.6
2022-02-01,0,7.8,-0.4
2022-02-02,0,13.1,-2.2
2022-02-03,1,13.1,-1.1
2022-02-04,3,12.1,3.5
2022-02-05,51,14.1,6.9
2022-02-06,51,14.1,1.8
2022-02-07,51,14.2,1.2
2022-02-08,0,10.4,-2.3
2022-02-09,0,14.1,-2.2
2022-02-10,0,14.1,-0.1
2022-02-11,0,13.6,0.7
2022-02-12,1,15.1,1.1
2022-02-13,51,12.5,3.2
2022-02-14,51,11.0,6.5
2022-02-15,53,10.2,6.1
2022-02-16,2,11.2,2.9
2022-02-17,3,13.0,1.0
2022-02-18,3,14.2,5.5
2022-02-19,3,15.0,5.7
2022-02-20,51,16.5,9.9
2022-02-21,53,13.1,5.7
2022-02-22,1,10.7,2.7
2022-02-23,0,15.9,0.8
2022-02-24,2,15.6,0.7
2022-02-25,61,12.8,1.9
2022-02-26,61,8.5,0.6
2022-02-27,2,6.3,0.9
2022-02-28,0,11.6,-0.2
2022-03-01,2,6.2,-1.7
2022-03-02,1,10.3,-3.7
2022-03-03,3,9.8,-0.5
2022-03-04,51,11.2,0.6
2022-03-05,1,7.5,-1.0
2022-03-06,51,8.5,-1.9
2022-03-07,51,8.4,-2.7
2022-03-08,1,5.2,-1.9
2022-03-09,0,10.2,-4.1
2022-03-10,0,14.2,-2.2
2022-03-11,3,11.9,-0.2
2022-03-12,51,11.7,3.8
2022-03-13,1,11.9,-0.3
2022-03-14,1,15.3,2.5
2022-03-15,2,14.8,2.0
2022-03-16,1,16.5,3.5
2022-03-17,3,19.2,6.6
2022-03-18,3,15.5,8.9
2022-03-19,51,13.9,7.8
2022-03-20,53,12.8,3.3
2022-03-21,51,13.3,0.6
2022-03-22,0,14.0,-1.2
2022-03-23,0,17.4,0.6
2022-03-24,0,18.8,1.6
2022-03-25,0,18.7,1.3
2022-03-26,3,19.5,2.4
2022-03-27,3,20.9,9.2
2022-03-28,2,19.1,8.3
2022-03-29,2,18.5,4.5
2022-03-30,63,13.4,8.1
2022-03-31,61,14.3,10.9
2022-04-01,51,10.7,4.7
2022-04-02,61,5.2,3.1
2022-04-03,51,11.7,2.0
2022-04-04,51,12.5,4.2
2022-04-05,0,16.9,2.0
2022-04-06,53,13.4,3.0
2022-04-07,51,15.2,6.1
2022-04-08,3,17.9,10.2
2022-04-09,3,14.6,9.9
2022-04-10,51,11.9,2.3
2022-04-11,2,16.3,0.2
2022-04-12,1,17.7,2.3
2022-04-13,1,21.6,5.5
2022-04-14,1,24.5,7.4
2022-04-15,1,25.0,9.4
2022-04-16,1,24.8,10.2
2022-04-17,2,15.9,5.5
2022-04-18,1,18.0,4.3
2022-04-19,2,17.6,3.1
2022-04-20,51,20.8,7.8
2022-04-21,63,19.0,13.3
2022-04-22,61,15.7,11.2
2022-04-23,3,20.4,9.4
2022-04-24,53,17.4,12.1
2022-04-25,53,19.8,11.5
2022-04-26,0,21.6,8.9
2022-04-27,0,24.1,7.7
2022-04-28,0,24.7,10.1
2022-04-29,0,25.0,8.5
2022-04-30,1,23.3,9.7
2022-05-01,2,19.4,9.3
2022-05-02,2,22.8,8.5
2022-05-03,51,22.9,9.6
2022-05-04,51,22.7,11.7
2022-05-05,51,20.4,11.3
2022-05-06,61,21.7,14.6
2022-05-07,53,22.6,12.9
2022-05-08,61,24.0,13.8
2022-05-09,63,24.2,13.3
2022-05-10,1,27.1,12.0
2022-05-11,1,27.5,13.4
2022-05-12,1,28.5,14.8
2022-05-13,0,28.1,14.1
2022-05-14,1,28.2,13.4
2022-05-15,1,28.8,14.3
2022-05-16,1,30.4,14.9
2022-05-17,1,30.4,14.7
2022-05-18,1,33.7,16.0
2022-05-19,0,29.4,15.7
2022-05-20,0,29.3,15.0
2022-05-21,1,29.4,14.7
2022-05-22,1,30.5,17.9
2022-05-23,2,30.5,18.0
2022-05-24,1,28.5,17.2
2022-05-25,1,30.0,17.6
2022-05-26,2,33.7,17.4
2022-05-27,61,35.7,22.2
2022-05-28,61,32.2,22.9
2022-05-29,2,28.8,20.5
2022-05-30,2,27.4,20.3
2022-05-31,3,32.2,20.0
2022-06-01,3,34.4,20.0
2022-06-02,1,36.4,20.1
2022-06-03,2,35.5,19.8
2022-06-04,3,35.2,21.6
2022-06-05,3,34.8,22.4
2022-06-06,1,35.3,21.1
2022-06-07,1,33.0,21.0
2022-06-08,3,32.6,21.4
2022-06-09,63,28.7,17.5
2022-06-10,1,27.5,17.7
2022-06-11,1,34.8,18.5
2022-06-12,0,34.7,19.6
2022-06-13,0,33.8,18.6
2022-06-14,1,34.7,19.5
2022-06-15,1,34.5,21.1
2022-06-16,1,35.5,22.5
2022-06-17,53,35.5,21.7
2022-06-18,1,34.6,21.7
2022-06-19,1,33.0,20.1
2022-06-20,0,33.4,18.7
2022-06-21,1,33.7,20.3
2022-06-22,2,34.7,22.5
2022-06-23,2,34.2,22.9
2022-06-24,2,35.2,26.2
2022-06-25,51,35.0,24.2
2022-06-26,51,38.6,22.2
2022-06-27,1,40.8,23.0
2022-06-28,2,35.8,25.0
2022-06-29,1,36.0,26.4
2022-06-30,0,36.5,22.9
2022-07-01,2,35.6,22.0
2022-07-02,1,37.7,21.7
2022-07-03,1,40.2,24.5
2022-07-04,0,40.4,24.3
2022-07-05,0,39.3,25.0
2022-07-06,51,38.8,24.6
2022-07-07,53,37.9,23.2
2022-07-08,0,28.7,19.1
2022-07-09,0,33.0,19.5
2022-07-10,1,32.2,18.5
2022-07-11,1,34.2,20.6
2022-07-12,51,33.4,21.1
2022-07-13,51,33.6,23.2
2022-07-14,1,34.8,22.1
2022-07-15,1,37.2,23.1
2022-07-16,0,36.5,23.5
2022-07-17,0,38.4,22.3
2022-07-18,1,39.8,24.7
2022-07-19,1,38.9,25.2
2022-07-20,0,38.4,25.3
2022-07-21,1,39.0,25.5
2022-07-22,1,40.7,27.0
2022-07-23,0,39.4,27.0
2022-07-24,0,39.5,26.4
2022-07-25,1,40.1,28.4
2022-07-26,1,39.6,28.2
2022-07-27,53,37.9,29.6
