time,Meteo,TemperaturaPercepita
2022-01-01,Principalmente chiaro,2.0
2022-01-02,Coperto,1.65
2022-01-03,Coperto,2.15
2022-01-04,pioggerella Moderata,2.95
2022-01-05,Nevicate moderate,2.0
2022-01-06,Nevicate leggere,-0.3000000000000002
2022-01-07,Principalmente chiaro,-3.15
2022-01-08,Principalmente chiaro,-3.05
2022-01-09,Coperto,-2.8000000000000003
2022-01-10,Parzialmente nuvoloso,-0.2999999999999998
2022-01-11,Cielo chiaro,-1.2000000000000002
2022-01-12,Cielo chiaro,-2.5500000000000003
2022-01-13,Principalmente chiaro,-2.1500000000000004
2022-01-14,Cielo chiaro,0.6000000000000001
2022-01-15,Cielo chiaro,2.45
2022-01-16,Cielo chiaro,1.9
2022-01-17,Principalmente chiaro,1.6
2022-01-18,Cielo chiaro,0.4500000000000002
2022-01-19,pioggerella debole,-0.3999999999999999
2022-01-20,pioggerella debole,-0.6499999999999999
2022-01-21,pioggerella debole,-2.35
2022-01-22,pioggerella Moderata,-0.9499999999999996
2022-01-23,Principalmente chiaro,0.0
2022-01-24,Coperto,0.0499999999999998
2022-01-25,pioggerella debole,1.3
2022-01-26,Coperto,0.6500000000000001
2022-01-27,Coperto,0.1
2022-01-28,Coperto,1.9
2022-01-29,Principalmente chiaro,0.1499999999999999
2022-01-30,Cielo chiaro,2.0
2022-01-31,Principalmente chiaro,0.5499999999999998
2022-02-01,Parzialmente nuvoloso,1.85
2022-02-02,pioggerella debole,3.65
2022-02-03,Coperto,3.0500000000000003
2022-02-04,Parzialmente nuvoloso,3.35
2022-02-05,Principalmente chiaro,3.95
2022-02-06,Nevicate leggere,1.3
2022-02-07,Nevicate leggere,1.95
2022-02-08,Cielo chiaro,0.8000000000000003
2022-02-09,Principalmente chiaro,1.7999999999999998
2022-02-10,Coperto,2.45
2022-02-11,pioggerella debole,2.5
2022-02-12,Cielo chiaro,0.4500000000000002
2022-02-13,Principalmente chiaro,-0.8500000000000001
2022-02-14,Coperto,-0.9499999999999996
2022-02-15,Nevicate moderate,1.75
2022-02-16,pioggerella debole,2.25
2022-02-17,pioggerella debole,2.55
2022-02-18,pioggerella debole,2.7
2022-02-19,pioggerella debole,5.5
