time,Meteo,TemperaturaPercepita
2022-01-01,Coperto,2.1999999999999997
2022-01-02,Coperto,1.0500000000000003
2022-01-03,Coperto,2.85
2022-01-04,Coperto,5.15
2022-01-05,Nevicate leggere,4.25
2022-01-06,Pioggia,2.85
2022-01-07,Principalmente chiaro,0.25
2022-01-08,Coperto,-0.5499999999999998
2022-01-09,Nevicate leggere,-2.15
2022-01-10,Parzialmente nuvoloso,0.8500000000000001
2022-01-11,Cielo chiaro,0.75
2022-01-12,Cielo chiaro,0.4500000000000002
2022-01-13,Cielo chiaro,0.8999999999999999
2022-01-14,Cielo chiaro,1.6
2022-01-15,Cielo chiaro,1.8500000000000005
2022-01-16,Coperto,2.4499999999999997
2022-01-17,Coperto,2.9000000000000004
2022-01-18,Cielo chiaro,2.85
2022-01-19,Coperto,1.5
2022-01-20,pioggerella debole,1.2999999999999998
2022-01-21,Coperto,1.2
2022-01-22,Coperto,0.6500000000000004
2022-01-23,Coperto,1.0499999999999998
2022-01-24,Coperto,-0.40000000000000013
2022-01-25,Coperto,1.65
2022-01-26,Coperto,0.25
2022-01-27,Coperto,0.3500000000000001
2022-01-28,Coperto,1.35
2022-01-29,Principalmente chiaro,1.7000000000000002
2022-01-30,Principalmente chiaro,1.15
2022-01-31,Coperto,0.19999999999999973
2022-02-01,Cielo chiaro,3.0000000000000004
2022-02-02,Principalmente chiaro,3.15
2022-02-03,Parzialmente nuvoloso,3.6
2022-02-04,Coperto,4.7
2022-02-05,Parzialmente nuvoloso,5.300000000000001
2022-02-06,Coperto,2.8499999999999996
2022-02-07,Parzialmente nuvoloso,4.3500000000000005
2022-02-08,Cielo chiaro,3.1500000000000004
2022-02-09,Cielo chiaro,3.5999999999999996
2022-02-10,Principalmente chiaro,4.3
2022-02-11,Coperto,6.3999999999999995
2022-02-12,Cielo chiaro,3.0
2022-02-13,Principalmente chiaro,1.5
2022-02-14,pioggerella debole,1.1
2022-02-15,Pioggia moderata,3.25
2022-02-16,Coperto,4.75
2022-02-17,Parzialmente nuvoloso,4.8500000000000005
2022-02-18,Coperto,6.3
2022-02-19,pioggerella debole,7.3
2022-02-20,pioggerella debole,9.55
2022-02-21,pioggerella debole,8.049999999999999
2022-02-22,Parzialmente nuvoloso,6.65
2022-02-23,Cielo chiaro,6.05
2022-02-24,Parzialmente nuvoloso,5.0
2022-02-25,pioggerella debole,6.0
2022-02-26,pioggerella debole,4.5
2022-02-27,Principalmente chiaro,2.55
2022-02-28,Coperto,2.5999999999999996
2022-03-01,Principalmente chiaro,2.1
2022-03-02,Coperto,2.2500000000000004
2022-03-03,Parzialmente nuvoloso,4.55
2022-03-04,pioggerella debole,4.7
2022-03-05,Principalmente chiaro,1.5499999999999998
2022-03-06,Parzialmente nuvoloso,1.1999999999999997
2022-03-07,Coperto,1.5500000000000003
2022-03-08,Coperto,2.1
2022-03-09,Principalmente chiaro,2.8499999999999996
2022-03-10,Cielo chiaro,5.050000000000001
2022-03-11,Coperto,3.8000000000000003
2022-03-12,Parzialmente nuvoloso,0.75
2022-03-13,Coperto,1.3500000000000005
2022-03-14,Principalmente chiaro,6.1000000000000005
2022-03-15,Coperto,7.05
2022-03-16,Parzialmente nuvoloso,10.25
2022-03-17,Coperto,8.899999999999999
2022-03-18,Principalmente chiaro,6.9
2022-03-19,Cielo chiaro,6.0
2022-03-20,Cielo chiaro,5.55
2022-03-21,Cielo chiaro,4.55
2022-03-22,Cielo chiaro,5.5
2022-03-23,Cielo chiaro,7.550000000000001
2022-03-24,Cielo chiaro,10.25
2022-03-25,Principalmente chiaro,9.85
2022-03-26,Cielo chiaro,11.1
2022-03-27,Cielo chiaro,10.649999999999999
2022-03-28,Cielo chiaro,10.6
2022-03-29,Coperto,10.85
2022-03-30,pioggerella debole,10.2
2022-03-31,Pioggia,9.85
2022-04-01,Pioggia,11.35
2022-04-02,pioggerella Moderata,6.3
2022-04-03,pioggerella debole,5.9
2022-04-04,pioggerella debole,8.45
2022-04-05,Cielo chiaro,7.85
2022-04-06,Coperto,10.1
2022-04-07,Coperto,13.0
2022-04-08,pioggerella debole,15.45
2022-04-09,Pioggia moderata,10.15
2022-04-10,Principalmente chiaro,7.95
2022-04-11,Principalmente chiaro,9.4
2022-04-12,Principalmente chiaro,11.4
2022-04-13,Principalmente chiaro,11.8
2022-04-14,Principalmente chiaro,13.35
2022-04-15,Principalmente chiaro,13.5
2022-04-16,pioggerella Moderata,13.5
2022-04-17,Principalmente chiaro,9.4
2022-04-18,Principalmente chiaro,9.7
2022-04-19,Coperto,10.850000000000001
2022-04-20,Coperto,10.75
2022-04-21,Pioggia,9.0
2022-04-22,Pioggia,10.5
2022-04-23,Pioggia,13.100000000000001
2022-04-24,Pioggia moderata,11.55
2022-04-25,pioggerella debole,12.55
2022-04-26,pioggerella Moderata,15.899999999999999
2022-04-27,pioggerella Moderata,15.5
2022-04-28,Principalmente chiaro,13.899999999999999
2022-04-29,Principalmente chiaro,14.8
2022-04-30,Parzialmente nuvoloso,15.3
2022-05-01,pioggerella Moderata,15.4
2022-05-02,pioggerella Moderata,15.55
2022-05-03,Parzialmente nuvoloso,16.95
2022-05-04,pioggerella Moderata,17.9
2022-05-05,pioggerella Moderata,14.899999999999999
2022-05-06,Pioggia,13.7
2022-05-07,pioggerella Moderata,15.75
2022-05-08,pioggerella debole,17.7
2022-05-09,Principalmente chiaro,19.45
2022-05-10,Principalmente chiaro,20.450000000000003
2022-05-11,Principalmente chiaro,21.75
2022-05-12,Principalmente chiaro,23.35
2022-05-13,Principalmente chiaro,23.8
2022-05-14,pioggerella Moderata,24.15
2022-05-15,pioggerella debole,25.4
2022-05-16,pioggerella debole,25.700000000000003
2022-05-17,Parzialmente nuvoloso,25.200000000000003
2022-05-18,pioggerella Moderata,22.9
2022-05-19,Principalmente chiaro,21.55
2022-05-20,Principalmente chiaro,23.799999999999997
2022-05-21,Principalmente chiaro,25.599999999999998
2022-05-22,Coperto,26.25
2022-05-23,pioggerella debole,27.4
2022-05-24,Pioggia,26.4
2022-05-25,pioggerella Moderata,24.65
2022-05-26,pioggerella debole,25.25
2022-05-27,Coperto,28.0
2022-05-28,pioggerella Moderata,19.05
2022-05-29,pioggerella Moderata,14.4
2022-05-30,pioggerella Moderata,16.95
2022-05-31,Pioggia,22.15
2022-06-01,pioggerella debole,24.35
2022-06-02,pioggerella debole,27.25
2022-06-03,pioggerella debole,26.7
2022-06-04,Coperto,28.299999999999997
2022-06-05,pioggerella debole,29.15
2022-06-06,Parzialmente nuvoloso,26.200000000000003
2022-06-07,pioggerella Moderata,23.2
2022-06-08,Pioggia,23.2
2022-06-09,Pioggia,20.799999999999997
2022-06-10,Parzialmente nuvoloso,23.7
2022-06-11,Principalmente chiaro,25.2
2022-06-12,Cielo chiaro,27.15
2022-06-13,pioggerella debole,28.15
2022-06-14,pioggerella debole,25.9
2022-06-15,Coperto,28.1
2022-06-16,Principalmente chiaro,30.15
2022-06-17,pioggerella debole,30.599999999999998
2022-06-18,Principalmente chiaro,29.35
2022-06-19,Cielo chiaro,28.4
2022-06-20,Cielo chiaro,30.05
2022-06-21,pioggerella Moderata,32.45
2022-06-22,pioggerella Moderata,30.05
2022-06-23,pioggerella debole,29.95
2022-06-24,pioggerella Moderata,28.35
2022-06-25,Principalmente chiaro,28.25
2022-06-26,Principalmente chiaro,31.0
2022-06-27,Principalmente chiaro,31.099999999999998
2022-06-28,pioggerella Moderata,30.55
2022-06-29,Pioggia molto intensa,28.849999999999998
2022-06-30,Parzialmente nuvoloso,31.35
2022-07-01,Pioggia,30.900000000000002
2022-07-02,Principalmente chiaro,29.450000000000003
2022-07-03,Principalmente chiaro,31.55
2022-07-04,Pioggia,31.85
2022-07-05,pioggerella Moderata,29.7
2022-07-06,pioggerella Moderata,28.55
2022-07-07,pioggerella Moderata,27.45
2022-07-08,Principalmente chiaro,26.25
2022-07-09,Parzialmente nuvoloso,25.0
2022-07-10,Principalmente chiaro,26.2
2022-07-11,pioggerella debole,26.9
2022-07-12,pioggerella debole,28.05
2022-07-13,Principalmente chiaro,28.45
2022-07-14,Principalmente chiaro,29.2
2022-07-15,Principalmente chiaro,31.25
2022-07-16,Principalmente chiaro,30.85
2022-07-17,Principalmente chiaro,30.049999999999997
2022-07-18,Principalmente chiaro,29.5
2022-07-19,Principalmente chiaro,30.1
2022-07-20,Principalmente chiaro,31.0
2022-07-21,pioggerella debole,31.6
2022-07-22,Parzialmente nuvoloso,33.25
2022-07-23,pioggerella debole,33.9
2022-07-24,Principalmente chiaro,33.7
2022-07-25,Parzialmente nuvoloso,35.35
2022-07-26,Pioggia,31.1
2022-07-27,pioggerella Moderata,30.05
2022-07-28,Parzialmente nuvoloso,30.049999999999997
2022-07-29,Pioggia molto intensa,31.35
2022-07-30,Pioggia moderata,28.35
2022-07-31,Principalmente chiaro,29.299999999999997
2022-08-01,Principalmente chiaro,31.1
2022-08-02,pioggerella Moderata,28.4
2022-08-03,Principalmente chiaro,30.0
2022-08-04,Principalmente chiaro,31.65
2022-08-05,Principalmente chiaro,32.9
2022-08-06,pioggerella debole,32.85
2022-08-07,pioggerella Moderata,27.799999999999997
2022-08-08,Parzialmente nuvoloso,28.75
2022-08-09,Parzialmente nuvoloso,28.0
2022-08-10,Parzialmente nuvoloso,27.3
2022-08-11,Coperto,26.75
2022-08-12,pioggerella Moderata,24.35
2022-08-13,Principalmente chiaro,24.1
2022-08-14,Parzialmente nuvoloso,26.25
2022-08-15,Pioggia moderata,28.85
2022-08-16,Principalmente chiaro,27.65
2022-08-17,pioggerella debole,30.7
2022-08-18,Pioggia moderata,26.200000000000003
2022-08-19,Pioggia molto intensa,24.75
2022-08-20,Principalmente chiaro,26.85
2022-08-21,pioggerella debole,28.3
2022-08-22,pioggerella debole,28.15
2022-08-23,Pioggia,26.549999999999997
2022-08-24,Principalmente chiaro,27.3
2022-08-25,Principalmente chiaro,28.7
2022-08-26,Principalmente chiaro,29.4
2022-08-27,pioggerella debole,27.5
2022-08-28,pioggerella Moderata,27.299999999999997
2022-08-29,pioggerella Moderata,29.25
2022-08-30,Pioggia,30.099999999999998
2022-08-31,Pioggia,26.4
2022-09-01,Coperto,23.15
2022-09-02,Parzialmente nuvoloso,22.85
2022-09-03,Pioggia moderata,24.25
2022-09-04,pioggerella debole,26.35
2022-09-05,Parzialmente nuvoloso,27.05
2022-09-06,pioggerella debole,28.8
2022-09-07,pioggerella Moderata,27.65
2022-09-08,Pioggia moderata,27.15
2022-09-09,pioggerella Moderata,25.1
2022-09-10,pioggerella debole,24.200000000000003
2022-09-11,Principalmente chiaro,23.35
2022-09-12,pioggerella debole,23.65
2022-09-13,Parzialmente nuvoloso,24.75
2022-09-14,pioggerella Moderata,26.65
2022-09-15,pioggerella Moderata,27.25
2022-09-16,Pioggia,24.299999999999997
2022-09-17,Pioggia moderata,14.7
2022-09-18,Principalmente chiaro,15.0
2022-09-19,Principalmente chiaro,17.85
2022-09-20,Principalmente chiaro,16.8
2022-09-21,Principalmente chiaro,14.700000000000001
2022-09-22,Principalmente chiaro,14.3
2022-09-23,Principalmente chiaro,15.05
2022-09-24,Pioggia,16.4
2022-09-25,Pioggia,18.05
2022-09-26,pioggerella Moderata,18.05
2022-09-27,pioggerella debole,17.95
2022-09-28,pioggerella Moderata,16.799999999999997
2022-09-29,pioggerella Moderata,17.65
2022-09-30,Pioggia,16.45
2022-10-01,pioggerella debole,16.2
2022-10-02,Principalmente chiaro,18.1
2022-10-03,Parzialmente nuvoloso,20.85
2022-10-04,pioggerella debole,19.55
2022-10-05,Coperto,19.5
2022-10-06,Coperto,19.35
2022-10-07,Principalmente chiaro,18.85
2022-10-08,Parzialmente nuvoloso,18.25
2022-10-09,pioggerella debole,19.15
2022-10-10,pioggerella debole,17.9
2022-10-11,Principalmente chiaro,18.0
2022-10-12,Coperto,18.15
2022-10-13,Principalmente chiaro,17.6
2022-10-14,Parzialmente nuvoloso,17.6
2022-10-15,Coperto,18.950000000000003
2022-10-16,Coperto,20.65
2022-10-17,Principalmente chiaro,19.200000000000003
2022-10-18,Principalmente chiaro,19.05
2022-10-19,Principalmente chiaro,20.200000000000003
2022-10-20,Coperto,19.35
2022-10-21,pioggerella debole,18.8
2022-10-22,pioggerella Moderata,20.7
2022-10-23,pioggerella debole,21.15
2022-10-24,Coperto,21.15
2022-10-25,pioggerella Moderata,20.1
2022-10-26,Coperto,19.7
2022-10-27,Parzialmente nuvoloso,20.3
2022-10-28,Parzialmente nuvoloso,18.950000000000003
2022-10-29,Principalmente chiaro,18.3
2022-10-30,Parzialmente nuvoloso,17.95
2022-10-31,Principalmente chiaro,17.2
2022-11-01,Coperto,14.75
2022-11-02,pioggerella Moderata,15.85
2022-11-03,Pioggia,17.1
2022-11-04,Pioggia moderata,12.75
2022-11-05,Principalmente chiaro,11.950000000000001
2022-11-06,Principalmente chiaro,9.85
2022-11-07,Principalmente chiaro,9.65
2022-11-08,Parzialmente nuvoloso,9.549999999999999
2022-11-09,pioggerella Moderata,12.7
2022-11-10,Pioggia,13.4
2022-11-11,Principalmente chiaro,12.25
2022-11-12,Coperto,11.05
2022-11-13,Pioggia,10.55
2022-11-14,Pioggia,10.6
2022-11-15,pioggerella debole,7.949999999999999
2022-11-16,pioggerella Moderata,9.75
2022-11-17,pioggerella Moderata,10.0
2022-11-18,Pioggia,10.45
2022-11-19,pioggerella Moderata,8.4
2022-11-20,Parzialmente nuvoloso,7.800000000000001
2022-11-21,pioggerella Moderata,5.75
2022-11-22,Pioggia moderata,6.449999999999999
2022-11-23,pioggerella debole,6.75
2022-11-24,Principalmente chiaro,6.75
2022-11-25,Coperto,6.9
2022-11-26,Parzialmente nuvoloso,7.0
2022-11-27,Principalmente chiaro,5.449999999999999
2022-11-28,Coperto,3.6999999999999997
2022-11-29,pioggerella debole,3.3
2022-11-30,Coperto,3.7
2022-12-01,pioggerella debole,5.1
2022-12-02,pioggerella debole,5.3
2022-12-03,Pioggia,5.95
2022-12-04,Pioggia,9.0
2022-12-05,pioggerella Moderata,8.65
2022-12-06,Coperto,4.55
2022-12-07,Coperto,4.25
2022-12-08,pioggerella Moderata,4.4
2022-12-09,Pioggia,4.75
2022-12-10,pioggerella Moderata,5.85
2022-12-11,Pioggia moderata,3.2
2022-12-12,Parzialmente nuvoloso,0.5
2022-12-13,Coperto,0.25
2022-12-14,Coperto,1.9000000000000001
2022-12-15,Pioggia moderata,2.5
2022-12-16,pioggerella Moderata,4.5
2022-12-17,pioggerella debole,5.1
2022-12-18,Parzialmente nuvoloso,2.3
2022-12-19,Coperto,1.5999999999999999
2022-12-20,Coperto,3.8000000000000003
2022-12-21,pioggerella debole,4.199999999999999
2022-12-22,Coperto,5.300000000000001
2022-12-23,Coperto,6.0
2022-12-24,Coperto,6.800000000000001
2022-12-25,Coperto,6.85
