time,Meteo,TemperaturaPercepita
2022-01-01,Coperto,9.95
2022-01-02,pioggerella debole,9.399999999999999
2022-01-03,pioggerella debole,10.7
2022-01-04,pioggerella debole,11.55
2022-01-05,pioggerella Moderata,11.8
2022-01-06,pioggerella Moderata,9.6
2022-01-07,Parzialmente nuvoloso,7.3500000000000005
2022-01-08,Parzialmente nuvoloso,6.050000000000001
2022-01-09,Pioggia,5.25
2022-01-10,pioggerella debole,4.35
2022-01-11,pioggerella debole,4.6
2022-01-12,Principalmente chiaro,3.0
2022-01-13,Cielo chiaro,3.25
2022-01-14,Cielo chiaro,4.7
2022-01-15,Cielo chiaro,8.5
2022-01-16,Parzialmente nuvoloso,8.7
2022-01-17,pioggerella debole,8.4
2022-01-18,Cielo chiaro,7.8
2022-01-19,Parzialmente nuvoloso,5.7
2022-01-20,pioggerella Moderata,7.3
2022-01-21,pioggerella debole,5.95
2022-01-22,Cielo chiaro,2.75
2022-01-23,Principalmente chiaro,4.550000000000001
2022-01-24,pioggerella debole,2.9
2022-01-25,Principalmente chiaro,1.85
2022-01-26,Cielo chiaro,4.45
2022-01-27,Parzialmente nuvoloso,5.75
2022-01-28,pioggerella Moderata,7.0
2022-01-29,pioggerella debole,4.25
2022-01-30,Parzialmente nuvoloso,5.8500000000000005
2022-01-31,pioggerella Moderata,7.3999999999999995
2022-02-01,pioggerella debole,5.05
2022-02-02,Cielo chiaro,6.05
2022-02-03,Principalmente chiaro,6.9
2022-02-04,Coperto,8.25
2022-02-05,Coperto,10.350000000000001
2022-02-06,pioggerella debole,9.850000000000001
2022-02-07,pioggerella Moderata,8.55
2022-02-08,Principalmente chiaro,5.85
2022-02-09,Cielo chiaro,7.05
2022-02-10,Principalmente chiaro,8.6
2022-02-11,Coperto,7.5
2022-02-12,Principalmente chiaro,8.15
2022-02-13,pioggerella debole,9.0
2022-02-14,Pioggia,9.7
2022-02-15,Pioggia moderata,9.5
2022-02-16,pioggerella Moderata,7.9
2022-02-17,Parzialmente nuvoloso,7.1
2022-02-18,Coperto,11.25
2022-02-19,pioggerella debole,11.75
2022-02-20,Coperto,11.55
2022-02-21,pioggerella Moderata,9.25
2022-02-22,pioggerella Moderata,7.5
2022-02-23,Cielo chiaro,8.15
2022-02-24,Principalmente chiaro,8.5
2022-02-25,Parzialmente nuvoloso,9.15
2022-02-26,Nevicate moderate,5.2
2022-02-27,Pioggia,5.0
2022-02-28,pioggerella debole,5.15
2022-03-01,Principalmente chiaro,1.7
2022-03-02,Principalmente chiaro,2.25
2022-03-03,Coperto,5.3999999999999995
2022-03-04,pioggerella Moderata,7.05
2022-03-05,Pioggia,3.75
2022-03-06,pioggerella debole,4.55
2022-03-07,pioggerella Moderata,4.25
2022-03-08,Principalmente chiaro,1.6
2022-03-09,Principalmente chiaro,3.0999999999999996
2022-03-10,Cielo chiaro,6.25
2022-03-11,Coperto,5.15
2022-03-12,Coperto,3.65
2022-03-13,Principalmente chiaro,4.4
2022-03-14,Principalmente chiaro,7.0
2022-03-15,Principalmente chiaro,8.700000000000001
2022-03-16,Principalmente chiaro,9.6
2022-03-17,Principalmente chiaro,10.9
2022-03-18,pioggerella debole,9.1
2022-03-19,pioggerella Moderata,7.8
2022-03-20,pioggerella debole,5.85
2022-03-21,pioggerella debole,5.1
2022-03-22,Parzialmente nuvoloso,6.2
2022-03-23,Cielo chiaro,8.899999999999999
2022-03-24,Cielo chiaro,10.25
2022-03-25,Principalmente chiaro,11.3
2022-03-26,pioggerella debole,12.600000000000001
2022-03-27,pioggerella debole,11.45
2022-03-28,pioggerella debole,10.85
2022-03-29,Coperto,11.15
2022-03-30,pioggerella Moderata,9.85
2022-03-31,Pioggia moderata,12.1
2022-04-01,Pioggia,8.3
2022-04-02,Pioggia,5.0
2022-04-03,pioggerella Moderata,6.9
2022-04-04,pioggerella debole,9.0
2022-04-05,Parzialmente nuvoloso,10.5
2022-04-06,Pioggia moderata,11.5
2022-04-07,pioggerella debole,10.55
2022-04-08,pioggerella debole,13.25
2022-04-09,pioggerella debole,11.9
2022-04-10,pioggerella Moderata,8.15
2022-04-11,Cielo chiaro,8.6
2022-04-12,Principalmente chiaro,11.200000000000001
2022-04-13,Principalmente chiaro,13.75
2022-04-14,Principalmente chiaro,13.55
2022-04-15,Parzialmente nuvoloso,16.1
2022-04-16,Parzialmente nuvoloso,15.9
2022-04-17,pioggerella debole,9.4
2022-04-18,Parzialmente nuvoloso,9.95
2022-04-19,Parzialmente nuvoloso,10.5
2022-04-20,pioggerella debole,13.8
2022-04-21,Pioggia,14.700000000000001
2022-04-22,Pioggia moderata,12.3
2022-04-23,pioggerella debole,14.15
2022-04-24,pioggerella debole,14.5
2022-04-25,pioggerella Moderata,14.0
2022-04-26,Principalmente chiaro,15.1
2022-04-27,Parzialmente nuvoloso,16.15
2022-04-28,Principalmente chiaro,15.2
2022-04-29,Principalmente chiaro,14.8
2022-04-30,Principalmente chiaro,14.6
2022-05-01,Principalmente chiaro,14.8
2022-05-02,pioggerella Moderata,15.100000000000001
2022-05-03,pioggerella Moderata,14.850000000000001
2022-05-04,Coperto,16.25
2022-05-05,pioggerella debole,17.0
2022-05-06,pioggerella Moderata,16.95
2022-05-07,Pioggia moderata,15.799999999999999
2022-05-08,Pioggia moderata,16.3
2022-05-09,pioggerella Moderata,18.35
2022-05-10,pioggerella Moderata,18.4
2022-05-11,pioggerella debole,19.4
2022-05-12,Coperto,19.45
2022-05-13,Coperto,20.25
2022-05-14,Coperto,20.450000000000003
2022-05-15,Parzialmente nuvoloso,20.4
2022-05-16,Principalmente chiaro,21.9
2022-05-17,Coperto,21.85
2022-05-18,Coperto,22.0
2022-05-19,Cielo chiaro,19.15
2022-05-20,Cielo chiaro,18.45
2022-05-21,Parzialmente nuvoloso,20.7
2022-05-22,Coperto,22.5
2022-05-23,Coperto,22.15
2022-05-24,Principalmente chiaro,22.2
2022-05-25,Parzialmente nuvoloso,23.25
2022-05-26,Coperto,25.75
2022-05-27,pioggerella debole,28.1
2022-05-28,Pioggia moderata,25.95
2022-05-29,pioggerella debole,23.85
2022-05-30,pioggerella debole,23.3
2022-05-31,Parzialmente nuvoloso,23.9
2022-06-01,Principalmente chiaro,25.0
2022-06-02,Cielo chiaro,27.7
2022-06-03,Parzialmente nuvoloso,28.15
2022-06-04,Principalmente chiaro,29.1
2022-06-05,Parzialmente nuvoloso,29.400000000000002
2022-06-06,Principalmente chiaro,28.9
2022-06-07,Parzialmente nuvoloso,27.6
2022-06-08,Coperto,26.5
2022-06-09,Pioggia moderata,21.5
2022-06-10,pioggerella debole,21.5
2022-06-11,Cielo chiaro,24.3
2022-06-12,Cielo chiaro,24.65
2022-06-13,Cielo chiaro,25.549999999999997
2022-06-14,Principalmente chiaro,26.7
2022-06-15,Principalmente chiaro,28.1
2022-06-16,pioggerella Moderata,29.1
2022-06-17,pioggerella debole,28.25
2022-06-18,Principalmente chiaro,24.4
2022-06-19,Principalmente chiaro,24.65
2022-06-20,Cielo chiaro,26.25
2022-06-21,Parzialmente nuvoloso,27.35
2022-06-22,Principalmente chiaro,27.3
2022-06-23,pioggerella debole,27.1
2022-06-24,Parzialmente nuvoloso,29.8
2022-06-25,Parzialmente nuvoloso,29.450000000000003
2022-06-26,Cielo chiaro,31.25
2022-06-27,Principalmente chiaro,31.35
2022-06-28,Principalmente chiaro,32.45
2022-06-29,Principalmente chiaro,30.5
2022-06-30,Principalmente chiaro,30.299999999999997
2022-07-01,Principalmente chiaro,31.2
2022-07-02,Cielo chiaro,31.700000000000003
2022-07-03,Cielo chiaro,32.55
2022-07-04,Principalmente chiaro,32.85
2022-07-05,Cielo chiaro,32.1
2022-07-06,pioggerella debole,32.05
2022-07-07,pioggerella Moderata,31.15
2022-07-08,Pioggia moderata,25.7
2022-07-09,Principalmente chiaro,25.05
2022-07-10,Parzialmente nuvoloso,24.85
2022-07-11,Principalmente chiaro,25.8
2022-07-12,pioggerella debole,28.200000000000003
2022-07-13,Principalmente chiaro,27.55
2022-07-14,Cielo chiaro,25.8
2022-07-15,Cielo chiaro,28.35
2022-07-16,Principalmente chiaro,31.299999999999997
2022-07-17,pioggerella debole,32.55
2022-07-18,Principalmente chiaro,32.95
2022-07-19,Cielo chiaro,31.35
2022-07-20,Cielo chiaro,29.7
2022-07-21,Cielo chiaro,30.9
2022-07-22,Cielo chiaro,33.3
2022-07-23,Principalmente chiaro,33.0
2022-07-24,Parzialmente nuvoloso,32.9
2022-07-25,Parzialmente nuvoloso,33.0
2022-07-26,Parzialmente nuvoloso,33.0
2022-07-27,pioggerella debole,33.0
2022-07-28,Cielo chiaro,32.650000000000006
2022-07-29,Cielo chiaro,31.299999999999997
2022-07-30,pioggerella debole,30.75
2022-07-31,Principalmente chiaro,29.9
2022-08-01,Cielo chiaro,28.75
2022-08-02,Principalmente chiaro,30.0
2022-08-03,Principalmente chiaro,30.3
2022-08-04,Principalmente chiaro,31.6
2022-08-05,Parzialmente nuvoloso,32.0
2022-08-06,pioggerella debole,32.5
