time,Meteo,TemperaturaPercepita
2022-01-01,Parzialmente nuvoloso,2.9
2022-01-02,Coperto,3.2
2022-01-03,Coperto,3.8
2022-01-04,pioggerella debole,4.45
2022-01-05,Pioggia moderata,4.75
2022-01-06,pioggerella Moderata,3.1
2022-01-07,Principalmente chiaro,0.7500000000000002
2022-01-08,Coperto,-1.2999999999999998
2022-01-09,Nevicate leggere,-0.95
2022-01-10,Coperto,-0.1499999999999999
2022-01-11,Cielo chiaro,0.6000000000000001
2022-01-12,Cielo chiaro,-0.25
2022-01-13,Cielo chiaro,-0.3500000000000001
2022-01-14,Cielo chiaro,1.4500000000000002
2022-01-15,Cielo chiaro,1.65
2022-01-16,Parzialmente nuvoloso,2.45
2022-01-17,Principalmente chiaro,3.0
2022-01-18,Cielo chiaro,3.15
2022-01-19,Coperto,2.3000000000000003
2022-01-20,pioggerella Moderata,1.5
2022-01-21,Parzialmente nuvoloso,0.8
2022-01-22,Coperto,0.25
2022-01-23,Parzialmente nuvoloso,-0.25
2022-01-24,Coperto,-1.35
2022-01-25,Coperto,0.1499999999999999
2022-01-26,Coperto,0.6499999999999999
2022-01-27,Coperto,1.25
2022-01-28,Parzialmente nuvoloso,3.8
2022-01-29,Principalmente chiaro,2.4499999999999997
2022-01-30,Principalmente chiaro,5.65
2022-01-31,Coperto,3.3499999999999996
2022-02-01,Cielo chiaro,5.3
2022-02-02,Cielo chiaro,7.6499999999999995
2022-02-03,Parzialmente nuvoloso,4.8500000000000005
2022-02-04,Coperto,5.65
2022-02-05,Parzialmente nuvoloso,5.45
2022-02-06,Coperto,3.5
2022-02-07,Parzialmente nuvoloso,3.5
2022-02-08,Cielo chiaro,2.9999999999999996
2022-02-09,Principalmente chiaro,4.75
2022-02-10,Coperto,7.15
2022-02-11,pioggerella Moderata,8.25
2022-02-12,pioggerella debole,3.55
2022-02-13,Principalmente chiaro,2.4000000000000004
2022-02-14,pioggerella Moderata,1.2000000000000002
2022-02-15,Nevicate molto intense,-0.25
2022-02-16,Parzialmente nuvoloso,3.0
2022-02-17,Principalmente chiaro,6.45
2022-02-18,Coperto,5.45
2022-02-19,pioggerella debole,8.25
2022-02-20,pioggerella debole,9.1
2022-02-21,pioggerella debole,7.9
2022-02-22,Cielo chiaro,7.699999999999999
2022-02-23,Cielo chiaro,6.3
2022-02-24,Parzialmente nuvoloso,5.6
2022-02-25,Pioggia moderata,7.2
2022-02-26,pioggerella debole,4.3500000000000005
2022-02-27,Principalmente chiaro,2.6500000000000004
2022-02-28,Parzialmente nuvoloso,3.1
2022-03-01,Parzialmente nuvoloso,1.7500000000000002
2022-03-02,Parzialmente nuvoloso,1.5500000000000003
2022-03-03,Parzialmente nuvoloso,5.8999999999999995
2022-03-04,pioggerella Moderata,4.3999999999999995
2022-03-05,Parzialmente nuvoloso,1.5499999999999998
2022-03-06,Parzialmente nuvoloso,1.5
2022-03-07,Principalmente chiaro,0.9500000000000002
2022-03-08,Parzialmente nuvoloso,1.4
2022-03-09,Cielo chiaro,2.15
2022-03-10,Cielo chiaro,4.15
2022-03-11,Coperto,3.3499999999999996
2022-03-12,Coperto,1.4999999999999998
2022-03-13,Coperto,1.7999999999999998
2022-03-14,Coperto,7.2
2022-03-15,pioggerella debole,8.45
2022-03-16,Coperto,11.0
2022-03-17,Coperto,8.8
2022-03-18,Parzialmente nuvoloso,6.6499999999999995
2022-03-19,Principalmente chiaro,5.8
2022-03-20,Cielo chiaro,5.0
2022-03-21,Cielo chiaro,4.85
2022-03-22,Cielo chiaro,4.8999999999999995
2022-03-23,Cielo chiaro,7.45
2022-03-24,Cielo chiaro,9.5
2022-03-25,Principalmente chiaro,9.05
2022-03-26,Cielo chiaro,10.0
2022-03-27,Principalmente chiaro,12.05
2022-03-28,Cielo chiaro,11.45
2022-03-29,Coperto,10.45
2022-03-30,pioggerella Moderata,8.85
2022-03-31,Pioggia,9.6
2022-04-01,pioggerella Moderata,8.4
2022-04-02,pioggerella debole,3.7
2022-04-03,pioggerella debole,6.1000000000000005
2022-04-04,pioggerella debole,5.8
2022-04-05,Cielo chiaro,7.700000000000001
2022-04-06,Coperto,8.6
2022-04-07,Coperto,11.75
2022-04-08,Parzialmente nuvoloso,15.1
2022-04-09,Pioggia,10.899999999999999
2022-04-10,Parzialmente nuvoloso,7.6000000000000005
2022-04-11,Principalmente chiaro,9.85
2022-04-12,Principalmente chiaro,9.9
2022-04-13,Principalmente chiaro,12.0
2022-04-14,Principalmente chiaro,14.100000000000001
2022-04-15,Cielo chiaro,14.299999999999999
2022-04-16,pioggerella debole,14.75
2022-04-17,Principalmente chiaro,9.85
2022-04-18,Principalmente chiaro,10.2
2022-04-19,Principalmente chiaro,10.65
2022-04-20,Coperto,10.6
2022-04-21,Pioggia,8.8
2022-04-22,Pioggia,10.55
2022-04-23,Pioggia,12.399999999999999
2022-04-24,Pioggia moderata,11.399999999999999
2022-04-25,pioggerella debole,12.2
2022-04-26,pioggerella Moderata,14.6
2022-04-27,pioggerella debole,14.2
2022-04-28,Principalmente chiaro,13.45
2022-04-29,Principalmente chiaro,15.25
2022-04-30,pioggerella debole,14.05
2022-05-01,pioggerella Moderata,16.4
2022-05-02,pioggerella debole,14.7
2022-05-03,pioggerella Moderata,15.6
2022-05-04,pioggerella Moderata,16.5
2022-05-05,Pioggia,14.05
