time,Meteo,TemperaturaPercepita
2022-01-01,Coperto,9.35
2022-01-02,Coperto,8.05
2022-01-03,Coperto,10.350000000000001
2022-01-04,pioggerella debole,11.149999999999999
2022-01-05,Pioggia,10.45
2022-01-06,pioggerella debole,6.300000000000001
2022-01-07,Principalmente chiaro,6.3
2022-01-08,Principalmente chiaro,2.5
2022-01-09,pioggerella Moderata,2.0
2022-01-10,pioggerella debole,2.4
2022-01-11,Parzialmente nuvoloso,4.6000000000000005
2022-01-12,Nevicate leggere,3.55
2022-01-13,Cielo chiaro,3.5500000000000003
2022-01-14,Cielo chiaro,2.75
2022-01-15,Cielo chiaro,5.5
2022-01-16,Principalmente chiaro,5.800000000000001
2022-01-17,Parzialmente nuvoloso,5.25
2022-01-18,Cielo chiaro,5.1000000000000005
2022-01-19,pioggerella debole,4.7
2022-01-20,pioggerella Moderata,7.75
2022-01-21,pioggerella debole,5.5
2022-01-22,Cielo chiaro,2.9499999999999997
2022-01-23,Cielo chiaro,3.2
2022-01-24,Principalmente chiaro,3.3999999999999995
2022-01-25,Cielo chiaro,2.0
2022-01-26,Parzialmente nuvoloso,2.8
2022-01-27,Principalmente chiaro,5.3999999999999995
2022-01-28,Coperto,5.95
2022-01-29,Cielo chiaro,4.55
2022-01-30,Cielo chiaro,5.0
2022-01-31,pioggerella Moderata,4.6
2022-02-01,Cielo chiaro,3.6999999999999997
2022-02-02,Cielo chiaro,5.449999999999999
2022-02-03,Principalmente chiaro,6.0
2022-02-04,Coperto,7.8
2022-02-05,pioggerella debole,10.5
2022-02-06,pioggerella debole,7.95
2022-02-07,pioggerella debole,7.699999999999999
2022-02-08,Cielo chiaro,4.050000000000001
2022-02-09,Cielo chiaro,5.949999999999999
2022-02-10,Cielo chiaro,7.0
2022-02-11,Cielo chiaro,7.1499999999999995
2022-02-12,Principalmente chiaro,8.1
2022-02-13,pioggerella debole,7.85
2022-02-14,pioggerella debole,8.75
2022-02-15,pioggerella Moderata,8.149999999999999
2022-02-16,Parzialmente nuvoloso,7.05
2022-02-17,Coperto,7.0
2022-02-18,Coperto,9.85
2022-02-19,Coperto,10.35
2022-02-20,pioggerella debole,13.2
2022-02-21,pioggerella Moderata,9.4
2022-02-22,Principalmente chiaro,6.699999999999999
2022-02-23,Cielo chiaro,8.35
2022-02-24,Parzialmente nuvoloso,8.15
2022-02-25,Pioggia,7.3500000000000005
2022-02-26,Pioggia,4.55
