time,Meteo,TemperaturaPercepita
2022-01-01,Parzialmente nuvoloso,3.25
2022-01-02,Coperto,2.75
2022-01-03,Coperto,3.45
2022-01-04,pioggerella debole,4.550000000000001
2022-01-05,Pioggia moderata,4.05
2022-01-06,pioggerella Moderata,2.8000000000000003
2022-01-07,Parzialmente nuvoloso,0.19999999999999996
2022-01-08,Principalmente chiaro,-0.6499999999999999
2022-01-09,pioggerella debole,-0.55
2022-01-10,Parzialmente nuvoloso,1.5
2022-01-11,Cielo chiaro,1.5
2022-01-12,Cielo chiaro,0.25
2022-01-13,Cielo chiaro,0.44999999999999973
2022-01-14,Cielo chiaro,2.05
2022-01-15,Cielo chiaro,3.8
2022-01-16,Cielo chiaro,3.1500000000000004
2022-01-17,Parzialmente nuvoloso,3.0
2022-01-18,Cielo chiaro,2.4499999999999997
2022-01-19,Coperto,1.25
2022-01-20,Coperto,1.7499999999999998
2022-01-21,pioggerella debole,-0.050000000000000266
2022-01-22,pioggerella debole,0.5500000000000003
2022-01-23,Principalmente chiaro,1.7999999999999998
2022-01-24,Coperto,1.15
2022-01-25,Coperto,2.9
2022-01-26,Coperto,1.2
2022-01-27,Coperto,0.6499999999999999
2022-01-28,Coperto,2.4000000000000004
2022-01-29,Principalmente chiaro,2.1999999999999997
2022-01-30,Cielo chiaro,1.85
2022-01-31,Coperto,0.8999999999999999
2022-02-01,Principalmente chiaro,2.4000000000000004
2022-02-02,pioggerella debole,3.9
2022-02-03,Coperto,5.050000000000001
2022-02-04,Parzialmente nuvoloso,5.55
2022-02-05,Principalmente chiaro,6.45
2022-02-06,pioggerella debole,3.1
2022-02-07,pioggerella debole,4.3
2022-02-08,Cielo chiaro,2.45
2022-02-09,Cielo chiaro,2.95
2022-02-10,Coperto,3.4499999999999997
2022-02-11,Coperto,5.7
2022-02-12,Cielo chiaro,3.0000000000000004
2022-02-13,Principalmente chiaro,1.7
2022-02-14,Coperto,0.6499999999999999
2022-02-15,Pioggia moderata,4.300000000000001
2022-02-16,pioggerella debole,5.25
2022-02-17,pioggerella debole,4.25
2022-02-18,pioggerella debole,5.6
2022-02-19,pioggerella debole,7.3
2022-02-20,pioggerella debole,9.3
2022-02-21,pioggerella debole,6.550000000000001
2022-02-22,Principalmente chiaro,5.2
2022-02-23,Principalmente chiaro,6.3
2022-02-24,Parzialmente nuvoloso,4.7
2022-02-25,pioggerella debole,5.050000000000001
2022-02-26,Coperto,4.05
2022-02-27,Parzialmente nuvoloso,2.3
2022-02-28,pioggerella debole,2.25
2022-03-01,Principalmente chiaro,1.4999999999999998
2022-03-02,Coperto,2.05
2022-03-03,pioggerella Moderata,3.7
2022-03-04,pioggerella debole,3.65
2022-03-05,Parzialmente nuvoloso,1.4
2022-03-06,Parzialmente nuvoloso,1.15
2022-03-07,Coperto,1.8499999999999999
2022-03-08,Coperto,1.2500000000000002
2022-03-09,Cielo chiaro,2.7
2022-03-10,Cielo chiaro,4.9
2022-03-11,Coperto,3.3499999999999996
2022-03-12,Parzialmente nuvoloso,1.0
2022-03-13,Cielo chiaro,0.2999999999999998
2022-03-14,Parzialmente nuvoloso,4.5
2022-03-15,pioggerella debole,5.3500000000000005
2022-03-16,pioggerella debole,8.35
2022-03-17,Coperto,9.2
2022-03-18,Principalmente chiaro,7.3
2022-03-19,Principalmente chiaro,5.3500000000000005
2022-03-20,Cielo chiaro,5.0
2022-03-21,Cielo chiaro,4.35
2022-03-22,Cielo chiaro,5.55
2022-03-23,Cielo chiaro,8.15
2022-03-24,Cielo chiaro,10.049999999999999
2022-03-25,Cielo chiaro,10.4
2022-03-26,Cielo chiaro,10.75
2022-03-27,Cielo chiaro,10.35
2022-03-28,Cielo chiaro,9.95
2022-03-29,Coperto,9.35
2022-03-30,pioggerella debole,10.2
2022-03-31,Pioggia,9.850000000000001
2022-04-01,Pioggia,9.25
2022-04-02,Pioggia,6.0
2022-04-03,Coperto,5.15
2022-04-04,pioggerella debole,6.65
2022-04-05,Parzialmente nuvoloso,8.2
2022-04-06,Parzialmente nuvoloso,9.05
2022-04-07,Coperto,11.700000000000001
2022-04-08,pioggerella debole,11.95
2022-04-09,pioggerella Moderata,9.5
2022-04-10,pioggerella debole,5.9
2022-04-11,Parzialmente nuvoloso,7.75
2022-04-12,Principalmente chiaro,9.5
2022-04-13,Parzialmente nuvoloso,11.950000000000001
2022-04-14,Principalmente chiaro,13.75
2022-04-15,Principalmente chiaro,13.200000000000001
2022-04-16,Pioggia moderata,13.299999999999999
2022-04-17,Principalmente chiaro,9.299999999999999
2022-04-18,Parzialmente nuvoloso,9.0
2022-04-19,pioggerella debole,10.25
2022-04-20,Parzialmente nuvoloso,10.05
2022-04-21,Pioggia,8.25
2022-04-22,Pioggia,11.0
2022-04-23,Pioggia,12.9
2022-04-24,Pioggia moderata,12.1
2022-04-25,pioggerella debole,11.85
2022-04-26,Pioggia,14.4
2022-04-27,pioggerella debole,13.3
2022-04-28,Parzialmente nuvoloso,14.9
2022-04-29,Principalmente chiaro,15.15
2022-04-30,Principalmente chiaro,14.35
2022-05-01,pioggerella Moderata,14.0
2022-05-02,pioggerella Moderata,15.95
2022-05-03,Parzialmente nuvoloso,16.4
2022-05-04,Principalmente chiaro,16.5
2022-05-05,pioggerella debole,14.549999999999999
2022-05-06,pioggerella Moderata,14.600000000000001
2022-05-07,pioggerella debole,16.05
2022-05-08,pioggerella debole,17.65
2022-05-09,Principalmente chiaro,18.9
2022-05-10,Principalmente chiaro,19.65
2022-05-11,Principalmente chiaro,21.15
2022-05-12,Parzialmente nuvoloso,22.950000000000003
2022-05-13,pioggerella debole,23.0
2022-05-14,Parzialmente nuvoloso,23.0
2022-05-15,pioggerella debole,23.35
2022-05-16,Pioggia,23.9
2022-05-17,Principalmente chiaro,23.200000000000003
2022-05-18,pioggerella debole,22.75
2022-05-19,Principalmente chiaro,20.25
2022-05-20,Parzialmente nuvoloso,21.6
2022-05-21,Principalmente chiaro,23.85
2022-05-22,Coperto,23.65
2022-05-23,Pioggia moderata,25.2
2022-05-24,pioggerella Moderata,24.299999999999997
2022-05-25,pioggerella debole,22.6
2022-05-26,Parzialmente nuvoloso,24.3
