Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
scarpa classica,n,y,scuro,inverno,soleggiato,28,estate,7
scarpa classica,n,y,scuro,primavera_estate,nuvoloso,20,primavera,22
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,14,primavera,27
scarpe aperte,n,n,Chiaro,primavera_estate,nuvoloso,0,inverno,8
scarpe aperte,n,n,scuro,primavera,pioggia,6,inverno,13
stivaletto alla caviglia,n,y,scuro,inverno,nuvoloso,3,inverno,20
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,20,autunno,9
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,19,autunno,19
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,26,estate,3
scarpa classica,y,y,Chiaro,autunno_inverno,pioggia,30,estate,19
stivali,n,y,scuro,autunno,soleggiato,21,autunno,11
scarpa classica,n,y,Chiaro,inverno,soleggiato,17,primavera,16
scarpa classica,n,y,Chiaro,all,pioggia,13,inverno,23
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,7,inverno,17
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,24,autunno,25
scarpa classica,n,y,Chiaro,inverno,soleggiato,10,autunno,21
scarpa classica,n,y,Chiaro,inverno,soleggiato,29,estate,12
scarpa classica,n,y,Chiaro,all,soleggiato,26,primavera,18
scarpe aperte,y,n,Chiaro,primavera,pioggia,14,primavera,19
scarpa da ginnastica,y,n,colorato,estate,pioggia,16,primavera,23
scarpa da ginnastica,y,n,Chiaro,all,soleggiato,11,autunno,19
scarpa da ginnastica,y,n,colorato,estate,soleggiato,27,estate,24
scarpa classica,y,y,Chiaro,all,pioggia,26,estate,23
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,28,estate,10
scarpa classica,n,y,scuro,all,pioggia,20,estate,23
scarpa classica,n,y,scuro,inverno,neve,8,primavera,21
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,8,primavera,26
